state,wave_id,wave_order,is_recurrence,onset_week,onset_year,Re_early_6_median,Re_early_6_q025,Re_early_6_q975,Re_early_4_median,Re_early_8_median,S_prop,S_prop_q025,S_prop_q975,susceptibility_source,susceptibility_time_resolution,temp_pre6_2,precip_pre6_2,temp_pre4_1,precip_pre4_1,temp_pre8_4,precip_pre8_4,weeks_since_previous_wave,previous_wave_total_cases
MA,MA_wave_09,6,TRUE,2022-11-27,2022,1.3169228050277133,0.8857939402952083,1.9825773853219195,1.2659137950258028,1.5300391971872007,0.8301050193300552,0.7668983331893962,0.8800046402731689,M0_mean_preserving_annual_shape,weekly_at_onset,27.843860440309548,116.69100796884288,27.322618760986437,101.61187688496398,28.727913813413597,61.20325982469177,21,1770
MA,MA_wave_10,7,TRUE,2024-01-07,2024,1.9541179281324952,1.2985707814985916,3.0281539492523772,1.4763568942456016,2.046552871866736,0.8079987204613708,0.7389248460049955,0.8613147769587821,M0_mean_preserving_annual_shape,weekly_at_onset,28.692180442861115,70.57384667725354,28.106538740845338,101.37899792465309,29.06790050642716,41.710596824113765,21,2780
MA,MA_wave_11,8,TRUE,2025-01-05,2025,1.5945298240001744,0.9830769297172872,2.5939616782250794,1.8219178176069464,1.5492701571859522,0.7938517576049016,0.7230211473965301,0.8484253262277911,M0_mean_preserving_annual_shape,weekly_at_onset,28.558807298439284,61.71654949306576,28.4476298349269,67.17728334308481,28.69143293827242,59.33396261283399,7,793
MG,MG_wave_05,1,FALSE,2017-01-08,2017,2.700460179836658,1.9013725790609597,3.993819886803721,2.706623265871138,2.583002269824623,0.97723739437206,0.9315846070106084,0.9966732375502948,M0_mean_preserving_annual_shape,weekly_at_onset,23.12225120065502,237.3134802593586,23.85567695527002,126.94756275335877,22.121156688901586,378.95172947962635,NA,NA
MG,MG_wave_06,2,TRUE,2017-12-24,2017,2.132168692367033,1.508872667789495,3.1144493186176567,2.6099318827719395,1.774970281226553,0.9528340995012334,0.8971504500577537,0.9896979063147447,M0_mean_preserving_annual_shape,weekly_at_onset,22.20677553038563,276.0833695857137,22.332036446898744,191.0007308745023,22.062207625608547,243.96799608878345,84,13438
MG,MG_wave_07,3,TRUE,2018-11-11,2018,1.3278919556028717,0.8833258200387161,2.024742547654851,1.6338437055478328,1.3095034380097481,0.9315822480339764,0.8644924880209712,0.9813779112858796,M0_mean_preserving_annual_shape,weekly_at_onset,23.3023255482118,128.25868635287637,22.269128372470746,189.67091002558152,23.635064192388548,99.6061532253042,14,11098
MG,MG_wave_08,4,TRUE,2019-12-01,2019,1.2733900297347116,0.8408361363350705,1.9492108199201592,0.99085126853427,1.4762035718863311,0.9171528482754956,0.8362298506378765,0.9757033146494946,M0_mean_preserving_annual_shape,weekly_at_onset,24.10987341662728,159.11845499685614,23.701184402239527,160.22748192159443,24.420782038213947,88.41278600438064,49,1805
MG,MG_wave_09,5,TRUE,2020-09-27,2020,1.1790628104253862,0.8075255885868934,1.7765734728056837,1.2685979604809687,1.4599232767785937,0.9066702166211232,0.8209151905584053,0.972354782881125,M0_mean_preserving_annual_shape,weekly_at_onset,21.56388093283153,10.943572021108258,22.857646867010317,18.1338114549484,19.585575265710915,11.934564840058227,49,1477
MG,MG_wave_10,6,TRUE,2022-01-02,2022,2.250081377186044,1.5830631897404253,3.3152309150973136,2.735954267765117,1.9976756579538573,0.8827473351112259,0.7840009519627146,0.9644311123728226,M0_mean_preserving_annual_shape,weekly_at_onset,22.103129283814425,256.0591388717412,21.719674588855085,260.67062809900847,21.569229605315968,245.68077121571702,91,5920
MG,MG_wave_11,7,TRUE,2022-11-27,2022,2.563259316639064,1.8494753414380696,3.6767661565739833,2.965107845466411,2.3712085028681535,0.8713358828587547,0.7706492299151433,0.9587787926992156,M0_mean_preserving_annual_shape,weekly_at_onset,22.004866717984083,164.97208683502276,21.300887796366915,175.9163158268613,22.603885403914706,113.83283396500721,91,6046
MG,MG_wave_12,8,TRUE,2023-11-12,2023,1.787876912495542,1.270990701583916,2.6259840176310334,1.853121623185072,1.7590993209163934,0.8274789095933681,0.7310342588333262,0.91042702301925,M0_mean_preserving_annual_shape,weekly_at_onset,24.492882553909357,147.44920027617468,24.14469558180409,102.22172694932452,24.888598467412695,62.489952084449406,77,77900
MG,MG_wave_13,9,TRUE,2024-11-17,2024,1.2001530132452003,0.8611993034951791,1.764319959447599,1.3885575072011171,1.3387540489191063,0.761922398293625,0.6754620325660815,0.8317437085185414,M0_mean_preserving_annual_shape,weekly_at_onset,23.008041484895028,223.57937290253284,22.052070822413995,221.38793588274166,24.443215991409705,112.07087918542874,35,157143
MS,MS_wave_11,3,TRUE,2023-01-22,2023,2.682800425017297,1.8239130859837411,4.074557002419856,2.9502308966714805,2.400211770516347,0.919882112983459,0.8206665032151215,0.9775051470555648,M0_mean_preserving_annual_shape,weekly_at_onset,25.650467537633418,178.30121995066156,25.557817055670974,156.46957130525263,26.479848609896013,139.89312003289945,147,246
MS,MS_wave_12,4,TRUE,2023-12-03,2023,1.8414092944849032,1.1966451536811815,2.9233543524777272,NA,1.6979738047226132,0.8993077234914724,0.8007802147410827,0.9635486689028954,M0_mean_preserving_annual_shape,weekly_at_onset,28.779974471343124,111.96190077317462,29.04007716993146,69.00713806079622,27.95296384334617,101.90486013294863,63,1380
MS,MS_wave_13,5,TRUE,2025-01-12,2025,2.0590189010907665,1.456923456289407,3.0382258624864833,2.2818949965655277,1.9943928656768573,0.8825260729954845,0.7821497794350037,0.9536564479475068,M0_mean_preserving_annual_shape,weekly_at_onset,26.35168119423707,198.72499675828345,26.866299026951776,82.06705599294935,26.867805360592747,207.4974871234851,35,936
