opportunity_id,outcome_followup_start,outcome_followup_end_6w,outcome_followup_end_8w,outcome_followup_complete_8w,major_wave_onset_next_6w,major_wave_onset_next_8w,n_major_wave_onsets_next_8w,outcome_episode_id,outcome_episode_onset,outcome_episode_end,outcome_Re_early_6_median,outcome_Re_early_6_lower,outcome_Re_early_6_upper,outcome_reported_cumulative_incidence_per_100k
BA_20181216,2018-12-23,2019-01-27,2019-02-10,TRUE,FALSE,TRUE,1,BA_wave_05,2019-02-03,2019-12-15,1.0722555596883585,0.7318522067965211,1.6286951722682403,38.86818777
BA_20181223,2018-12-30,2019-02-03,2019-02-17,TRUE,TRUE,TRUE,1,BA_wave_05,2019-02-03,2019-12-15,1.0722555596883585,0.7318522067965211,1.6286951722682403,38.86818777
BA_20181230,2019-01-06,2019-02-10,2019-02-24,TRUE,TRUE,TRUE,1,BA_wave_05,2019-02-03,2019-12-15,1.0722555596883585,0.7318522067965211,1.6286951722682403,38.86818777
BA_20190106,2019-01-13,2019-02-17,2019-03-03,TRUE,TRUE,TRUE,1,BA_wave_05,2019-02-03,2019-12-15,1.0722555596883585,0.7318522067965211,1.6286951722682403,38.86818777
BA_20190113,2019-01-20,2019-02-24,2019-03-10,TRUE,TRUE,TRUE,1,BA_wave_05,2019-02-03,2019-12-15,1.0722555596883585,0.7318522067965211,1.6286951722682403,38.86818777
BA_20190120,2019-01-27,2019-03-03,2019-03-17,TRUE,TRUE,TRUE,1,BA_wave_05,2019-02-03,2019-12-15,1.0722555596883585,0.7318522067965211,1.6286951722682403,38.86818777
BA_20190127,2019-02-03,2019-03-10,2019-03-24,TRUE,TRUE,TRUE,1,BA_wave_05,2019-02-03,2019-12-15,1.0722555596883585,0.7318522067965211,1.6286951722682403,38.86818777
BA_20190203,2019-02-10,2019-03-17,2019-03-31,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190210,2019-02-17,2019-03-24,2019-04-07,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190217,2019-02-24,2019-03-31,2019-04-14,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190224,2019-03-03,2019-04-07,2019-04-21,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190303,2019-03-10,2019-04-14,2019-04-28,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190310,2019-03-17,2019-04-21,2019-05-05,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190317,2019-03-24,2019-04-28,2019-05-12,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190324,2019-03-31,2019-05-05,2019-05-19,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190331,2019-04-07,2019-05-12,2019-05-26,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190407,2019-04-14,2019-05-19,2019-06-02,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190414,2019-04-21,2019-05-26,2019-06-09,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190421,2019-04-28,2019-06-02,2019-06-16,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190428,2019-05-05,2019-06-09,2019-06-23,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190505,2019-05-12,2019-06-16,2019-06-30,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190512,2019-05-19,2019-06-23,2019-07-07,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190519,2019-05-26,2019-06-30,2019-07-14,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190526,2019-06-02,2019-07-07,2019-07-21,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190602,2019-06-09,2019-07-14,2019-07-28,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190609,2019-06-16,2019-07-21,2019-08-04,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190616,2019-06-23,2019-07-28,2019-08-11,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190623,2019-06-30,2019-08-04,2019-08-18,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190630,2019-07-07,2019-08-11,2019-08-25,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190707,2019-07-14,2019-08-18,2019-09-01,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190714,2019-07-21,2019-08-25,2019-09-08,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190721,2019-07-28,2019-09-01,2019-09-15,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190728,2019-08-04,2019-09-08,2019-09-22,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190804,2019-08-11,2019-09-15,2019-09-29,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190811,2019-08-18,2019-09-22,2019-10-06,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190818,2019-08-25,2019-09-29,2019-10-13,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190825,2019-09-01,2019-10-06,2019-10-20,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190901,2019-09-08,2019-10-13,2019-10-27,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190908,2019-09-15,2019-10-20,2019-11-03,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190915,2019-09-22,2019-10-27,2019-11-10,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190922,2019-09-29,2019-11-03,2019-11-17,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20190929,2019-10-06,2019-11-10,2019-11-24,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20191006,2019-10-13,2019-11-17,2019-12-01,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20191013,2019-10-20,2019-11-24,2019-12-08,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20191020,2019-10-27,2019-12-01,2019-12-15,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20191027,2019-11-03,2019-12-08,2019-12-22,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20191103,2019-11-10,2019-12-15,2019-12-29,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20191110,2019-11-17,2019-12-22,2020-01-05,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20191117,2019-11-24,2019-12-29,2020-01-12,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20191124,2019-12-01,2020-01-05,2020-01-19,TRUE,FALSE,TRUE,1,BA_wave_06,2020-01-19,2020-12-20,1.459620676899967,1.0379580909196708,2.1244308749921457,127.1989364
BA_20191201,2019-12-08,2020-01-12,2020-01-26,TRUE,FALSE,TRUE,1,BA_wave_06,2020-01-19,2020-12-20,1.459620676899967,1.0379580909196708,2.1244308749921457,127.1989364
BA_20191208,2019-12-15,2020-01-19,2020-02-02,TRUE,TRUE,TRUE,1,BA_wave_06,2020-01-19,2020-12-20,1.459620676899967,1.0379580909196708,2.1244308749921457,127.1989364
BA_20191215,2019-12-22,2020-01-26,2020-02-09,TRUE,TRUE,TRUE,1,BA_wave_06,2020-01-19,2020-12-20,1.459620676899967,1.0379580909196708,2.1244308749921457,127.1989364
BA_20191222,2019-12-29,2020-02-02,2020-02-16,TRUE,TRUE,TRUE,1,BA_wave_06,2020-01-19,2020-12-20,1.459620676899967,1.0379580909196708,2.1244308749921457,127.1989364
BA_20191229,2020-01-05,2020-02-09,2020-02-23,TRUE,TRUE,TRUE,1,BA_wave_06,2020-01-19,2020-12-20,1.459620676899967,1.0379580909196708,2.1244308749921457,127.1989364
BA_20200105,2020-01-12,2020-02-16,2020-03-01,TRUE,TRUE,TRUE,1,BA_wave_06,2020-01-19,2020-12-20,1.459620676899967,1.0379580909196708,2.1244308749921457,127.1989364
BA_20200112,2020-01-19,2020-02-23,2020-03-08,TRUE,TRUE,TRUE,1,BA_wave_06,2020-01-19,2020-12-20,1.459620676899967,1.0379580909196708,2.1244308749921457,127.1989364
BA_20200119,2020-01-26,2020-03-01,2020-03-15,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20200126,2020-02-02,2020-03-08,2020-03-22,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20200202,2020-02-09,2020-03-15,2020-03-29,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20200209,2020-02-16,2020-03-22,2020-04-05,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20200216,2020-02-23,2020-03-29,2020-04-12,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20200223,2020-03-01,2020-04-05,2020-04-19,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20200301,2020-03-08,2020-04-12,2020-04-26,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20200308,2020-03-15,2020-04-19,2020-05-03,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20200315,2020-03-22,2020-04-26,2020-05-10,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20200322,2020-03-29,2020-05-03,2020-05-17,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20200329,2020-04-05,2020-05-10,2020-05-24,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20200405,2020-04-12,2020-05-17,2020-05-31,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20200412,2020-04-19,2020-05-24,2020-06-07,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20200419,2020-04-26,2020-05-31,2020-06-14,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20200426,2020-05-03,2020-06-07,2020-06-21,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20200503,2020-05-10,2020-06-14,2020-06-28,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20200510,2020-05-17,2020-06-21,2020-07-05,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20200517,2020-05-24,2020-06-28,2020-07-12,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20200524,2020-05-31,2020-07-05,2020-07-19,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20200531,2020-06-07,2020-07-12,2020-07-26,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20200607,2020-06-14,2020-07-19,2020-08-02,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20200614,2020-06-21,2020-07-26,2020-08-09,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20200621,2020-06-28,2020-08-02,2020-08-16,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20200628,2020-07-05,2020-08-09,2020-08-23,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20200705,2020-07-12,2020-08-16,2020-08-30,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20200712,2020-07-19,2020-08-23,2020-09-06,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
