state,week_start,year,Tmean,PRCP
MG,2022-08-28,2022,19.101240903265058,0.4736288884630196
MG,2022-09-04,2022,21.12670739637865,0.5644117924122838
MG,2022-09-11,2022,22.901884219861007,14.37282192526567
MG,2022-09-18,2022,21.58764324688147,13.145701925964204
MG,2022-09-25,2022,21.29580916921096,26.28045819381532
MG,2022-10-02,2022,22.925529488465777,30.210350710486047
MG,2022-10-09,2022,23.75630566136405,7.733493547361707
MG,2022-10-16,2022,23.37458926719198,8.977947143304759
MG,2022-10-23,2022,23.076765298620465,17.865607267011505
MG,2022-10-30,2022,19.88623730393126,49.045435296843195
MG,2022-11-06,2022,21.423812386688038,37.260736341522886
MG,2022-11-13,2022,22.26292933348867,51.82236078634042
MG,2022-11-20,2022,21.63057216135968,37.7877834021548
MG,2022-11-27,2022,22.063663050332405,61.43843672732811
MG,2022-12-04,2022,21.777267283450765,60.3476356131912
MG,2022-12-11,2022,21.82400191021257,69.68456360451604
MG,2022-12-18,2022,21.04382275742414,77.24693483919256
MG,2022-12-25,2022,21.711795461978657,54.96596104628778
MG,2023-01-01,2023,21.448823558431723,100.51464510427756
MG,2023-01-08,2023,21.71834534621489,81.6638081386012
MG,2023-01-15,2023,22.52200541695695,47.762259624001864
MG,2023-01-22,2023,22.103846908154942,82.95891843220899
MG,2023-01-29,2023,23.120607238147787,21.645609218963887
MG,2023-02-05,2023,23.56958688540731,42.08832550521721
MG,2023-02-12,2023,23.934434018199134,34.43084025082159
MG,2023-02-19,2023,23.2209816145884,21.717997531793554
MG,2023-02-26,2023,24.21835318081529,6.526520510656329
MG,2023-03-05,2023,23.6793996855395,20.08582573266256
MG,2023-03-12,2023,22.934288900233366,15.824852932221658
MG,2023-03-19,2023,23.6720285570504,7.042175760483922
MG,2023-03-26,2023,24.336090985595984,8.092736940392385
MG,2023-04-02,2023,22.565225407654868,19.901695893775766
MG,2023-04-09,2023,21.85784072708252,27.491852696609726
MG,2023-04-16,2023,21.718751777368425,13.223278640165669
MG,2023-04-23,2023,20.790482018515082,14.503771666878016
MG,2023-04-30,2023,20.830257104772603,3.5054542236009034
MG,2023-05-07,2023,20.97400390952963,2.7523894126841304
MG,2023-05-14,2023,18.402473795767154,1.0520888613101949
MG,2023-05-21,2023,18.719260773240343,1.1907978037536922
MG,2023-05-28,2023,19.10841135586999,6.2061607470362095
MG,2023-06-04,2023,17.864359818826674,0.07652386818631694
MG,2023-06-11,2023,19.970100498655654,11.092738727104628
MG,2023-06-18,2023,16.87472074881577,0.9646898607778766
MG,2023-06-25,2023,18.206203863901347,0.42135737360795406
MG,2023-07-02,2023,16.605314459668694,0.1448234653719886
MG,2023-07-09,2023,20.069140458530246,2.7038391478120922
MG,2023-07-16,2023,19.54210549793085,2.4486297741983263
MG,2023-07-23,2023,19.39398708193191,4.093393718921116
MG,2023-07-30,2023,19.669716912245168,0.6517063451350846
MG,2023-08-06,2023,20.950539490756057,0.626962066862969
MG,2023-08-13,2023,21.16396780920855,2.4428476960862375
MG,2023-08-20,2023,23.120974942742382,8.546738305322407
MG,2023-08-27,2023,19.817738346478002,28.149289492672736
MG,2023-09-03,2023,21.952393800583888,5.755364413177922
MG,2023-09-10,2023,22.303902372582897,4.796463974942118
MG,2023-09-17,2023,24.117075520055952,0.34952675922679677
MG,2023-09-24,2023,26.595856703544783,5.242194270740958
MG,2023-10-01,2023,24.451058017359404,32.75089933060753
MG,2023-10-08,2023,25.11185951004081,13.546954960922909
MG,2023-10-15,2023,24.16714258606253,10.600376762951214
MG,2023-10-22,2023,24.26962151842907,38.98110415075557
MG,2023-10-29,2023,24.464731137654972,51.56986507093747
MG,2023-11-05,2023,23.677287085069793,1.0703809646802647
MG,2023-11-12,2023,29.01431418997971,1.0638258771122377
MG,2023-11-19,2023,25.55750935453108,27.916908253786502
MG,2023-11-26,2023,24.622506842741817,22.771496155817523
MG,2023-12-03,2023,25.693416838667705,21.219501078103523
MG,2023-12-10,2023,24.982234018559723,11.729493622849516
MG,2023-12-17,2023,24.55478666702001,45.66740752265599
MG,2023-12-24,2023,24.90086170187544,40.47387910581533
MG,2023-12-31,2023,22.260644875816883,87.14465734273901
MG,2024-01-07,2024,23.988886399669138,47.12151728826712
MG,2024-01-14,2024,24.93916506792407,22.454410979267088
MG,2024-01-21,2024,22.886406607263464,68.73588740189064
MG,2024-01-28,2024,23.355315062222488,41.824933329463384
MG,2024-02-04,2024,23.149541145601827,33.80551012474387
MG,2024-02-11,2024,23.546577415178316,36.95670140944091
MG,2024-02-18,2024,22.561534518356808,92.43481927983962
MG,2024-02-25,2024,24.7745401578492,14.486461064809943
MG,2024-03-03,2024,23.95427236621358,32.82822466411776
MG,2024-03-10,2024,24.564293502518975,15.228579773902304
MG,2024-03-17,2024,24.67730578069817,45.875312543912365
MG,2024-03-24,2024,22.185180893163466,42.26441302421793
MG,2024-03-31,2024,23.4425278339761,13.87563942813801
MG,2024-04-07,2024,22.802176790951005,4.979305750002024
MG,2024-04-14,2024,22.353587806381615,6.550457173243459
MG,2024-04-21,2024,22.541750147738473,0.9597991411642707
MG,2024-04-28,2024,23.631641361580797,0.07059890900779191
MG,2024-05-05,2024,22.428731963231083,1.2594969165482297
MG,2024-05-12,2024,22.93620126461796,0.33187767959228004
MG,2024-05-19,2024,21.768561330957137,0.4346498521662551
MG,2024-05-26,2024,19.740731577961864,4.351521648633497
MG,2024-06-02,2024,19.68757473769325,0.8385402866352857
MG,2024-06-09,2024,19.530355512487393,0.2425939391454761
MG,2024-06-16,2024,19.523778934328,0.28167604240462807
MG,2024-06-23,2024,20.970068393237923,0.3890401836104232
MG,2024-06-30,2024,19.72505801615253,2.1319546686467916
MG,2024-07-07,2024,20.87107522213355,0.6308782529873096
MG,2024-07-14,2024,19.14272846563476,0.19594386136124714
MG,2024-07-21,2024,18.91059005316053,0.2281130445768962
MG,2024-07-28,2024,20.106104427808326,1.5641703457251808
MG,2024-08-04,2024,20.764794799627666,3.3785935505166353
MG,2024-08-11,2024,19.52307110363418,0.18750876480277576
MG,2024-08-18,2024,22.756334734878777,0.0780598322679437
MG,2024-08-25,2024,20.1684922761842,3.2296796947759154
MG,2024-09-01,2024,24.462565577124586,0.03996292691004099
MG,2024-09-08,2024,24.014670920576233,0.09312589182422167
MG,2024-09-15,2024,23.93947908892075,1.983365130488823
MG,2024-09-22,2024,25.572116001148856,1.707133301551498
MG,2024-09-29,2024,25.093894893418973,1.3968076511469305
MG,2024-10-06,2024,25.00815522359636,34.2646232243859
MG,2024-10-13,2024,23.6183666947412,20.479223117504013
MG,2024-10-20,2024,22.92354714414314,54.2230918908404
