state,week_start,year,reported_cases,smoothed_cases,weekly_timing_unidentified,q025,q25,median,q75,q975
MS,2022-04-03,2022,9,6.666666666666666,FALSE,0.9150051782615392,0.9406226567628927,0.964201992016151,0.980942785818048,0.990537460533208
MS,2022-04-10,2022,3,6,FALSE,0.9147325644441751,0.9404372208132435,0.9640995643045878,0.9808469028984392,0.9904899692521415
MS,2022-04-17,2022,6,6.333333333333333,FALSE,0.9144899633194712,0.9402529656697448,0.9639621581158824,0.9807149375287032,0.9904288208990347
MS,2022-04-24,2022,10,9,FALSE,0.9142082580589171,0.940073262546381,0.9637474888347051,0.9806442613203712,0.9903207795813037
MS,2022-05-01,2022,11,9,FALSE,0.9137204846725839,0.9397285865019077,0.9635658532271583,0.9805056726603153,0.9902445139996172
MS,2022-05-08,2022,6,8.666666666666666,FALSE,0.9132783755512769,0.9394490887307471,0.9633010809320017,0.9803608154349196,0.9901804605169073
MS,2022-05-15,2022,9,6.666666666666666,FALSE,0.9128297434433958,0.9391627813573323,0.9630712435717507,0.9802708143515212,0.9901095234727552
MS,2022-05-22,2022,5,6,FALSE,0.912566331854159,0.9389422886853345,0.9629502669308428,0.9801908911181123,0.9900589731123574
MS,2022-05-29,2022,4,8.333333333333332,FALSE,0.9123320436795089,0.9387955146587573,0.962766432119152,0.9801060579234098,0.990024083788312
MS,2022-06-05,2022,16,9.333333333333334,FALSE,0.9119599418300975,0.9385400267323991,0.962575207467963,0.9800206117916714,0.9899633639364623
MS,2022-06-12,2022,8,11,FALSE,0.9116093109844841,0.9382979480337243,0.9622904870212612,0.9799203490096164,0.9898998222317343
MS,2022-06-19,2022,9,8.666666666666666,FALSE,0.9111950543450632,0.9378689432298056,0.9619991920800415,0.9797829673438552,0.9898228211356238
MS,2022-06-26,2022,9,8.666666666666666,FALSE,0.9108277280538368,0.937587168725776,0.9617978894662893,0.9796447167887558,0.9897475022133073
MS,2022-07-03,2022,8,9.333333333333332,FALSE,0.9104556887421014,0.9372387624154589,0.9615685624528754,0.9795221243671887,0.9896427799725679
MS,2022-07-10,2022,11,10,FALSE,0.9100683007036093,0.9369971070188864,0.9613273755806233,0.9793957962230995,0.9895528374360978
MS,2022-07-17,2022,11,10,FALSE,0.9094929732228382,0.9366045707925492,0.96106554200424,0.9792058169374958,0.9894505734275802
MS,2022-07-24,2022,8,8.333333333333332,FALSE,0.909040853582747,0.9362798063151666,0.9608673574973572,0.9790816879775195,0.9893804481378051
MS,2022-07-31,2022,6,6.333333333333333,FALSE,0.908653620442661,0.9359905351573157,0.960628958122684,0.9789563481426506,0.989305788843533
MS,2022-08-07,2022,5,6.333333333333333,FALSE,0.9082916755299294,0.9357754099742777,0.9604831254299835,0.9788801049209587,0.9892155584227889
MS,2022-08-14,2022,8,4.333333333333333,FALSE,0.9080345431298397,0.9355384667911232,0.9603000640286053,0.9788253163603511,0.989106174110679
MS,2022-08-21,2022,0,3.6666666666666665,FALSE,0.907814532231103,0.9353922439909046,0.9602414468126703,0.9787688557056258,0.9890643018232091
MS,2022-08-28,2022,3,1,FALSE,0.9076672131371945,0.9353129900616224,0.9601871612907933,0.9787308595005879,0.9890162442997863
MS,2022-09-04,2022,0,1.6666666666666665,FALSE,0.9076424262473477,0.9352830790651938,0.9601744204178381,0.9787256767962745,0.9890041873317039
MS,2022-09-11,2022,2,2.9999999999999996,FALSE,0.9075874424759043,0.9352271917143454,0.9601508653000639,0.9786980225089011,0.9889849029673589
MS,2022-09-18,2022,7,3.666666666666666,FALSE,0.9074720787953081,0.9351125998196432,0.9601259767879129,0.9786650507310722,0.988969763323061
MS,2022-09-25,2022,2,2.9999999999999996,FALSE,0.9072491409302984,0.9349965463478744,0.9600162654648291,0.9786233332281126,0.9889651243077321
MS,2022-10-02,2022,0,1.6666666666666665,FALSE,0.9071267091910651,0.9348922298516128,0.9599159293990558,0.9785695137819058,0.9889546889089206
MS,2022-10-09,2022,3,1.3333333333333333,FALSE,0.9070829293184963,0.934842515304327,0.9598882193263898,0.978538900599314,0.9889426814331207
MS,2022-10-16,2022,1,1.6666666666666665,FALSE,0.9070487650961041,0.9348118352199447,0.9598696373163011,0.9785151722821424,0.9889328595550513
MS,2022-10-23,2022,1,1.9999999999999998,FALSE,0.9069715088845689,0.9347703816011945,0.9598285203438988,0.978488519026551,0.9889206028272202
MS,2022-10-30,2022,4,2.3333333333333335,FALSE,0.9068626612694269,0.9347047469525658,0.9597766070471868,0.9784571498503918,0.9889058114265347
MS,2022-11-06,2022,2,3.333333333333333,FALSE,0.9066557591031672,0.934636562608486,0.9597266643018678,0.9784197264557621,0.9888898243786439
MS,2022-11-13,2022,4,3.9999999999999996,FALSE,0.9065153498469445,0.9345437256343473,0.959634807316287,0.9783656238614681,0.9888837141694672
MS,2022-11-20,2022,6,4.666666666666666,FALSE,0.9063493172495755,0.9344366365531254,0.9595385121150041,0.9783030786897832,0.9888765734377705
MS,2022-11-27,2022,4,5,FALSE,0.9061092095074256,0.9342789441171377,0.9594170769757168,0.9782516806037969,0.9888200823336928
MS,2022-12-04,2022,5,4,FALSE,0.905839966482334,0.9341448977998628,0.9592944339186777,0.9781758293723125,0.9887834153119933
MS,2022-12-11,2022,3,3,FALSE,0.9056465394890243,0.9339917860989567,0.9591922669478653,0.978089289416779,0.988760079501525
MS,2022-12-18,2022,1,1.3333333333333333,FALSE,0.9055926148160517,0.9339130233469146,0.9591264914366014,0.9780449329056584,0.9887290211400762
MS,2022-12-25,2022,0,1.3333333333333333,FALSE,0.9055805346562573,0.9338823036525778,0.9590912201953269,0.9780268696848076,0.9887143709174078
