state,wave_id,S_onset_q025,S_onset_q25,S_onset_median,S_onset_q75,S_onset_q975,n_draws
PB,PB_wave_03,0.9930828783753021,0.9955382293757249,0.9974196236159547,0.9987272864965213,0.9995972459822051,4000
PB,PB_wave_04,0.9803606504765014,0.9873829222935951,0.9896711513297188,0.9919789236915998,0.9959853211395219,4000
PB,PB_wave_05,0.9755310835840139,0.9824254578812901,0.9852249520566485,0.9881477704254328,0.9931534176798916,4000
PB,PB_wave_06,0.970742901186406,0.977868570767824,0.9815739730512307,0.9853885482777711,0.9911208555327676,4000
PB,PB_wave_07,0.9644946690693735,0.9727165728706992,0.9771286231892453,0.981940560560031,0.988502105900826,4000
PB,PB_wave_08,0.9591767679015589,0.9682487656402184,0.9731158155725554,0.9788368516640252,0.9864635898469871,4000
PB,PB_wave_09,0.9512313351978954,0.9608592928821776,0.9654937999768443,0.9702233081202698,0.9786603635208879,4000
PB,PB_wave_10,0.936180520546029,0.9481941589238225,0.9542906997439438,0.9592716089156859,0.9669442330506711,4000
PB,PB_wave_11,0.9329631026670259,0.9447715495239536,0.9505375776429703,0.9554401558346557,0.9634231229384201,4000
PB,PB_wave_12,0.9295769861164894,0.9410998555898307,0.9467962018858405,0.9518703876975775,0.9602196135540615,4000
PE,PE_wave_03,0.997873833830809,0.9986432496752098,0.9991172104702521,0.9995933589619379,1.0000360012198073,4000
PE,PE_wave_04,0.9753018130794959,0.9820649035215068,0.9846691244378306,0.9872557602797591,0.9919107845885177,4000
PE,PE_wave_05,0.9709665527911981,0.9780069353844,0.981182388739709,0.9843188845174529,0.9897902970467178,4000
PE,PE_wave_06,0.9651948862593488,0.9731856955517583,0.976989694371738,0.9808426502959334,0.9872657342627001,4000
PE,PE_wave_07,0.9594001797562806,0.9685277350321523,0.9728081886146128,0.9773129607099206,0.9846377680579755,4000
PE,PE_wave_08,0.9482691422519253,0.9589148401079706,0.9637013549742802,0.9679863926144117,0.9748154042253026,4000
PE,PE_wave_09,0.9386616307474821,0.9509404254932072,0.956562907961069,0.9615456348656706,0.9694814195620167,4000
PE,PE_wave_10,0.9364484144746695,0.9486855521926543,0.9541565403524946,0.959384742164219,0.9672437534837903,4000
PE,PE_wave_11,0.9314120848525022,0.9438372625482615,0.9495975459671301,0.9548122793716014,0.9633899427469035,4000
PI,PI_wave_03,0.9918116390569208,0.9951200182533109,0.9974363270109641,0.9987840031010514,0.9996351915512787,4000
PI,PI_wave_04,0.9826739896315122,0.9880335433187033,0.9912177543777205,0.9943192036393613,0.997751537873816,4000
PI,PI_wave_05,0.9657275562633922,0.9758031073757873,0.9797219041758116,0.9832237722209682,0.989743581684371,4000
PI,PI_wave_06,0.9556208354562554,0.9664952254109325,0.9713653359695121,0.9760674254774604,0.9843990458739553,4000
PI,PI_wave_07,0.9506170705339781,0.9621352897306662,0.9675484744695481,0.973269363346489,0.9823851703009171,4000
PI,PI_wave_08,0.9442871473968247,0.9569759925877117,0.963482121215839,0.9702325872444368,0.9802252626861663,4000
PI,PI_wave_09,0.9283078882271387,0.9428450040613471,0.9491041658966956,0.9546370094019664,0.964175376447711,4000
PI,PI_wave_10,0.9195658709990899,0.9345396101081939,0.9415239883716386,0.9473969816883713,0.9574177955384734,4000
PI,PI_wave_11,0.9150996469352803,0.9305376148118317,0.9371777031454218,0.9431948278484874,0.9530325037973778,4000
PR,PR_wave_17,0.9308750070259993,0.9544764152231412,0.9750252165253395,0.9872783085814661,0.9941407563975392,4000
PR,PR_wave_19,0.9174658900912034,0.9427068371665152,0.9602003672917306,0.9739152925719019,0.9849357743987881,4000
RJ,RJ_wave_04,0.9971440045097315,0.9983090682156408,0.999256514807505,0.9998136374654272,1.0000766385780142,4000
RJ,RJ_wave_05,0.9840146998770365,0.9894219948125889,0.9935771875076292,0.9970949726070648,0.9990847131842696,4000
RJ,RJ_wave_06,0.9757887354529348,0.983268848649922,0.9886581143202897,0.9940046656446956,0.9976433243857619,4000
RJ,RJ_wave_07,0.9640143705596403,0.974423824108131,0.9786474352257597,0.9826475363838527,0.9897955272938395,4000
RJ,RJ_wave_10,0.9227714991485441,0.9416373490459697,0.9488085966344588,0.9553149462506817,0.9653897089814831,4000
RJ,RJ_wave_11,0.9165489496520007,0.934493835005245,0.9415667056671178,0.9480125446648161,0.958233777617482,4000
RN,RN_wave_03,0.9933113660720443,0.9958757619811033,0.9974654656658517,0.998458839738569,0.9994342879236453,4000
