UF,episode_id,q_scenario,identification_status,t_pre,t_pre_matched,S_pre_median,S_pre_lower,S_pre_upper,temperature_summary,precipitation_summary,R_climate_hat,R_climate_lower,R_climate_upper,R_climate_log_fit,R_climate_log_se,climate_in_training_support,Re_pred_median,Re_pred_lower,Re_pred_upper,episode_start,episode_end,total_cases,Re_obs_median,Re_obs_lower,Re_obs_upper,peak_cases
CE,CE_wave_03,0.15,conditional_fixed_q_sensitivity,2017-02-05,2017-02-05,0.9752398263138329,0.9716949911591343,0.9777153872263223,25.634766051909775,249.3804551331594,2.497905775276807,2.2021187420381465,2.833422713793487,0.9154526909266368,0.06430241298403998,YES,2.4308667952096608,2.157472396425688,2.749515887654277,2017-02-12,2018-12-16,106695,2.0970421266971613,1.4914926315291894,3.088328977604876,8682
CE,CE_wave_03,0.20,conditional_fixed_q_sensitivity,2017-02-05,2017-02-05,0.9814434940150362,0.9787518756931282,0.9835947800759566,25.634766051909775,249.3804551331594,2.497905775276807,2.2021187420381465,2.833422713793487,0.9154526909266368,0.06430241298403998,YES,2.44842142493438,2.154965354121971,2.7706361150081693,2017-02-12,2018-12-16,106695,2.0970421266971613,1.4914926315291894,3.088328977604876,8682
CE,CE_wave_04,0.05,conditional_fixed_q_sensitivity,2018-12-23,2018-12-23,0.7379343972017336,0.7107892174765418,0.7601866608560419,26.302090529581022,138.03716499015425,2.279964796037324,2.008254520040358,2.5884365847537354,0.8241600025126392,0.06474186515688457,YES,1.6822265199767115,1.4736722625483383,1.9102599695829607,2018-12-30,2019-09-08,1094,1.6170346314445174,1.097571094752463,2.4365354166987028,59
CE,CE_wave_04,0.10,conditional_fixed_q_sensitivity,2018-12-23,2018-12-23,0.8641543397328928,0.8501656028195657,0.8765860844508879,26.302090529581022,138.03716499015425,2.279964796037324,2.008254520040358,2.5884365847537354,0.8241600025126392,0.06474186515688457,YES,1.975510839280846,1.7258993552591373,2.233725037716025,2018-12-30,2019-09-08,1094,1.6170346314445174,1.097571094752463,2.4365354166987028,59
CE,CE_wave_04,0.15,conditional_fixed_q_sensitivity,2018-12-23,2018-12-23,0.9092193933009382,0.8998539955883385,0.9172666117997094,26.302090529581022,138.03716499015425,2.279964796037324,2.008254520040358,2.5884365847537354,0.8241600025126392,0.06474186515688457,YES,2.0748463133919826,1.8160303619442593,2.352502651002556,2018-12-30,2019-09-08,1094,1.6170346314445174,1.097571094752463,2.4365354166987028,59
CE,CE_wave_04,0.20,conditional_fixed_q_sensitivity,2018-12-23,2018-12-23,0.9322138581682358,0.9233732783137362,0.9387885071230226,26.302090529581022,138.03716499015425,2.279964796037324,2.008254520040358,2.5884365847537354,0.8241600025126392,0.06474186515688457,YES,2.132384980868494,1.8603089274576554,2.410025603666841,2018-12-30,2019-09-08,1094,1.6170346314445174,1.097571094752463,2.4365354166987028,59
CE,CE_wave_05,0.05,conditional_fixed_q_sensitivity,2019-09-15,2019-09-15,0.7384092163178063,0.7113807448630403,0.760384304572421,27.938991161883703,5.562332668838317,2.0674771260271165,1.6931518436291904,2.5245589654163805,0.7263290842642373,0.10190678369651587,NO,1.515804263283792,1.2524218152903988,1.8789278717502946,2019-09-22,2020-12-20,1119,1.0029392098604584,0.6609838907084242,1.5541638635634345,39
CE,CE_wave_05,0.10,conditional_fixed_q_sensitivity,2019-09-15,2019-09-15,0.8644372554667386,0.8506127028596638,0.8767532548962718,27.938991161883703,5.562332668838317,2.0674771260271165,1.6931518436291904,2.5245589654163805,0.7263290842642373,0.10190678369651587,NO,1.7933114038853857,1.463400518383711,2.1785780263444474,2019-09-22,2020-12-20,1119,1.0029392098604584,0.6609838907084242,1.5541638635634345,39
CE,CE_wave_05,0.15,conditional_fixed_q_sensitivity,2019-09-15,2019-09-15,0.9093747555404706,0.9001487932207861,0.91727534637613,27.938991161883703,5.562332668838317,2.0674771260271165,1.6931518436291904,2.5245589654163805,0.7263290842642373,0.10190678369651587,NO,1.8776044315149436,1.5378487569466246,2.2928020091731125,2019-09-22,2020-12-20,1119,1.0029392098604584,0.6609838907084242,1.5541638635634345,39
CE,CE_wave_05,0.20,conditional_fixed_q_sensitivity,2019-09-15,2019-09-15,0.9323400105717581,0.9236070380398385,0.9388606869250972,27.938991161883703,5.562332668838317,2.0674771260271165,1.6931518436291904,2.5245589654163805,0.7263290842642373,0.10190678369651587,NO,1.9295119841391684,1.5750905990870763,2.347595682648837,2019-09-22,2020-12-20,1119,1.0029392098604584,0.6609838907084242,1.5541638635634345,39
