year,age,share
2017,72,0.004339508163202851
2017,73,0.004002322269437364
2017,74,0.0037316643389271524
2017,75,0.0035307498898962206
2017,76,0.003361990623105339
2017,77,0.003209974227067035
2017,78,0.003095102610512926
2017,79,0.002929780621823567
2017,80,0.0026449300591522298
2017,81,0.002290003375185336
2017,82,0.0019919580998017023
2017,83,0.0017245156875154955
2017,84,0.0015117370850373732
2017,85,0.001349076214878225
2017,86,0.0012100327716746996
2017,87,0.0010888409986113397
2017,88,9.878293744020798e-4
2017,89,8.924726270695187e-4
2017,90,3.1402206655933217e-4
2017,91,3.1402206655933217e-4
2017,92,3.1402206655933217e-4
2017,93,3.1402206655933217e-4
2017,94,3.1402206655933217e-4
2017,95,3.1402206655933217e-4
2017,96,3.1402206655933217e-4
2017,97,3.1402206655933217e-4
2017,98,3.1402206655933217e-4
2017,99,3.1402206655933217e-4
2017,100,3.1402206655933217e-4
2018,0,0.014652132899006723
2018,1,0.014380770580843165
2018,2,0.014494581898205306
2018,3,0.014508464014359837
2018,4,0.014031734517529256
2018,5,0.013995817296367535
2018,6,0.014163945147572403
2018,7,0.01429152840556404
2018,8,0.014414814818079274
2018,9,0.014703915395773624
2018,10,0.014973074203436463
2018,11,0.015174364887677153
2018,12,0.015498941984433079
2018,13,0.015468643715048191
2018,14,0.015382486454470075
2018,15,0.015853266472948713
2018,16,0.016368667579066916
2018,17,0.01687613604738253
2018,18,0.017687799140322414
2018,19,0.018378158980197713
2018,20,0.018788672986481684
2018,21,0.018773909466126865
2018,22,0.018501004690612805
2018,23,0.018269415736987225
2018,24,0.01802108010355618
2018,25,0.01782684065291779
2018,26,0.01775357392876888
2018,27,0.017724707941209457
2018,28,0.01767369667311781
2018,29,0.017634914888305153
2018,30,0.017527053049294954
2018,31,0.017313753232825344
2018,32,0.017017821772578767
2018,33,0.01668916818139651
2018,34,0.016312478061298576
2018,35,0.01595088198813057
2018,36,0.01562972033265076
2018,37,0.015329381851402743
2018,38,0.014999516329445092
2018,39,0.014656539920008161
2018,40,0.014290867352413824
2018,41,0.0138921421273087
2018,42,0.013487247072801562
2018,43,0.013086097986145647
2018,44,0.012668092044159232
2018,45,0.012337345118001292
2018,46,0.012138698646361464
2018,47,0.012027751892650257
2018,48,0.011908211447986245
2018,49,0.011796493465599786
2018,50,0.01163728983192283
2018,51,0.01139997175099538
2018,52,0.01110822696070017
2018,53,0.010834771307560928
2018,54,0.010583681286003984
2018,55,0.01023673855766576
2018,56,0.00975780555033446
2018,57,0.0092091314356554
2018,58,0.008679076984707417
2018,59,0.008144395161707924
2018,60,0.00767372531875432
2018,61,0.007320833112064154
2018,62,0.007059166240103759
2018,63,0.006795736559742789
2018,64,0.006543214256360378
2018,65,0.006294768447404298
2018,66,0.006049407553149224
2018,67,0.005817708423998609
2018,68,0.005616307564232882
2018,69,0.0054525867340294515
2018,70,0.0052171416370276145
2018,71,0.004884301375893992
2018,72,0.00451818810619951
2018,73,0.004184686791915673
2018,74,0.003859448642009531
2018,75,0.0035689157824897156
2018,76,0.0033474629771674444
2018,77,0.0031878186413903447
2018,78,0.0030439294056933863
2018,79,0.002935186162482898
2018,80,0.002740726360794436
2018,81,0.0024382945445707376
2018,82,0.0021114037617890567
2018,83,0.001836515826824347
2018,84,0.0015900531773189138
2018,85,0.0013666172125459954
2018,86,0.0011932009361394012
2018,87,0.0010703552257243104
2018,88,9.634849664394333e-4
2018,89,8.741326156352731e-4
2018,90,3.206608576387386e-4
2018,91,3.206608576387386e-4
2018,92,3.206608576387386e-4
2018,93,3.206608576387386e-4
2018,94,3.206608576387386e-4
2018,95,3.206608576387386e-4
2018,96,3.206608576387386e-4
2018,97,3.206608576387386e-4
2018,98,3.206608576387386e-4
2018,99,3.206608576387386e-4
2018,100,3.206608576387386e-4
2019,0,0.014473234993908807
2019,1,0.014525354494726623
2019,2,0.014267275369878738
2019,3,0.014384872730967677
2019,4,0.014400201995914094
2019,5,0.0139314549728026
2019,6,0.013900029979662444
2019,7,0.014067228462328003
2019,8,0.014193804392885557
2019,9,0.014316219522957654
2019,10,0.014604300209200668
2019,11,0.014872452851013341
2019,12,0.015072280769064842
2019,13,0.015394742806687676
2019,14,0.015364850740042164
2019,15,0.015251633168937916
2019,16,0.015690707114903134
2019,17,0.016202485574614213
2019,18,0.016706051928103996
2019,19,0.0175117142957878
2019,20,0.0181587187712762
2019,21,0.018527059108988664
2019,22,0.01851249630728957
2019,23,0.018242044275734934
2019,24,0.01801232429103792
2019,25,0.017788626517569857
2019,26,0.017618909655663102
2019,27,0.01754631463666686
2019,28,0.01751784600176637
2019,29,0.017467368922192812
2019,30,0.01744546997226936
2019,31,0.017355574782833588
2019,32,0.017144249916072274
2019,33,0.016850694492348398
2019,34,0.016524619127988194
2019,35,0.016156826264023812
2019,36,0.015804253170256233
2019,37,0.015485842438369238
2019,38,0.015188345203659139
2019,39,0.014861284386552381
2019,40,0.01451473350401375
2019,41,0.014145845692553196
2019,42,0.013750898130683736
2019,43,0.01335014734708456
2019,44,0.012952900395473137
2019,45,0.012530907630448212
2019,46,0.012195525212370542
2019,47,0.01199931062105641
2019,48,0.011889487387190296
2019,49,0.011771342552353271
2019,50,0.011652978728017013
2019,51,0.011487970140343801
2019,52,0.011253432386663627
2019,53,0.010965789679419082
2019,54,0.010695337647864447
2019,55,0.010436820544018094
2019,56,0.010084247450250513
2019,57,0.009612544068899352
2019,58,0.00907251596378702
2019,59,0.00855044499761192
2019,60,0.008005599123516428
2019,61,0.007525136162195887
2019,62,0.007179132753405341
2019,63,0.0069228055445513335
2019,64,0.0066642884407049794
2019,65,0.0063995301361304425
2019,66,0.006139480105789448
2019,67,0.005900234077875732
2019,68,0.005674236914665705
2019,69,0.005477912828601956
2019,70,0.005289910343509119
2019,71,0.005033473639905493
2019,72,0.0047126540235269175
2019,73,0.004359095477012782
2019,74,0.004037509397386886
2019,75,0.0036931484098405997
2019,76,0.003385906142414565
2019,77,0.0031758952126486584
2019,78,0.003024792458176838
2019,79,0.002888580989652965
2019,80,0.0027479897311444017
2019,81,0.0025290002319098798
2019,82,0.002250226599384333
2019,83,0.0019486780589383957
