state,week_start,week_of_year,lag_spec,lagged_temp,lagged_precip,log_precip
TO,2019-06-02,22,sensitivity_A,27.335706214906494,49.69978593512672,3.9259216884013743
TO,2019-06-09,23,sensitivity_A,27.496225259820886,48.841661857709035,3.9088512177778187
TO,2019-06-16,24,sensitivity_A,27.50930728154067,5.90023011355454,1.9315547608376349
TO,2019-06-23,25,sensitivity_A,27.211571772823653,1.804148099288246,1.0310997849274408
TO,2019-06-30,26,sensitivity_A,27.367285415042893,0.61917553126105,0.48191708837445235
TO,2019-07-07,27,sensitivity_A,27.156050677505977,1.086001432592794,0.7352490433438262
TO,2019-07-14,28,sensitivity_A,26.936415444623396,7.9341252950163526,2.1898782473465106
TO,2019-07-21,29,sensitivity_A,27.18546752647189,7.668185220162413,2.15965945171559
TO,2019-07-28,30,sensitivity_A,27.697262610168828,7.664949145431133,2.159286054186831
TO,2019-08-04,31,sensitivity_A,27.998477283887826,6.967295776719403,2.07534513494061
TO,2019-08-11,32,sensitivity_A,28.20987216021835,0.11133046827499517,0.10555791762027246
TO,2019-08-18,33,sensitivity_A,28.89507520344221,0.04398267196659783,0.04304289158955924
TO,2019-08-25,34,sensitivity_A,29.137810207676857,0.2521094776113039,0.22482971103661473
TO,2019-09-01,35,sensitivity_A,29.64626900006201,0.264814897118534,0.23492578508422243
TO,2019-09-08,36,sensitivity_A,30.239463883795324,1.2906493374489474,0.8288353308436167
TO,2019-09-15,37,sensitivity_A,30.700280272332595,1.3856723055852962,0.8694809737513235
TO,2019-09-22,38,sensitivity_A,30.741527160012325,1.324058036699128,0.8433148114399538
TO,2019-09-29,39,sensitivity_A,28.95839772481014,3.5990109110347173,1.525841261034798
TO,2019-10-06,40,sensitivity_A,27.546552776225084,37.29646091323056,3.6453574875627615
TO,2019-10-13,41,sensitivity_A,27.85588883355555,57.275552203390625,4.065182660696585
TO,2019-10-20,42,sensitivity_A,27.646264600682702,72.56210627765049,4.2981300327907155
TO,2019-10-27,43,sensitivity_A,27.550375622968296,103.62252896173266,4.650358910482773
TO,2019-11-03,44,sensitivity_A,27.728575291628275,83.38056186326315,4.4353370653995885
TO,2019-11-10,45,sensitivity_A,27.839719417682765,92.15581676660705,4.534273540257476
TO,2019-11-17,46,sensitivity_A,27.192929632109088,88.1180139967141,4.489961491333655
TO,2019-11-24,47,sensitivity_A,26.52322823456602,115.89784004165843,4.761300391332629
TO,2019-12-01,48,sensitivity_A,26.978392186465108,138.85758687398064,4.940624668258579
TO,2019-12-08,49,sensitivity_A,26.947819125030083,142.61879298674327,4.967162518432563
TO,2019-12-15,50,sensitivity_A,27.235177789998268,170.60029246499386,5.145167891393865
TO,2019-12-22,51,sensitivity_A,27.912028198759206,119.15063000033686,4.788746205617228
TO,2019-12-29,52,sensitivity_A,26.656043801991512,102.25582286541105,4.637209626041865
TO,2020-01-05,1,sensitivity_A,25.286533327318786,172.7859033081543,5.157824100843036
TO,2020-01-12,2,sensitivity_A,26.039024402857564,195.7566168933776,5.2819675177021574
TO,2020-01-19,3,sensitivity_A,26.241983220842343,210.96376960225382,5.356415361964691
TO,2020-01-26,4,sensitivity_A,25.95152764755098,283.1586675724104,5.6495327707880625
TO,2020-02-02,5,sensitivity_A,25.61518226155159,243.04639507289323,5.497358350959537
TO,2020-02-09,6,sensitivity_A,25.560355808274334,301.2476645242325,5.711246762498076
TO,2020-02-16,7,sensitivity_A,26.172966155786547,319.22172462227604,5.76901364530132
TO,2020-02-23,8,sensitivity_A,26.442750870885696,276.10414056852795,5.624393394263711
TO,2020-03-01,9,sensitivity_A,25.900852305409046,259.7768130487491,5.5636649190783665
TO,2020-03-08,10,sensitivity_A,25.218754624679807,229.12050028107643,5.438603085993583
TO,2020-03-15,11,sensitivity_A,25.25738646835464,274.29476570390824,5.617842398905363
TO,2020-03-22,12,sensitivity_A,25.389849789614047,306.0865551871562,5.727129646570323
TO,2020-03-29,13,sensitivity_A,26.45539387342655,315.08695476332883,5.756017349035357
TO,2020-04-05,14,sensitivity_A,27.32941392451871,231.566416773174,5.449175847773884
TO,2020-04-12,15,sensitivity_A,26.031292348621903,171.45593039185994,5.150141727842647
TO,2020-04-19,16,sensitivity_A,24.950204364667613,199.92852723385982,5.302949258922223
TO,2020-04-26,17,sensitivity_A,25.705362976399726,208.64056485071382,5.345394468314584
TO,2020-05-03,18,sensitivity_A,26.697769072331177,203.6510209235558,5.321306191558052
TO,2020-05-10,19,sensitivity_A,26.9044949878233,181.14075572493377,5.204779771274217
TO,2020-05-17,20,sensitivity_A,26.78845432763584,74.78102696044098,4.327847957365098
TO,2020-05-24,21,sensitivity_A,26.487779929118254,18.402081622162527,2.9653803604245077
TO,2020-05-31,22,sensitivity_A,26.30274790722973,37.51461862442952,3.651037873754853
TO,2020-06-07,23,sensitivity_A,26.71448600306469,34.58752626675329,3.5719951906931926
TO,2020-06-14,24,sensitivity_A,26.643470500987252,31.245350790211884,3.47337387130569
TO,2020-06-21,25,sensitivity_A,26.352129658903024,23.20831480926503,3.1866961613098015
TO,2020-06-28,26,sensitivity_A,26.601199853979743,2.7404536759596825,1.3192069078022732
TO,2020-07-05,27,sensitivity_A,26.670281817820246,0.2610995235082046,0.23198397814138755
TO,2020-07-12,28,sensitivity_A,26.714337466999865,0.1717476937113067,0.15849638957577725
TO,2020-07-19,29,sensitivity_A,26.58179049716334,0.16888636684155245,0.156051472325957
TO,2020-07-26,30,sensitivity_A,26.16856347493855,0.13815563058067576,0.12940908433312337
TO,2020-08-02,31,sensitivity_A,26.0584312468981,0.14272510744907874,0.13341585496824857
TO,2020-08-09,32,sensitivity_A,26.733506780739688,0.03161471000701462,0.031125254333057323
TO,2020-08-16,33,sensitivity_A,28.305573991413986,0.029326215396269797,0.028904428376213195
TO,2020-08-23,34,sensitivity_A,29.08129749508233,0.07649517401061232,0.07371055477517871
TO,2020-08-30,35,sensitivity_A,28.94270951306802,0.3087469653933657,0.26907016449380156
TO,2020-09-06,36,sensitivity_A,29.13629497390066,0.31085928207832025,0.27068286269590874
TO,2020-09-13,37,sensitivity_A,29.63147272994621,0.3165079704919873,0.2749827542404857
TO,2020-09-20,38,sensitivity_A,30.031601339699094,0.30620222512026524,0.2671238619915261
TO,2020-09-27,39,sensitivity_A,30.362902942384117,2.82552964997921,1.341696928275133
TO,2020-10-04,40,sensitivity_A,30.86984518055635,3.1772788396749503,1.4296600392541472
TO,2020-10-11,41,sensitivity_A,30.219756797719224,4.877497058364935,1.7711310009410963
TO,2020-10-18,42,sensitivity_A,29.588980831851934,10.616751582678477,2.452448158354904
TO,2020-10-25,43,sensitivity_A,28.69491543787977,20.974832141025978,3.089897804908436
TO,2020-11-01,44,sensitivity_A,26.311581857429225,58.984076388541425,4.094079133474698
TO,2020-11-08,45,sensitivity_A,26.4897849933559,157.8835262080521,5.068171394210017
TO,2020-11-15,46,sensitivity_A,27.03463455934704,154.18771092693834,5.044635422442256
TO,2020-11-22,47,sensitivity_A,26.30484494381161,200.52528018006274,5.3059148334679795
TO,2020-11-29,48,sensitivity_A,27.031459442874464,193.92690953366667,5.27262466539581
TO,2020-12-06,49,sensitivity_A,26.94321090463693,100.36806403479821,4.618758091202649
TO,2020-12-13,50,sensitivity_A,26.74749228755756,148.09716507112384,5.004598207982446
TO,2020-12-20,51,sensitivity_A,26.307755953811693,99.68836184745378,4.612030220527661
TO,2020-12-27,52,sensitivity_A,26.196842127128974,150.41046028471132,5.019994429004507
TO,2021-01-03,53,sensitivity_A,26.980487698162158,163.046546932035,5.10015021031045
TO,2021-01-10,1,sensitivity_A,26.350700974111202,139.91284495967227,4.948141578409326
TO,2021-01-17,2,sensitivity_A,25.94564089410811,192.84819148075343,5.267075334595747
TO,2021-01-24,3,sensitivity_A,26.368594006737098,144.18975834820452,4.97804156511102
TO,2021-01-31,4,sensitivity_A,26.61581470651499,146.8776255982218,4.9963850776656695
TO,2021-02-07,5,sensitivity_A,25.786846656323696,173.49174180726683,5.161877415635901
TO,2021-02-14,6,sensitivity_A,24.586854270002398,193.05227235880344,5.268127567917975
TO,2021-02-21,7,sensitivity_A,24.437843461012307,271.4053817102595,5.60729133072579
TO,2021-02-28,8,sensitivity_A,24.937253449681563,348.5793620564409,5.85673060901953
TO,2021-03-07,9,sensitivity_A,25.458410660003537,363.8167312620322,5.899395121353578
TO,2021-03-14,10,sensitivity_A,25.41818677708788,327.9009257881833,5.795756567992458
TO,2021-03-21,11,sensitivity_A,25.460714121410916,292.35862291013893,5.681395829554272
