state,week_of_year,lag_spec,T_clim,logP_clim,n_years
AC,17,sensitivity_A,24.72989538323304,5.16485732421736,11
AC,17,sensitivity_B,24.878398767268724,5.879696983013249,11
AC,18,primary,24.769348593025185,5.475361236533706,11
AC,18,sensitivity_A,24.79325482643847,5.066592173045682,11
AC,18,sensitivity_B,24.832767866731846,5.8019905477027445,11
AC,19,primary,24.61192733724537,5.351133554351564,11
AC,19,sensitivity_A,24.548763685734325,4.942309022730711,11
AC,19,sensitivity_B,24.769348593025185,5.733921610167515,11
AC,20,primary,24.50480533020245,5.22469747447431,11
AC,20,sensitivity_A,24.333080488998934,4.8512841379439084,11
AC,20,sensitivity_B,24.61192733724537,5.6148135456434565,11
AC,21,primary,24.1796807447939,5.134103473610241,11
AC,21,sensitivity_A,24.144884937761265,4.726662193922275,11
AC,21,sensitivity_B,24.50480533020245,5.47340625422145,11
AC,22,primary,24.066470533256467,5.006657641962552,11
AC,22,sensitivity_A,23.89126149031535,4.50501717016266,11
AC,22,sensitivity_B,24.1796807447939,5.369500981778755,11
AC,23,primary,23.791237749789722,4.853723763648603,11
AC,23,sensitivity_A,23.750415996492666,4.396256430705678,11
AC,23,sensitivity_B,24.066470533256467,5.252155885563467,11
AC,24,primary,23.834876178737762,4.683802107131579,11
AC,24,sensitivity_A,23.797493405983207,4.120276311829016,11
AC,24,sensitivity_B,23.791237749789722,5.1039397446294394,11
AC,25,primary,23.997820935550024,4.5010854477527795,11
AC,25,sensitivity_A,24.2011362689558,3.8765689058413555,11
AC,25,sensitivity_B,23.834876178737762,4.986223972611161,11
AC,26,primary,24.347591181368294,4.236476520232244,11
AC,26,sensitivity_A,24.519488500438467,3.687468760108488,11
AC,26,sensitivity_B,23.997820935550024,4.7634127282044005,11
AC,27,primary,24.530002382522397,4.01001671987278,11
AC,27,sensitivity_A,24.595765576441767,3.339928104929068,11
AC,27,sensitivity_B,24.347591181368294,4.582164840014572,11
AC,28,primary,24.563105687872422,3.814623402358499,11
AC,28,sensitivity_A,24.524408028711992,3.1143213480207455,11
AC,28,sensitivity_B,24.530002382522397,4.33100964100615,11
AC,29,primary,24.808022286068127,3.490865380546088,11
AC,29,sensitivity_A,24.93651835575706,3.1320555944745374,11
AC,29,sensitivity_B,24.563105687872422,4.114282936671479,11
AC,30,primary,25.162418661576474,3.4003051486196973,11
AC,30,sensitivity_A,25.494735036997845,2.8985777122192187,11
AC,30,sensitivity_B,24.808022286068127,3.909165888991782,11
AC,31,primary,25.491515210960046,3.2523196094321265,11
AC,31,sensitivity_A,25.549647416049876,2.9271047532139005,11
AC,31,sensitivity_B,25.162418661576474,3.683559652572787,11
AC,32,primary,25.693521045850492,3.2429781612172794,11
AC,32,sensitivity_A,25.733171932168087,3.2628468156900743,11
AC,32,sensitivity_B,25.491515210960046,3.500324922106011,11
AC,33,primary,25.952729191556852,3.4545122096377514,11
AC,33,sensitivity_A,26.186556007893053,3.3770150972213235,11
AC,33,sensitivity_B,25.693521045850492,3.4847243865919784,11
AC,34,primary,26.224625059368794,3.581816941685893,11
AC,34,sensitivity_A,26.34630343632733,3.4720060450678556,11
AC,34,sensitivity_B,25.952729191556852,3.6257405670294407,11
AC,35,primary,26.42464196822267,3.6538488693896243,11
AC,35,sensitivity_A,26.44104109716681,3.605121564846949,11
AC,35,sensitivity_B,26.224625059368794,3.7279537502072384,11
AC,36,primary,26.690650011358922,3.784982719608066,11
AC,36,sensitivity_A,26.885593435878246,3.8464221808624397,11
