state,week_start,week_of_year,lag_spec,lagged_temp,lagged_precip,log_precip,T_clim,logP_clim,n_years,T_anom,P_anom,T_anom_mean,T_anom_sd,P_anom_mean,P_anom_sd,z_T_anom,z_P_anom
MG,2025-05-11,19,primary,20.223362098501596,101.53738116365024,4.630227426373183,20.566219417640113,3.969414431793561,11,-0.3428573191385169,0.6608129945796217,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.44742142896206577,1.3173518485935494
MG,2025-05-18,20,primary,19.818215206102284,76.42406984047983,4.34929771210263,20.106756541055802,3.7470134444214054,11,-0.28854133495351775,0.6022842676812248,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.37654023756560895,1.2006729587898166
MG,2025-05-25,21,primary,19.5486290232918,69.45830538674994,4.255021121910697,19.77880474159306,3.6684939902463882,11,-0.23017571830126116,0.5865271316643086,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.30037436287925134,1.169260603962216
MG,2025-06-01,22,primary,19.852699846026265,33.19694817367001,3.532136405398896,19.6604999844051,3.387417498305699,11,0.19219986162116598,0.14471890709319712,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,0.25081668651241773,0.28850177183174375
MG,2025-06-08,23,primary,19.34982350758505,19.030923731354893,2.9972772660060096,19.448129247907268,3.2536933564781068,11,-0.09830574032221762,-0.2564160904720971,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.1282868772370307,-0.5111736808496543
MG,2025-06-15,24,primary,18.773026566723306,10.315644488196886,2.4261862362081663,19.117039447950717,3.218595515749164,11,-0.34401288122741036,-0.7924092795409976,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.44892941263984226,-1.5796932533236343
MG,2025-06-22,25,primary,18.3898768946123,12.540251111840588,2.6056668132383436,18.77628013140747,3.1941151256852494,11,-0.3864032367951715,-0.5884483124469058,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.504247915129431,-1.1730905393239544
MG,2025-06-29,26,primary,18.44410952631473,10.3265979465404,2.4271537604478306,18.550893706254104,2.7151595099614774,11,-0.10678417993937472,-0.28800574951364677,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.1393510586242288,-0.5741486769168831
MG,2025-07-06,27,primary,18.138958677777886,12.865312091371981,2.6293901881091806,18.603315503682346,2.594525964010709,11,-0.4643568259044599,0.03486422409847156,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.6059756726690287,0.0695029462837952
MG,2025-07-13,28,primary,17.61441942430778,10.894282160634846,2.476057793941881,18.697699496582096,2.3680826863667055,11,-1.0832800722743166,0.10797510757517559,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-1.413657200379873,0.21525183180868307
