week,week_start,calendar_year,entrants_total,entrants_susceptible,doses,effective,birth_cohort
1542,2044-07-17,2044,1861.0993781347001,1927.2371906569263,1674.9894403212302,1387.610777272987,2032
1543,2044-07-24,2044,1861.080339049267,1927.3226695065712,1674.9723051443402,1387.6723220447313,2032
1544,2044-07-31,2044,1861.061491890968,1927.4075862731443,1674.9553427018711,1387.733462116664,2032
1545,2044-08-07,2044,1861.042834873213,1927.4919627068525,1674.9385513858917,1387.794213148934,2032
1546,2044-08-14,2044,1861.0243662241107,1927.5757421088388,1674.9219296016997,1387.8545343183641,2032
1547,2044-08-21,2044,1861.0060841863667,1927.6587887237042,1674.90547576773,1387.9143278810673,2032
1548,2044-08-28,2044,1860.987987017194,1927.7411138058114,1674.8891883154747,1387.9736019401844,2032
1549,2044-09-04,2044,1860.9700729882097,1927.8226310972416,1674.8730656893888,1388.0322943900142,2032
1550,2044-09-11,2044,1860.9523403853436,1927.9032951802724,1674.8571063468094,1388.0903725297962,2032
1551,2044-09-18,2044,1860.9347875087421,1927.9830748564004,1674.8413087578679,1388.1478138966086,2032
1552,2044-09-25,2044,1860.9174126726707,1928.0620098257855,1674.8256714054037,1388.2046470745656,2032
1553,2044-10-02,2044,1860.900214205424,1928.1399709750656,1674.8101927848816,1388.2607791020473,2032
1554,2044-10-09,2044,1860.883190449227,1928.2170290737197,1674.7948714043043,1388.3162609330784,2032
1555,2044-10-16,2044,1860.866339760145,1928.293192661259,1674.7797057841306,1388.3710987161066,2032
1556,2044-10-23,2044,1860.849660507987,1928.368487582651,1674.7646944571884,1388.4253110595089,2032
1557,2044-10-30,2044,1860.8331510762173,1928.4430626505466,1674.7498359685956,1388.4790051083937,2032
1558,2044-11-06,2044,1860.8168098618576,1928.517069407822,1674.7351288756718,1388.532289973632,2032
1559,2044-11-13,2044,1860.800635275399,1928.5905923542418,1674.7205717478591,1388.5852264950543,2032
1560,2044-11-20,2044,1860.7846257407089,1928.6638643718077,1674.706163166638,1388.6379823477016,2032
1561,2044-11-27,2044,1860.76877969494,1928.736972105439,1674.6919017254459,1388.6906199159162,2032
1562,2044-12-04,2044,1860.7530955884379,1928.8100110329076,1674.677786029594,1388.7432079436937,2032
1563,2044-12-11,2044,1860.7399994651967,1928.8844501684496,1674.665999518677,1388.796804121284,2032
1564,2044-12-18,2044,1860.7246347402115,1928.957629613983,1674.6521712661904,1388.849493322068,2032
1565,2044-12-25,2044,1860.7094274117057,1929.0309092407952,1674.6384846705353,1388.9022546533727,2032
