"variable","t","q025","q25","median","q75","q975","week_start"
"R_eff_t",78,0.62242024691644,0.702987121630014,0.751983204744895,0.801461794765334,0.905139152274518,2016-06-26
"R_eff_t",79,0.611358261904269,0.688865234349977,0.734212426022229,0.784648746860094,0.888992369117527,2016-07-03
"R_eff_t",80,0.628561869776276,0.708888977968523,0.755937697095052,0.804516661332497,0.909397380690691,2016-07-10
"R_eff_t",81,0.586462125960849,0.66130746847819,0.704273212368148,0.753099924911457,0.851682914820468,2016-07-17
"R_eff_t",82,0.562772921354466,0.637779025004319,0.680027882296756,0.726449130333128,0.818326724027066,2016-07-24
"R_eff_t",83,0.539701455284835,0.615494938064758,0.658873148119779,0.703573891729565,0.798994086277385,2016-07-31
"R_eff_t",84,0.523326018823017,0.592074317611451,0.629630114996836,0.67003115967308,0.75923065255287,2016-08-07
"R_eff_t",85,0.527373935041361,0.600958672434444,0.641145566951739,0.683616680336318,0.773674622842319,2016-08-14
"R_eff_t",86,0.530963211601934,0.60093832123393,0.641293999598321,0.684396196714498,0.775449286931926,2016-08-21
"R_eff_t",87,0.518127824933103,0.591088519464333,0.6321144811862,0.67422332549555,0.76789020801601,2016-08-28
"R_eff_t",88,0.497955091809552,0.562900162262843,0.605500760768558,0.646572295631822,0.733794295462126,2016-09-04
"R_eff_t",89,0.538396124025147,0.611527266898555,0.652725428390208,0.699577142802045,0.794349624442543,2016-09-11
"R_eff_t",90,0.543233158526102,0.617384561378334,0.660715424413413,0.707159752189697,0.801830998213462,2016-09-18
"R_eff_t",91,0.60061807841052,0.681727634243061,0.728269463966687,0.778177414127455,0.890623054104622,2016-09-25
"R_eff_t",92,0.660186036126154,0.752941665560817,0.804134419277661,0.859406515729454,0.989592757649691,2016-10-02
"R_eff_t",93,0.734583186626065,0.838273731747101,0.894252551336407,0.955390665317846,1.09677421974509,2016-10-09
"R_eff_t",94,0.839705339391446,0.953040524111238,1.02002074683261,1.08774246561674,1.24150098541573,2016-10-16
"R_eff_t",95,0.843061123544351,0.966294806864903,1.03370216902609,1.11011729528533,1.26892138168498,2016-10-23
"R_eff_t",96,0.976449265271052,1.11718281700164,1.19150395784758,1.2694709804058,1.45480486221509,2016-10-30
"R_eff_t",97,1.09306469463231,1.24225085072784,1.33034277123497,1.42035914773264,1.61880691184034,2016-11-06
"R_eff_t",98,1.19390895318313,1.35044140784597,1.44708748366055,1.5454675209723,1.7688521246217,2016-11-13
"R_eff_t",99,1.13483669961608,1.2963186698589,1.39082878323626,1.48761909206706,1.69397678793324,2016-11-20
"R_eff_t",100,0.75366721170407,0.858577571859033,0.918765001033113,0.979563925039107,1.11059439586275,2016-11-27
"R_eff_t",101,0.540984701204104,0.620732145028147,0.665377358016808,0.715388464950947,0.822741763136707,2016-12-04
"R_eff_t",102,0.469313913192631,0.539713158341306,0.582482873111709,0.628242716657879,0.720756756771622,2016-12-11
"R_eff_t",103,0.470324202174168,0.545672829189849,0.588464873515303,0.6360994811608,0.738630049315859,2016-12-18
"R_eff_t",104,0.519233188510023,0.604364945890722,0.655090982267073,0.707957362660331,0.821669740204285,2016-12-25
"R_eff_t",105,0.907176691512078,1.03940104329786,1.11537407066762,1.1935254145691,1.3692172033424,2017-01-01
"R_eff_t",106,1.16562884616546,1.34577039841062,1.44358237953177,1.551750977477,1.77147170449631,2017-01-08
"R_eff_t",107,1.33771083609586,1.52384284529488,1.63358653829163,1.74848006623717,1.97729731175228,2017-01-15
"R_eff_t",108,1.3117876248914,1.48749090788038,1.58998397022243,1.69804130622287,1.91831176180238,2017-01-22
"R_eff_t",109,1.3212318152848,1.49162022662701,1.58871374875577,1.69309880169492,1.92820640767079,2017-01-29
"R_eff_t",110,1.35881541945599,1.53933528359403,1.63856209312176,1.73940298184559,1.96830229138691,2017-02-05
"R_eff_t",111,1.38631469701446,1.56307949044625,1.6626553967574,1.77829359220503,2.0277310156719,2017-02-12
"R_eff_t",112,1.5068950707412,1.70497959958788,1.81761544194943,1.94307849588665,2.19480789975956,2017-02-19
"R_eff_t",113,1.78047102626139,2.01503594394106,2.15179077759716,2.29583295501634,2.57091317005004,2017-02-26
"R_eff_t",114,1.96689764257527,2.19523910965755,2.33499645481461,2.4776675417999,2.80501228682817,2017-03-05
"R_eff_t",115,2.03555580563494,2.28298299647113,2.42078211016093,2.57712591476328,2.90047818112914,2017-03-12
"R_eff_t",116,1.863526918874,2.11331086591353,2.24745388398085,2.39551216068882,2.70112751588632,2017-03-19
"R_eff_t",117,1.87329588918543,2.10885828911314,2.24466574059405,2.39254070535102,2.68035389012917,2017-03-26
"R_eff_t",118,1.63913642062404,1.84485235037984,1.96631897973103,2.09241035224426,2.35401984388503,2017-04-02
"R_eff_t",119,1.41092776674911,1.58990957656391,1.68838241152025,1.7916264116658,2.03179050610513,2017-04-09
"R_eff_t",120,1.23514385508812,1.38832334478516,1.48132016944844,1.57845127836797,1.77425697799503,2017-04-16
"R_eff_t",121,0.983830517317656,1.1213387827882,1.19624744014836,1.2759275652539,1.45112636006185,2017-04-23
"R_eff_t",122,0.928130284429601,1.04197002725245,1.10782726897606,1.18270316595314,1.34164971211058,2017-04-30
"R_eff_t",123,0.776128843750054,0.879279548967164,0.937656357870747,1.00169274721346,1.1338081302044,2017-05-07
"R_eff_t",124,0.670981922908611,0.758765760399053,0.810889388394945,0.86316370347938,0.972109385282428,2017-05-14
"R_eff_t",125,0.530551003101167,0.599472653875686,0.639547112877502,0.683125246273801,0.777075087918135,2017-05-21
"R_eff_t",126,0.469600915874783,0.52909300774433,0.565492991489889,0.603306041931073,0.683505328809304,2017-05-28
"R_eff_t",127,0.417518332030034,0.471872157727342,0.502169715011569,0.537680021473842,0.604851586831236,2017-06-04
"R_eff_t",128,0.375974168011304,0.42570556469304,0.453755124045489,0.485198517851096,0.550728846046153,2017-06-11
"R_eff_t",129,0.380183000202325,0.432428184461779,0.462848310545671,0.494809458118382,0.560735184129017,2017-06-18
"R_eff_t",130,0.403407254058433,0.452490462637671,0.483888679265431,0.516234865885167,0.584487105279213,2017-06-25
"R_eff_t",131,0.436930323276236,0.495829776582346,0.529050172442275,0.563733615882078,0.641278088774191,2017-07-02
"R_eff_t",132,0.439467885644744,0.497230803997907,0.531549914274347,0.565505661325187,0.643974262334929,2017-07-09
"R_eff_t",133,0.456806560522633,0.5167257105737,0.553073327979545,0.590894829192759,0.66926901061939,2017-07-16
"R_eff_t",134,0.45962450585769,0.519970127888196,0.555957475827673,0.592833230215088,0.670263583554337,2017-07-23
"R_eff_t",135,0.4678094711991,0.529277290235031,0.563589405379072,0.603499146807636,0.682661941443339,2017-07-30
"R_eff_t",136,0.43377913558682,0.489255901260036,0.523747471248723,0.558975910832031,0.634434967574488,2017-08-06
"R_eff_t",137,0.415340461744592,0.474716630708001,0.505693142241117,0.539643327163285,0.613379187087214,2017-08-13
"R_eff_t",138,0.382661052570512,0.437721252460996,0.47002652172104,0.503628455321122,0.571484055595151,2017-08-20
"R_eff_t",139,0.36041563563301,0.412913685303533,0.44539458374919,0.479020273471366,0.543024909782941,2017-08-27
"R_eff_t",140,0.394933704650736,0.454978406372692,0.489743031595962,0.524311740049771,0.596713298648144,2017-09-03
"R_eff_t",141,0.45338309211154,0.521527517402929,0.55941135106293,0.600192788324593,0.688539038346762,2017-09-10
"R_eff_t",142,0.488054359138703,0.565976804782352,0.609790535174474,0.65469170253213,0.7556468080068,2017-09-17
"R_eff_t",143,0.527746487270094,0.608200438459375,0.655194779678177,0.704726280128885,0.813472609139112,2017-09-24
"R_eff_t",144,0.568654415963499,0.655657160566935,0.703839660431662,0.762555647957386,0.872615160995527,2017-10-01
"R_eff_t",145,0.521391352255531,0.608215424575615,0.661415679287275,0.718975409210064,0.823781004584337,2017-10-08
"R_eff_t",146,0.572422299079557,0.665690710470758,0.72110818798166,0.773155260618557,0.892635364668516,2017-10-15
"R_eff_t",147,0.635523949407958,0.740666790251138,0.797203863590671,0.859866026372603,0.998134543083554,2017-10-22
"R_eff_t",148,0.756217199221762,0.876613940609034,0.943246755428351,1.01954263786479,1.18395828575763,2017-10-29
"R_eff_t",149,0.773061448843033,0.901004295207722,0.974532476320463,1.04992763472186,1.21987379480496,2017-11-05
"R_eff_t",150,0.686252052141591,0.803425408675264,0.866426794438087,0.937531043073047,1.09332777402011,2017-11-12
"R_eff_t",151,0.614840634417188,0.719914326862593,0.781274091785011,0.846626975761934,0.978028704223837,2017-11-19
"R_eff_t",152,0.630956861904981,0.742120648291659,0.801587319981011,0.867105207970438,1.00895069700169,2017-11-26
"R_eff_t",153,0.67242991216766,0.780978739265317,0.842292702008611,0.915714624357637,1.06397023132977,2017-12-03
"R_eff_t",154,0.678602340782238,0.788172895337372,0.851289771955224,0.921875096865936,1.07608587844025,2017-12-10
"R_eff_t",155,0.610104866737341,0.716931364866169,0.780799775423886,0.847420681201188,0.9970549074038,2017-12-17
"R_eff_t",156,0.624937879934821,0.738168389749511,0.803450286238636,0.873860234173278,1.02010459717457,2017-12-24
"R_eff_t",157,0.778137684390184,0.91407416878682,0.989483094663144,1.07100605991126,1.24046072266099,2017-12-31
"R_eff_t",158,0.902207320355808,1.05122368529513,1.13892340799541,1.23657326199328,1.44116024590932,2018-01-07
"R_eff_t",159,0.975380902611433,1.12841154071253,1.22071400544395,1.31944077092284,1.53330611085119,2018-01-14
"R_eff_t",160,0.942769404237986,1.09708985783041,1.18485857998114,1.28143104580986,1.48157314173246,2018-01-21
"R_eff_t",161,0.894968606007343,1.05176490844702,1.13514354160944,1.22821154698305,1.41617941039196,2018-01-28
"R_eff_t",162,0.881433717692619,1.02018127362591,1.09941101231716,1.19111806777298,1.37544320804997,2018-02-04
"R_eff_t",163,0.880357526933924,1.02456635026954,1.11183934538596,1.20413163286829,1.38246770570321,2018-02-11
"R_eff_t",164,0.931304011188499,1.08118625587571,1.16755002835932,1.26084305159323,1.45858577753668,2018-02-18
"R_eff_t",165,1.01641972039223,1.17889096238088,1.26464737244998,1.36367539950728,1.58089662098425,2018-02-25
"R_eff_t",166,0.903868890648813,1.04114923981654,1.12196644222611,1.20673217870192,1.39004007471008,2018-03-04
"R_eff_t",167,0.874235824399168,1.01162545493317,1.09200656381798,1.17508091328458,1.36126334280114,2018-03-11
"R_eff_t",168,0.76533152616394,0.892231835536656,0.964795851422354,1.04305373177435,1.20707564054259,2018-03-18
"R_eff_t",169,0.749413747927211,0.8715905434725,0.944750258399809,1.01971925805536,1.18738376883538,2018-03-25
"R_eff_t",170,0.855872369687651,0.988645882599555,1.06862310136725,1.15418812482764,1.33929083758344,2018-04-01
"R_eff_t",171,0.84306453864711,0.972076127702613,1.05228987048359,1.13538040623293,1.31364028726809,2018-04-08
"R_eff_t",172,0.736173616411736,0.84680799450575,0.913408111897511,0.983890214356171,1.15007121623127,2018-04-15
"R_eff_t",173,0.563884489913686,0.65855494747224,0.71589588755826,0.773159227200912,0.903247262014079,2018-04-22
"R_eff_t",174,0.520599134028088,0.612762175392711,0.664988563500684,0.719271661041477,0.837446384317906,2018-04-29
"R_eff_t",175,0.509437012786436,0.597168986098065,0.650543869311102,0.709679124128478,0.826266489226161,2018-05-06
"R_eff_t",176,0.582122127719197,0.675276935225876,0.734710434462712,0.796624398077747,0.926474310220815,2018-05-13
"R_eff_t",177,0.625318929405022,0.732033922634339,0.794771453735897,0.862959356239112,1.0041869924484,2018-05-20
"R_eff_t",178,0.64055211387325,0.751817039097855,0.8135296610807,0.881443382282272,1.03589792083234,2018-05-27
"R_eff_t",179,0.647332519605258,0.760096040983125,0.825947376117242,0.896092937143415,1.05227977048188,2018-06-03
"R_eff_t",180,0.681878249764436,0.806760672448375,0.876469007432893,0.954020195115144,1.12146595154405,2018-06-10
"R_eff_t",181,0.703853767539419,0.839509983556513,0.91139028610349,0.993423742564119,1.15579456877724,2018-06-17
"R_eff_t",182,0.639857355141286,0.761327821382573,0.831310783822995,0.908643265956072,1.06496507851758,2018-06-24
