mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,parameter
0.04761690163556979,0.011936528454100983,0.14753707864404128,-0.24841479620955012,-0.058609713398155905,0.054568407747888625,0.15531268984437985,0.324932200740608,152.7728865207488,1.0027069837946547,delta_year_raw[9]
0.040197409536218115,0.011842515285141225,0.1499431662513178,-0.2644821900877098,-0.06455597924066953,0.04648298831547382,0.14794746669734848,0.3168043942599629,160.3117838667699,1.002831699960502,delta_year_raw[10]
2.7427842708459536,0.05611810321590747,1.325785333661196,1.0482211258466236,1.8052553175251962,2.451993456402725,3.370588953466046,5.994803816872178,558.1365373784027,1.0030728790945593,import_count_year[1]
2.2282280799010796,0.03311071140332255,0.9793362344515553,0.7720127672831368,1.5644429903073511,2.053661487624444,2.7048144612563885,4.717743035553307,874.8359525961804,0.9995969976826174,import_count_year[2]
2.812649140652069,0.04629157876728895,1.284751275499219,1.0793845559448418,1.9124867590645696,2.523252341463315,3.452032177414872,6.150113637975272,770.254297174445,1.0014265883678086,import_count_year[3]
2.741089463578022,0.04121254938339493,1.3651311098264438,1.036261937829942,1.8321314264191604,2.468284317205166,3.2864491605307355,6.061412370361166,1097.2100239990511,0.9988068340221802,import_count_year[4]
1.8571603191669275,0.022807368915621972,0.7555575796748425,0.7728995751532846,1.3331454100129574,1.7082756093790719,2.2398332047959872,3.64973112643664,1097.4500397201555,1.0008314630307042,import_count_year[5]
4.474086681190086,0.10633636888709794,2.8739447821276096,1.3796056879709278,2.512816447607822,3.8055599844691046,5.621392111013404,11.536642533607022,730.4545303074296,1.0017161908486294,import_count_year[6]
2.6439622526829734,0.04306296524927032,1.249727610193649,0.9652876134032888,1.7696105831117332,2.3871758696524985,3.264921029112165,5.721849177294008,842.2147960321084,1.0002523302365838,import_count_year[7]
3.514427150729053,0.07108323101921679,1.8744293681469457,1.124336972101188,2.1816227418258447,3.1425004396246656,4.3532646958588685,8.13392336974662,695.3506102197841,0.9999358991946076,import_count_year[8]
3.5412502806011297,0.05718675812354192,1.772569954509542,1.1483265920100687,2.275332337365036,3.120007357410076,4.462787792882108,7.8812642058391384,960.7619887639695,1.0026328407138207,import_count_year[9]
3.460387411334763,0.06906143402614083,1.8760056715132296,1.1228839296264992,2.1333073688357196,3.0745110207708137,4.294091321281035,8.095434871142617,737.8993197255523,1.0011776900647982,import_count_year[10]
5.806434060759629,0.10640437290192363,3.7218691387377945,1.7271450941454163,3.323772571784762,5.0604625471229765,6.934856307263133,15.234629409832266,1223.4979482445713,0.9996039610477508,I0
0.9202900493594565,0.004291626768750007,0.06856384147207932,0.7361684854881871,0.8868532820373664,0.9378036485123373,0.9745667629732676,0.9968959665905954,255.2386231317176,1.0014246487960188,S0_frac
2.481116221596253,0.005271788538862899,0.17116988585027545,2.1707224240240666,2.3568239068162518,2.4775404166327846,2.599852755544581,2.82649813206709,1054.2382248308952,0.9998729991175184,phi_cases
-0.3907184637848695,0.006617825303152305,0.13599959490356608,-0.7081254400591336,-0.47441521843637535,-0.367937356379039,-0.2928521235235014,-0.17515657042901359,422.3229012635545,1.005779740790822,delta_year[1]
0.16803918802007073,9.895698070045752e-4,0.02143252678849413,0.13089255571311859,0.1523430978731493,0.1663194315583183,0.18185351550861875,0.21269427892841267,469.0875197372932,1.0045008594341645,delta_year[2]
0.0582498088484111,9.496586076184081e-4,0.02066837757676445,0.023354536799563504,0.04336899550449968,0.05639702360894473,0.07126684395717305,0.1001198580359945,473.67204620821383,1.0054563166346322,delta_year[3]
-0.02794495843378496,9.45885637209186e-4,0.019132075925039557,-0.05922230126197969,-0.04206889527005562,-0.0295770747710441,-0.016291724463566387,0.016405356442751946,409.1164379389639,1.0024067736880313,delta_year[4]
-0.001388782596566909,8.530020426601859e-4,0.01900790363690306,-0.03234133732483882,-0.01494261572679198,-0.0036208023096382796,0.010623650760213755,0.041589053404024315,496.556076518971,1.004227733158932,delta_year[5]
0.05607502134304619,8.403943059213084e-4,0.01795720583590726,0.02611589782478371,0.04304610728070304,0.0538475296077177,0.06731908081377634,0.09697473026242776,456.57414998533505,1.0044506444325219,delta_year[6]
-0.04605236811456571,7.897692208578161e-4,0.017289956058156353,-0.07445770403803216,-0.05831945261710355,-0.04798118770693324,-0.03586798998196973,-0.0077139101054475795,479.27786341151335,1.0032784310601852,delta_year[7]
0.0801093386428915,8.518323523050046e-4,0.0174975658159409,0.051496963383160746,0.06711989934774211,0.07818839539963207,0.0912690034862336,0.11626053447476886,421.93641708298185,1.0050538160419982,delta_year[8]
0.055525354087359625,7.248992815399853e-4,0.015101230014067863,0.02989572179848717,0.0450591637238557,0.054049602224460994,0.06528858576798266,0.08844477278240084,433.9795913089573,1.0041567610471933,delta_year[9]
0.04810586198800795,0.001206403684924232,0.031810634308174365,-0.008944052682584573,0.026795688525691877,0.04569566179578288,0.06879742310089376,0.11522466843043655,695.2793774165945,1.0005709056168566,delta_year[10]
0.3559974870661829,0.0019334043255724077,0.06272839856405245,0.23802124261847676,0.31558641685717237,0.3548025363196494,0.39303468852380646,0.48757048336972986,1052.6476585140626,1.0009228992175487,log_beta_season[1]
0.3341523935815565,0.0017670151291422954,0.06411886835729895,0.2133059326107783,0.29094318130310337,0.33107675783348334,0.3754497175820667,0.4673228782923789,1316.7131163142612,1.0003612904376995,log_beta_season[2]
0.29826283356656436,0.0016408131264846186,0.061501882084861174,0.17676468676669457,0.25757667223106845,0.2968919926103725,0.33873244641849026,0.42458170343665147,1404.9425610383944,1.0003984084598583,log_beta_season[3]
0.26504814438221025,0.0015476421796602195,0.06451151851905035,0.14055258053734684,0.22537943095485533,0.26647291583988997,0.3031222290920381,0.3972347357968261,1737.5344114281984,0.9982642589957751,log_beta_season[4]
0.23497822145445962,0.001713131233599877,0.06493662264101877,0.09767120624488294,0.1926598382766453,0.23868863763121528,0.2774689113669855,0.3584577901673712,1436.8059839222142,0.9986050311922856,log_beta_season[5]
0.21568115114053193,0.0018391886519003768,0.06198552019398984,0.09520061919736493,0.1744647159037428,0.21559806114028318,0.25757877463666945,0.33438369279976893,1135.8682056328898,0.9995029785437355,log_beta_season[6]
0.19144789148381905,0.001621872760222834,0.06267615717969753,0.06961185581454425,0.14852362341290695,0.19092701305914123,0.23261138045213206,0.3153712914577066,1493.3828599294645,0.9993534293949963,log_beta_season[7]
0.16612833700630936,0.0015531569013575146,0.06162927703598058,0.05052220072217468,0.12369156523490121,0.16566968349945924,0.2050462633852438,0.2954250508621022,1574.5029717693808,1.0009510337872238,log_beta_season[8]
0.1387077825823852,0.0018762045486508227,0.06153079889930671,0.017262749595473238,0.09792228187130325,0.13959454450100736,0.18052158577922336,0.25479928842869154,1075.5354729646808,0.9983126676628222,log_beta_season[9]
0.10293611264765519,0.001557091975804799,0.0625939512641589,-0.01668762469984581,0.06278624603145021,0.10398838221644094,0.14132220134334078,0.22541056902933698,1615.9808187322587,0.9993531569099641,log_beta_season[10]
0.06200624919516537,0.0016364043299872677,0.06045185037345325,-0.060824869203357605,0.02377158457530035,0.06235210329772634,0.10297762644425333,0.17723991381355023,1364.702406893054,0.9990442689087863,log_beta_season[11]
0.012393842154903327,0.0022006566391047774,0.06188807364071496,-0.10748715835399733,-0.028051140905507206,0.013090003379634868,0.05220935462566736,0.14024410232936627,790.8777488473451,0.9992498735777411,log_beta_season[12]
-0.030307217637602114,0.002089695948387071,0.06310201031541238,-0.15944156725891476,-0.07255194241125656,-0.027850668471590085,0.009834130135724328,0.09879787577251481,911.8432535269192,1.0024980677394646,log_beta_season[13]
-0.07429696112031761,0.0019632548318664227,0.06467947868231079,-0.1996858533027451,-0.11551986519226003,-0.07455473575843675,-0.02973464551465699,0.0462228422355004,1085.374644230036,1.0027162393627,log_beta_season[14]
-0.10777101787606139,0.0017069477990197463,0.06288143962893748,-0.23507018572371213,-0.1480006038106906,-0.10859147713464345,-0.06563739813672,0.011675892586187717,1357.0769440760976,1.000352518506206,log_beta_season[15]
-0.13835016003099238,0.001636127641974744,0.06241603413444299,-0.2681544788302787,-0.17653880640934566,-0.13633212870949177,-0.0969327981915281,-0.017276268033603836,1455.3182547764561,0.9988572665729967,log_beta_season[16]
-0.15409860670452272,0.00161889691345507,0.06142933912019803,-0.2752494568875965,-0.19349284467477604,-0.1537758757228546,-0.1129522610641307,-0.03846511710491768,1439.8368885743782,0.9999077848306327,log_beta_season[17]
-0.17554812427335784,0.0016396884487130307,0.06233306790344362,-0.2998398358758414,-0.21500263303388173,-0.175039964086322,-0.13590419102780393,-0.05310092493800206,1445.1546700318736,0.9992330584409568,log_beta_season[18]
-0.20529496236146247,0.001794954429073689,0.0636633735849657,-0.33366329102030523,-0.2481998157144371,-0.20330144666390126,-0.1627382074789853,-0.08587469167891755,1257.9762534587273,0.9993687038294043,log_beta_season[19]
-0.22937908412213956,0.0018746315194041318,0.06214061255344521,-0.35411562622499726,-0.2684373876884222,-0.22763302293322626,-0.19165545896472364,-0.10373449317959672,1098.8014664948803,0.9991097408530223,log_beta_season[20]
-0.2548492522081954,0.0016965433008767745,0.06276395932788054,-0.3836703117312436,-0.29737573566110653,-0.25387247281804026,-0.2144822552775487,-0.13172867541817507,1368.6448493506937,0.9990536811664028,log_beta_season[21]
-0.26693935229093174,0.0016868614794380405,0.06503904091556974,-0.38600828803539816,-0.3105126391978497,-0.2674868925093188,-0.22780744256535335,-0.13374546679726965,1486.5838654531108,0.9996634486510236,log_beta_season[22]
-0.2767428227519011,0.0016733967833237008,0.060331724368460425,-0.3961452149739906,-0.3165046070295028,-0.27647562994404284,-0.23785583007424022,-0.1526725140311969,1299.8511324038252,0.9996013058105285,log_beta_season[23]
-0.29203709175395165,0.0017563545923671394,0.06273571950294841,-0.4133797457043957,-0.33338619364886546,-0.2907706170644968,-0.2530195495486961,-0.157334696387067,1275.8668839519858,1.0008284762179134,log_beta_season[24]
-0.3036757497189855,0.001856194908855304,0.06338672772672135,-0.4326619138645622,-0.3442871679853432,-0.3029712503918862,-0.2636070923362832,-0.18192589060510925,1166.1368260611137,1.0001157112073848,log_beta_season[25]
-0.31880196153690377,0.002113655731525736,0.06371444206117831,-0.44583238119421703,-0.361648342745838,-0.3177982520282765,-0.27537212492173824,-0.19265272439470163,908.672250525979,1.003552406070397,log_beta_season[26]
-0.31982774731797525,0.0018169888899037482,0.0635055236197315,-0.44681273061800747,-0.36167383224230254,-0.31965303120526356,-0.27754017331056446,-0.1933804960569583,1221.570282334347,1.000119524279886,log_beta_season[27]
