muni6,total_cases,active_months,active_years,peak_year_cases,outbreak_years,active_month_frac,active_year_frac,peak_year_share,episodes,recurrence_index,persistence_index,concentration_index,pattern_class
150013,151,13,4,92,2,0.10833333333333334,0.4,0.609271523178808,5,0.4,0.10833333333333334,0.609271523178808,intermediate
150020,71,41,8,24,7,0.3416666666666667,0.8,0.3380281690140845,17,0.8,0.3416666666666667,0.3380281690140845,recurrent
150030,32,23,9,7,5,0.19166666666666668,0.9,0.21875,20,0.9,0.19166666666666668,0.21875,recurrent
150034,60,8,5,53,1,0.06666666666666667,0.5,0.8833333333333333,6,0.5,0.06666666666666667,0.8833333333333333,sporadic
150040,26,20,6,7,5,0.16666666666666666,0.6,0.2692307692307692,12,0.6,0.16666666666666666,0.2692307692307692,recurrent
150050,7,6,3,4,1,0.05,0.3,0.5714285714285714,5,0.3,0.05,0.5714285714285714,intermediate
150060,323,86,10,78,7,0.7166666666666667,1,0.24148606811145512,18,1,0.7166666666666667,0.24148606811145512,recurrent
150070,14,13,7,4,2,0.10833333333333334,0.7,0.2857142857142857,11,0.7,0.10833333333333334,0.2857142857142857,recurrent
150080,2490,110,10,1240,3,0.9166666666666666,1,0.4979919678714859,7,1,0.9166666666666666,0.4979919678714859,recurrent
150085,209,12,6,195,1,0.1,0.6,0.9330143540669856,7,0.6,0.1,0.9330143540669856,sporadic
150090,46,28,8,15,7,0.23333333333333334,0.8,0.32608695652173914,17,0.8,0.23333333333333334,0.32608695652173914,recurrent
150095,15,14,8,4,1,0.11666666666666667,0.8,0.26666666666666666,11,0.8,0.11666666666666667,0.26666666666666666,recurrent
150100,1,1,1,1,0,0.008333333333333333,0.1,1,1,0.1,0.008333333333333333,1,sporadic
150110,2,2,2,1,0,0.016666666666666666,0.2,0.5,2,0.2,0.016666666666666666,0.5,sporadic
150120,33,13,6,24,2,0.10833333333333334,0.6,0.7272727272727273,9,0.6,0.10833333333333334,0.7272727272727273,intermediate
150125,9,6,2,6,2,0.05,0.2,0.6666666666666666,4,0.2,0.05,0.6666666666666666,sporadic
150130,777,98,9,209,8,0.8166666666666667,0.9,0.26898326898326896,6,0.9,0.8166666666666667,0.26898326898326896,recurrent
150140,12045,120,10,5141,4,1,1,0.4268161062681611,1,1,1,0.4268161062681611,recurrent
150145,42,15,5,34,1,0.125,0.5,0.8095238095238095,10,0.5,0.125,0.8095238095238095,sporadic
150150,546,96,10,243,6,0.8,1,0.44505494505494503,8,1,0.8,0.44505494505494503,recurrent
150157,45,10,3,24,2,0.08333333333333333,0.3,0.5333333333333333,4,0.3,0.08333333333333333,0.5333333333333333,intermediate
150160,29,19,8,6,5,0.15833333333333333,0.8,0.20689655172413793,13,0.8,0.15833333333333333,0.20689655172413793,recurrent
150170,427,70,10,167,6,0.5833333333333334,1,0.3911007025761124,19,1,0.5833333333333334,0.3911007025761124,recurrent
150172,28,11,6,18,3,0.09166666666666666,0.6,0.6428571428571429,10,0.6,0.09166666666666666,0.6428571428571429,recurrent
150175,4,4,4,1,0,0.03333333333333333,0.4,0.25,4,0.4,0.03333333333333333,0.25,recurrent
150178,306,27,6,147,2,0.225,0.6,0.4803921568627451,13,0.6,0.225,0.4803921568627451,recurrent
150180,55,41,10,12,8,0.3416666666666667,1,0.21818181818181817,27,1,0.3416666666666667,0.21818181818181817,recurrent
150190,50,22,7,33,3,0.18333333333333332,0.7,0.66,15,0.7,0.18333333333333332,0.66,recurrent
150195,8,8,5,3,1,0.06666666666666667,0.5,0.375,8,0.5,0.06666666666666667,0.375,recurrent
150200,3,3,3,1,0,0.025,0.3,0.3333333333333333,3,0.3,0.025,0.3333333333333333,intermediate
150210,689,97,10,164,9,0.8083333333333333,1,0.23802612481857766,11,1,0.8083333333333333,0.23802612481857766,recurrent
150215,330,31,10,277,1,0.25833333333333336,1,0.8393939393939394,16,1,0.25833333333333336,0.8393939393939394,sporadic
150220,1431,86,10,621,2,0.7166666666666667,1,0.4339622641509434,13,1,0.7166666666666667,0.4339622641509434,recurrent
150230,119,44,9,30,6,0.36666666666666664,0.9,0.25210084033613445,20,0.9,0.36666666666666664,0.25210084033613445,recurrent
150240,3044,111,10,1443,5,0.925,1,0.4740473061760841,6,1,0.925,0.4740473061760841,recurrent
150250,10,6,5,5,1,0.05,0.5,0.5,6,0.5,0.05,0.5,recurrent
150260,9,8,4,5,1,0.06666666666666667,0.4,0.5555555555555556,6,0.4,0.06666666666666667,0.5555555555555556,recurrent
150270,198,51,10,82,5,0.425,1,0.41414141414141414,21,1,0.425,0.41414141414141414,recurrent
150275,17,9,6,11,1,0.075,0.6,0.6470588235294118,6,0.6,0.075,0.6470588235294118,intermediate
150276,91,14,5,49,3,0.11666666666666667,0.5,0.5384615384615384,8,0.5,0.11666666666666667,0.5384615384615384,recurrent
150277,122,9,2,96,2,0.075,0.2,0.7868852459016393,2,0.2,0.075,0.7868852459016393,sporadic
150280,7,6,3,4,1,0.05,0.3,0.5714285714285714,5,0.3,0.05,0.5714285714285714,intermediate
150285,4,4,2,3,1,0.03333333333333333,0.2,0.75,4,0.2,0.03333333333333333,0.75,sporadic
150290,402,39,8,318,1,0.325,0.8,0.7910447761194029,13,0.8,0.325,0.7910447761194029,sporadic
150293,182,23,8,92,3,0.19166666666666668,0.8,0.5054945054945055,9,0.8,0.19166666666666668,0.5054945054945055,recurrent
150295,172,18,5,124,2,0.15,0.5,0.7209302325581395,8,0.5,0.15,0.7209302325581395,intermediate
150300,1,1,1,1,0,0.008333333333333333,0.1,1,1,0.1,0.008333333333333333,1,sporadic
150304,25,12,6,11,3,0.1,0.6,0.44,6,0.6,0.1,0.44,recurrent
150307,13,10,5,5,2,0.08333333333333333,0.5,0.38461538461538464,7,0.5,0.08333333333333333,0.38461538461538464,recurrent
150309,30,14,5,19,3,0.11666666666666667,0.5,0.6333333333333333,6,0.5,0.11666666666666667,0.6333333333333333,recurrent
150310,10,9,5,4,2,0.075,0.5,0.4,8,0.5,0.075,0.4,recurrent
150320,722,61,9,360,3,0.5083333333333333,0.9,0.4986149584487535,13,0.9,0.5083333333333333,0.4986149584487535,recurrent
150330,155,55,9,50,5,0.4583333333333333,0.9,0.3225806451612903,21,0.9,0.4583333333333333,0.3225806451612903,recurrent
150340,254,51,10,124,3,0.425,1,0.4881889763779528,18,1,0.425,0.4881889763779528,recurrent
150345,154,44,9,54,5,0.36666666666666664,0.9,0.35064935064935066,17,0.9,0.36666666666666664,0.35064935064935066,recurrent
150350,41,27,8,10,7,0.225,0.8,0.24390243902439024,19,0.8,0.225,0.24390243902439024,recurrent
150360,45,27,9,11,7,0.225,0.9,0.24444444444444444,21,0.9,0.225,0.24444444444444444,recurrent
150370,362,20,5,332,1,0.16666666666666666,0.5,0.9171270718232044,9,0.5,0.16666666666666666,0.9171270718232044,sporadic
150375,2,2,2,1,0,0.016666666666666666,0.2,0.5,2,0.2,0.016666666666666666,0.5,sporadic
150380,418,25,8,394,1,0.20833333333333334,0.8,0.9425837320574163,13,0.8,0.20833333333333334,0.9425837320574163,sporadic
150390,210,38,8,148,1,0.31666666666666665,0.8,0.7047619047619048,15,0.8,0.31666666666666665,0.7047619047619048,intermediate
150400,69,20,7,41,2,0.16666666666666666,0.7,0.5942028985507246,13,0.7,0.16666666666666666,0.5942028985507246,recurrent
150405,193,40,10,133,1,0.3333333333333333,1,0.689119170984456,16,1,0.3333333333333333,0.689119170984456,intermediate
150410,86,35,8,35,3,0.2916666666666667,0.8,0.4069767441860465,15,0.8,0.2916666666666667,0.4069767441860465,recurrent
150420,524,64,10,302,2,0.5333333333333333,1,0.5763358778625954,18,1,0.5333333333333333,0.5763358778625954,recurrent
150430,157,22,6,134,1,0.18333333333333332,0.6,0.8535031847133758,11,0.6,0.18333333333333332,0.8535031847133758,sporadic
150440,273,27,7,133,2,0.225,0.7,0.48717948717948717,11,0.7,0.225,0.48717948717948717,recurrent
150442,4805,116,10,2512,4,0.9666666666666667,1,0.5227887617065556,4,1,0.9666666666666667,0.5227887617065556,recurrent
150445,33,11,4,22,2,0.09166666666666666,0.4,0.6666666666666666,6,0.4,0.09166666666666666,0.6666666666666666,intermediate
150450,3,3,3,1,0,0.025,0.3,0.3333333333333333,3,0.3,0.025,0.3333333333333333,intermediate
150460,120,47,9,37,5,0.39166666666666666,0.9,0.30833333333333335,14,0.9,0.39166666666666666,0.30833333333333335,recurrent
150470,161,51,9,59,5,0.425,0.9,0.36645962732919257,16,0.9,0.425,0.36645962732919257,recurrent
