week_start,variable,q025,q25,median,q75,q975
2018-07-29,posterior_predictive_cases,3,15,28,46.25,101
2018-08-05,posterior_predictive_cases,2,12,22,37,83
2018-08-12,posterior_predictive_cases,2,10,19,32,71
2018-08-19,posterior_predictive_cases,1,8,16,26,59
2018-08-26,posterior_predictive_cases,1,7,13,23,49
2018-09-02,posterior_predictive_cases,1,6,11,19,40.02500000000009
2018-09-09,posterior_predictive_cases,0,5,9,16,34.02500000000009
2018-09-16,posterior_predictive_cases,0,4,8,14,31.02500000000009
2018-09-23,posterior_predictive_cases,0,3,7,12,26
2018-09-30,posterior_predictive_cases,0,3,6,11,23
2018-10-07,posterior_predictive_cases,0,3,5.5,10,21
2018-10-14,posterior_predictive_cases,0,2,5,8,19
2018-10-21,posterior_predictive_cases,0,2,5,8,18
2018-10-28,posterior_predictive_cases,0,2,4,8,17
2018-11-04,posterior_predictive_cases,0,2,4,7,17
2018-11-11,posterior_predictive_cases,0,2,4,7,16
2018-11-18,posterior_predictive_cases,0,2,4,7,16
2018-11-25,posterior_predictive_cases,0,2,4,7,16
2018-12-02,posterior_predictive_cases,0,2,4,7,17
2018-12-09,posterior_predictive_cases,0,2,4,7,18
2018-12-16,posterior_predictive_cases,0,2,5,8,19
2018-12-23,posterior_predictive_cases,0,2,5,8,20
2018-12-30,posterior_predictive_cases,0,3,6,9,22
2019-01-06,posterior_predictive_cases,0,3,7,11,27
2019-01-13,posterior_predictive_cases,0,4,7,13,29
2019-01-20,posterior_predictive_cases,0,5,9,15,33
2019-01-27,posterior_predictive_cases,1,5,10,17,39
2019-02-03,posterior_predictive_cases,1,6,12,21,46
2019-02-10,posterior_predictive_cases,1,8,14,24,53
2019-02-17,posterior_predictive_cases,1,9,17,28,64
2019-02-24,posterior_predictive_cases,2,11,20,34,75
2019-03-03,posterior_predictive_cases,2,13,24,39,88
2019-03-10,posterior_predictive_cases,3,15,28,46,102
2019-03-17,posterior_predictive_cases,3,17,32,53,118
2019-03-24,posterior_predictive_cases,4,20,37,61,133
2019-03-31,posterior_predictive_cases,4,23,41,68,149.0250000000001
2019-04-07,posterior_predictive_cases,5,25,44,74,162
2019-04-14,posterior_predictive_cases,5,27,49,82,176
2019-04-21,posterior_predictive_cases,5,29,51,87,182
2019-04-28,posterior_predictive_cases,6,28,53,87,197
2019-05-05,posterior_predictive_cases,5,30,53,91,205.0250000000001
2019-05-12,posterior_predictive_cases,6,31,55,90,193.0250000000001
2019-05-19,posterior_predictive_cases,7,29,55,91,190.0250000000001
2019-05-26,posterior_predictive_cases,6,28,51,87,191.05000000000018
2019-06-02,posterior_predictive_cases,6,27,49,80,178
2019-06-09,posterior_predictive_cases,5,26,47,79,169
2019-06-16,posterior_predictive_cases,5,24,43,71.25,159
2019-06-23,posterior_predictive_cases,4,21,39,64,141
2019-06-30,posterior_predictive_cases,3,19,33,57,124
2019-07-07,posterior_predictive_cases,3,16,30,50,109
2019-07-14,posterior_predictive_cases,2,14,26,45,97.02500000000009
2019-07-21,posterior_predictive_cases,2,12,22,38,84
2019-07-28,posterior_predictive_cases,2,10,19,31,71.02500000000009
2019-08-04,posterior_predictive_cases,1,9,16,27,62
2019-08-11,posterior_predictive_cases,1,7,14,23,52
2019-08-18,posterior_predictive_cases,1,6,12,20,45
