week_start,variable,q025,q25,median,q75,q975
2017-11-26,posterior_predictive_cases,0,8,18,32,79
2017-12-03,posterior_predictive_cases,0,8,16,30,71
2017-12-10,posterior_predictive_cases,0,7,16,28,69
2017-12-17,posterior_predictive_cases,0,7,15,28,66
2017-12-24,posterior_predictive_cases,0,7,16,28,69
2017-12-31,posterior_predictive_cases,0,6,15,28,66.02500000000009
2018-01-07,posterior_predictive_cases,0,11,23,40,98
2018-01-14,posterior_predictive_cases,1,11,24,44,108.05000000000018
2018-01-21,posterior_predictive_cases,1,15,29,53,167
2018-01-28,posterior_predictive_cases,2,17,35,63,241
2018-02-04,posterior_predictive_cases,2,20,41,76,354.0250000000001
2018-02-11,posterior_predictive_cases,4,24,50,95,581.1000000000004
2018-02-18,posterior_predictive_cases,4,28,57,111,971.4250000000015
2018-02-25,posterior_predictive_cases,4,35,69,142,1394.1500000000005
2018-03-04,posterior_predictive_cases,7,39,81,167.25,2475.05
2018-03-11,posterior_predictive_cases,8,48,94,201,3869.0750000000003
2018-03-18,posterior_predictive_cases,10,54,108,233,5691.175
2018-03-25,posterior_predictive_cases,12,58,117,268,10130.100000000004
2018-04-01,posterior_predictive_cases,13,64,129,311,15669.275000000001
2018-04-08,posterior_predictive_cases,15,70,142,353,21520.450000000008
2018-04-15,posterior_predictive_cases,12.975000000000009,74,152,375,30781.700000000004
2018-04-22,posterior_predictive_cases,16,77,153,414,48678.75000000001
2018-04-29,posterior_predictive_cases,16.97500000000001,78,157,437,61705.72500000001
2018-05-06,posterior_predictive_cases,16,78.75,156.5,415.25,79755.7250000001
2018-05-13,posterior_predictive_cases,15,77,155,458.25,94889.125
2018-05-20,posterior_predictive_cases,14,71,142.5,418.25,110615.22500000003
2018-05-27,posterior_predictive_cases,13.975000000000009,66,135,390.75,95900.75000000016
2018-06-03,posterior_predictive_cases,13,62,129,382.5,106104.72500000002
2018-06-10,posterior_predictive_cases,12,57,111.5,326,84751.47500000005
2018-06-17,posterior_predictive_cases,9,49,97.5,300.25,65811.70000000008
2018-06-24,posterior_predictive_cases,9,42,87,264,56906.250000000015
2018-07-01,posterior_predictive_cases,6,35,74,211.25,41369.65000000001
2018-07-08,posterior_predictive_cases,5,31,63,193.25,29382.875000000004
2018-07-15,posterior_predictive_cases,5,27,54,142.25,19455.15000000001
2018-07-22,posterior_predictive_cases,4,22,44,119,12541.300000000008
2018-07-29,posterior_predictive_cases,2,18,37,96.25,9075.825000000003
2018-08-05,posterior_predictive_cases,2,14,31,85,6234.550000000002
2018-08-12,posterior_predictive_cases,2,12,24,60,3598.3500000000013
2018-08-19,posterior_predictive_cases,1,10,20,50,2340.1500000000005
2018-08-26,posterior_predictive_cases,1,8,18,41,1785.250000000001
2018-09-02,posterior_predictive_cases,1,7,15,34,1006.0500000000002
2018-09-09,posterior_predictive_cases,1,6,12,29,672.0500000000002
2018-09-16,posterior_predictive_cases,0,5,10,23,453.0750000000003
2018-09-23,posterior_predictive_cases,0,4,8,19,302.15000000000055
2018-09-30,posterior_predictive_cases,0,3,7,16,244
2018-10-07,posterior_predictive_cases,0,3,6,14,144.0250000000001
2018-10-14,posterior_predictive_cases,0,2,6,12,102.02500000000009
2018-10-21,posterior_predictive_cases,0,2,5,10,67.02500000000009
2018-10-28,posterior_predictive_cases,0,2,5,9,50.02500000000009
2018-11-04,posterior_predictive_cases,0,2,4,9,38.02500000000009
2018-11-11,posterior_predictive_cases,0,2,4,8,28
2018-11-18,posterior_predictive_cases,0,2,4,7,21
2018-11-25,posterior_predictive_cases,0,1,4,7,18
2018-12-02,posterior_predictive_cases,0,1,4,7,17
2018-12-09,posterior_predictive_cases,0,1,3,7,17
2018-12-16,posterior_predictive_cases,0,1,4,7,18
2018-12-23,posterior_predictive_cases,0,1,4,7,19
2018-12-30,posterior_predictive_cases,0,1,4,8,20
2019-01-06,posterior_predictive_cases,0,4,8,17,171
2019-01-13,posterior_predictive_cases,0,5,10,24,905.6000000000022
2019-01-20,posterior_predictive_cases,0,6,12,35.25,6584.150000000003
2019-01-27,posterior_predictive_cases,1,7,15,47,40405.92500000001
2019-02-03,posterior_predictive_cases,1,8,17,66,144895.27500000002
2019-02-10,posterior_predictive_cases,1.9750000000000085,10,20,71.25,119770.5
2019-02-17,posterior_predictive_cases,1,11,23,55,10465.550000000008
2019-02-24,posterior_predictive_cases,1,12,26,56.25,950.2500000000009
2019-03-03,posterior_predictive_cases,2,15,30,63,881.0750000000003
2019-03-10,posterior_predictive_cases,2,17,34,67,744.0750000000003
2019-03-17,posterior_predictive_cases,2,18.75,38,69,481.15000000000055
2019-03-24,posterior_predictive_cases,2,20,39,72,271.0500000000002
2019-03-31,posterior_predictive_cases,2,20,41,71,183
2019-04-07,posterior_predictive_cases,1,19,41,73,173
2019-04-14,posterior_predictive_cases,1,19,41,75,176.0250000000001
2019-04-21,posterior_predictive_cases,0,20,43,80,176
2019-04-28,posterior_predictive_cases,0,17,42,77,190
2019-05-05,posterior_predictive_cases,0,17,41,75,194
2019-05-12,posterior_predictive_cases,0,15,40,79,192
2019-05-19,posterior_predictive_cases,0,13,39,78,192.0250000000001
2019-05-26,posterior_predictive_cases,0,13,39,75,191.0250000000001
2019-06-02,posterior_predictive_cases,0,12,36,73,172
2019-06-09,posterior_predictive_cases,0,10,32,66,158.0250000000001
2019-06-16,posterior_predictive_cases,0,10,29,60,145
2019-06-23,posterior_predictive_cases,0,9,26,54,130
2019-06-30,posterior_predictive_cases,0,8,24,47,111
2019-07-07,posterior_predictive_cases,0,7,22,43,104.02500000000009
2019-07-14,posterior_predictive_cases,0,6,18,36,88.02500000000009
2019-07-21,posterior_predictive_cases,0,6,16,31,76
2019-07-28,posterior_predictive_cases,0,5,14,27,66.02500000000009
2019-08-04,posterior_predictive_cases,0,4,11,22,55.02500000000009
2019-08-11,posterior_predictive_cases,0,4,10,20,48.02500000000009
2019-08-18,posterior_predictive_cases,0,3,9,17,42
2019-08-25,posterior_predictive_cases,0,3,8,15,37
2019-09-01,posterior_predictive_cases,0,3,7,13,29
2019-09-08,posterior_predictive_cases,0,2,6,11,29
2019-09-15,posterior_predictive_cases,0,2,5,11,25
2019-09-22,posterior_predictive_cases,0,2,5,10,23
2019-09-29,posterior_predictive_cases,0,2,5,9,22
2019-10-06,posterior_predictive_cases,0,2,4,8,21
2019-10-13,posterior_predictive_cases,0,2,4,8,21
2019-10-20,posterior_predictive_cases,0,2,4,8,22
2019-10-27,posterior_predictive_cases,0,2,4,8,25
2019-11-03,posterior_predictive_cases,0,2,4,8,30
2019-11-10,posterior_predictive_cases,0,2,4,9,40.02500000000009
2019-11-17,posterior_predictive_cases,0,2,5,9,56.02500000000009
2019-11-24,posterior_predictive_cases,0,2,5,10,69
2019-12-01,posterior_predictive_cases,0,2,5,11,98.02500000000009
2019-12-08,posterior_predictive_cases,0,3,6,13,146.0250000000001
2019-12-15,posterior_predictive_cases,0,3,7,15,218.0250000000001
2019-12-22,posterior_predictive_cases,0,4,8,18,351.0750000000003
2019-12-29,posterior_predictive_cases,0,4,9,21,533
2020-01-05,posterior_predictive_cases,0,4,9,19,224.05000000000018
2020-01-12,posterior_predictive_cases,0,5,10,23,283
2020-01-19,posterior_predictive_cases,0,5,12,24,266.0750000000003
2020-01-26,posterior_predictive_cases,0,6,13,27,242.05000000000018
2020-02-02,posterior_predictive_cases,1,7,15,30,219.07500000000027
2020-02-09,posterior_predictive_cases,1,9,18,34,223.05000000000018
2020-02-16,posterior_predictive_cases,1,10,19,38,241
2020-02-23,posterior_predictive_cases,1,11,22,43,208.0250000000001
2020-03-01,posterior_predictive_cases,1,12,25,48,212.0250000000001
2020-03-08,posterior_predictive_cases,1,14,29,54,222.0250000000001
2020-03-15,posterior_predictive_cases,2,16,33,60,214.12500000000045
2020-03-22,posterior_predictive_cases,1,17,35,64,208.0250000000001
2020-03-29,posterior_predictive_cases,1,19,38,71,208
2020-04-05,posterior_predictive_cases,1,20,41,74,230
2020-04-12,posterior_predictive_cases,2,23,45,80.25,217.0250000000001
2020-04-19,posterior_predictive_cases,2,23,47,81,221.05000000000018
2020-04-26,posterior_predictive_cases,2,22,46,82,221.0250000000001
2020-05-03,posterior_predictive_cases,1.9750000000000085,24,49,85,224
2020-05-10,posterior_predictive_cases,2,22.75,46.5,83,208.0250000000001
2020-05-17,posterior_predictive_cases,1,21.75,45,78,200
2020-05-24,posterior_predictive_cases,1,21,43,75.25,185
2020-05-31,posterior_predictive_cases,2,19,39,68,168.0250000000001
2020-06-07,posterior_predictive_cases,1,17,36,65,155.05000000000018
2020-06-14,posterior_predictive_cases,1,16,33,58,143
2020-06-21,posterior_predictive_cases,1,14,29,52,126.02500000000009
2020-06-28,posterior_predictive_cases,1,11,26,45,110
2020-07-05,posterior_predictive_cases,0,10,22,39,97.02500000000009
2020-07-12,posterior_predictive_cases,0,9,18,33,81
2020-07-19,posterior_predictive_cases,0,7,16,28,72.02500000000009
2020-07-26,posterior_predictive_cases,0,6,13,24,61
2020-08-02,posterior_predictive_cases,0,5,11,20,52
2020-08-09,posterior_predictive_cases,0,4,10,18,45
2020-08-16,posterior_predictive_cases,0,4,8,15,37
2020-08-23,posterior_predictive_cases,0,3,7,12,32
2020-08-30,posterior_predictive_cases,0,3,6,11,27
2020-09-06,posterior_predictive_cases,0,2,5,9,26
2020-09-13,posterior_predictive_cases,0,2,4,8,22.02500000000009
2020-09-20,posterior_predictive_cases,0,1,4,7,19
2020-09-27,posterior_predictive_cases,0,1,3,6,17
2020-10-04,posterior_predictive_cases,0,1,3,6,15
2020-10-11,posterior_predictive_cases,0,1,3,5,15
2020-10-18,posterior_predictive_cases,0,1,2,5,13
2020-10-25,posterior_predictive_cases,0,1,2,5,13
2020-11-01,posterior_predictive_cases,0,1,2,5,14
2020-11-08,posterior_predictive_cases,0,1,2,5,13
2020-11-15,posterior_predictive_cases,0,1,2,5,14
2020-11-22,posterior_predictive_cases,0,1,2,5,13
2020-11-29,posterior_predictive_cases,0,1,2,5,15
2020-12-06,posterior_predictive_cases,0,1,3,5,15
2020-12-13,posterior_predictive_cases,0,1,3,6,17
2020-12-20,posterior_predictive_cases,0,1,3,6,18
2020-12-27,posterior_predictive_cases,0,1,3,7,23
2021-01-03,posterior_predictive_cases,0,2,4,9,23
2021-01-10,posterior_predictive_cases,0,2,6,10,27
2021-01-17,posterior_predictive_cases,0,3,7,12,31
2021-01-24,posterior_predictive_cases,0,4,8,15,38
2021-01-31,posterior_predictive_cases,0,4,10,19,44
2021-02-07,posterior_predictive_cases,0,6,13,24,55
2021-02-14,posterior_predictive_cases,0,7,16,29,68.02500000000009
2021-02-21,posterior_predictive_cases,0,9,20,37,89
2021-02-28,posterior_predictive_cases,0,11,26,46,112.02500000000009
2021-03-07,posterior_predictive_cases,0,14,31,57,136
2021-03-14,posterior_predictive_cases,0,16,37,69,159.0250000000001
2021-03-21,posterior_predictive_cases,0,19,46,88,202
2021-03-28,posterior_predictive_cases,1,24,54,103,258.0250000000001
2021-04-04,posterior_predictive_cases,0.9750000000000085,26,65.5,120,304.0250000000001
2021-04-11,posterior_predictive_cases,1,31,75,139,335
2021-04-18,posterior_predictive_cases,1,35,85,162.25,366.0250000000001
2021-04-25,posterior_predictive_cases,1,38,99,187,445.0250000000001
2021-05-02,posterior_predictive_cases,1,43,105,198,475.0250000000001
2021-05-09,posterior_predictive_cases,1,47,115,215,533.0500000000002
2021-05-16,posterior_predictive_cases,1,48,120,231.25,556.1000000000004
2021-05-23,posterior_predictive_cases,1.9750000000000085,51,127,237,561
2021-05-30,posterior_predictive_cases,1,53,128,241,580
2021-06-06,posterior_predictive_cases,1,49,124,237,575.0750000000003
2021-06-13,posterior_predictive_cases,1,49,126,233,570.0750000000003
2021-06-20,posterior_predictive_cases,1,47,119,225,511.0250000000001
2021-06-27,posterior_predictive_cases,1,47,114,216,544
2021-07-04,posterior_predictive_cases,1,45,109,203,476.0750000000003
2021-07-11,posterior_predictive_cases,1,42,97,187.25,450.0750000000003
2021-07-18,posterior_predictive_cases,1,39,92,175,402.0250000000001
2021-07-25,posterior_predictive_cases,1,33,83,154,381.0250000000001
2021-08-01,posterior_predictive_cases,1,31,75,139.25,342
2021-08-08,posterior_predictive_cases,1,30,68.5,128,294.0250000000001
2021-08-15,posterior_predictive_cases,0,25,61,118,274
2021-08-22,posterior_predictive_cases,1,24,56,105.25,261.0250000000001
2021-08-29,posterior_predictive_cases,1,21,51,100,231.0250000000001
2021-09-05,posterior_predictive_cases,0,20,47,88,213
2021-09-12,posterior_predictive_cases,1,19,44,79,189
2021-09-19,posterior_predictive_cases,0,17,41,75,176
2021-09-26,posterior_predictive_cases,0,16,40,72,169.0250000000001
2021-10-03,posterior_predictive_cases,0,16,37,69,167
2021-10-10,posterior_predictive_cases,0,15,36,65,160.0250000000001
2021-10-17,posterior_predictive_cases,0,15,36,68,162.0250000000001
2021-10-24,posterior_predictive_cases,0,15.75,37,69,168
2021-10-31,posterior_predictive_cases,0,15,35,69,164
2021-11-07,posterior_predictive_cases,0,16,38,73,176
2021-11-14,posterior_predictive_cases,0,17,41,76,184.0250000000001
2021-11-21,posterior_predictive_cases,1,20,46,85,200.0250000000001
2021-11-28,posterior_predictive_cases,0,22,51,93,231
2021-12-05,posterior_predictive_cases,1,24,57,108,270
2021-12-12,posterior_predictive_cases,1,28,67,124,298
2021-12-19,posterior_predictive_cases,1,33,80.5,150,359
2021-12-26,posterior_predictive_cases,1,41,94,176,413.0500000000002
2022-01-02,posterior_predictive_cases,1,44,100,181,438.0500000000002
2022-01-09,posterior_predictive_cases,2,49,116,215,514.0250000000001
2022-01-16,posterior_predictive_cases,2,59,139,248,606.0500000000002
2022-01-23,posterior_predictive_cases,2,70,158,283.25,653.0500000000002
2022-01-30,posterior_predictive_cases,3,79,183,332,792.0500000000002
2022-02-06,posterior_predictive_cases,5,95,217,407,945.0750000000003
2022-02-13,posterior_predictive_cases,4,116,257.5,467,1081.0750000000003
2022-02-20,posterior_predictive_cases,8,142,308,561,1322.250000000001
2022-02-27,posterior_predictive_cases,5.9750000000000085,158,364,653,1487.0750000000003
2022-03-06,posterior_predictive_cases,11,200,440,753,1780.1500000000005
2022-03-13,posterior_predictive_cases,13,235.75,494.5,882,1990
2022-03-20,posterior_predictive_cases,17,267,576,1037,2372.250000000001
2022-03-27,posterior_predictive_cases,21,311,641,1143.25,2542.05
2022-04-03,posterior_predictive_cases,24,346,720,1309.25,3084.025
2022-04-10,posterior_predictive_cases,25,385,802,1443,3390.325000000001
2022-04-17,posterior_predictive_cases,31,428,864.5,1525,3659.300000000001
2022-04-24,posterior_predictive_cases,41.97500000000001,454.5,902.5,1596.75,3728.3750000000014
2022-05-01,posterior_predictive_cases,40,450.75,938,1684.25,4150.250000000001
2022-05-08,posterior_predictive_cases,38.97500000000001,472.75,982.5,1707.25,4082.500000000002
2022-05-15,posterior_predictive_cases,38.97500000000001,445,912.5,1612,3916
2022-05-22,posterior_predictive_cases,45,446,923,1623,4003.2000000000007
2022-05-29,posterior_predictive_cases,42,446.75,879,1512.5,3694.025
2022-06-05,posterior_predictive_cases,26,385,808,1444,3402.825000000003
2022-06-12,posterior_predictive_cases,40.97500000000001,375.75,744,1302.25,3360.500000000002
2022-06-19,posterior_predictive_cases,30,311.75,640,1178.25,3127.1750000000006
2022-06-26,posterior_predictive_cases,24,285,573,1026,2575.0750000000003
2022-07-03,posterior_predictive_cases,21.97500000000001,246,499.5,890.25,2134.1500000000005
2022-07-10,posterior_predictive_cases,18,203,423.5,747,1936.0750000000003
2022-07-17,posterior_predictive_cases,14,181.75,369,628,1545
2022-07-24,posterior_predictive_cases,14,151.75,305,537,1356.1250000000005
2022-07-31,posterior_predictive_cases,9,127,254,458,1174.0750000000003
2022-08-07,posterior_predictive_cases,7,105,214,377,932.0500000000002
2022-08-14,posterior_predictive_cases,7,89,184,312,792.0750000000003
2022-08-21,posterior_predictive_cases,7,73,150,258,662.1500000000005
2022-08-28,posterior_predictive_cases,5,60,123,216,544.0750000000003
2022-09-04,posterior_predictive_cases,3,48,101,183,454
2022-09-11,posterior_predictive_cases,3,44,90,162,369.0250000000001
2022-09-18,posterior_predictive_cases,2,38,78,137,321
2022-09-25,posterior_predictive_cases,2,31,67,120,270.0250000000001
2022-10-02,posterior_predictive_cases,2,28,59,107,230.0250000000001
2022-10-09,posterior_predictive_cases,1,25,53,93,221
2022-10-16,posterior_predictive_cases,1,22,48,86,206
2022-10-23,posterior_predictive_cases,1,20,45,79,200.0250000000001
2022-10-30,posterior_predictive_cases,1,18,41,74.25,172
2022-11-06,posterior_predictive_cases,0,19,41,73,174
2022-11-13,posterior_predictive_cases,1,17,37,69,164.0250000000001
2022-11-20,posterior_predictive_cases,1,17,37,69,174
2022-11-27,posterior_predictive_cases,0,18,39,71,163.0250000000001
2022-12-04,posterior_predictive_cases,0,18,42,76,179
2022-12-11,posterior_predictive_cases,0,18,43,79,192.0250000000001
2022-12-18,posterior_predictive_cases,1,19,45,84,203
2022-12-25,posterior_predictive_cases,1,20,50,95,231
2023-01-01,posterior_predictive_cases,1,20,50,92,230.0250000000001
2023-01-08,posterior_predictive_cases,0.9750000000000085,23,55,104,244.0250000000001
2023-01-15,posterior_predictive_cases,1,25,59,113,267.0250000000001
2023-01-22,posterior_predictive_cases,1,26,63,123,307.0500000000002
