state,episode_id,onset_week,peak_week,end_week,recurrence_order,is_recurrence,duration_weeks,weeks_onset_to_peak,episode_case_count,episode_cumulative_incidence_per_100k,peak_weekly_cases,peak_weekly_incidence_per_100k,quiet_weeks_before_episode,first4_case_count,first6_case_count,first8_case_count,first6_nonzero_weeks,re_prefit_eligible,re_prefit_eligible_n20,re_prefit_eligible_n50,reason_if_not_eligible,episode_definition_stable,sensitivity_notes
MA,MA_episode_02,2021-12-19,2023-04-30,2024-06-09,2,TRUE,130,71,5204,74.31701338577771,137,1.9562390746903502,10,91,114,142,6,TRUE,TRUE,TRUE,NA,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
MG,MG_episode_01,2017-01-01,2017-03-19,2018-08-26,1,FALSE,87,11,24726,119.210556779967,1472,7.112828154699953,103,413,1070,2491,6,TRUE,TRUE,TRUE,NA,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
MG,MG_episode_02,2019-01-20,2019-05-19,2019-07-14,2,TRUE,26,17,1451,6.93702382363303,115,0.5497985800949678,17,198,278,359,6,TRUE,TRUE,TRUE,NA,FALSE,permissive: overlapping accepted episode; strict: not accepted/matched
MG,MG_episode_03,2020-04-05,2021-03-21,2021-08-15,3,TRUE,72,50,6899,32.70985858514986,279,1.321209335579926,24,331,514,638,6,TRUE,TRUE,TRUE,NA,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
MG,MG_episode_04,2022-01-02,2024-02-25,2025-12-28,4,TRUE,209,112,263669,1238.1058184941674,11506,53.96129409744765,19,237,393,588,6,TRUE,TRUE,TRUE,NA,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
MS,MS_episode_01,2017-10-08,2018-04-15,2019-04-28,1,FALSE,82,27,308,11.218356067432337,20,0.728289419302073,45,23,30,35,6,TRUE,TRUE,FALSE,NA,FALSE,permissive: overlapping accepted episode; strict: not accepted/matched
MS,MS_episode_02,2022-03-13,2023-04-02,2023-09-03,2,TRUE,78,55,1625,56.53111067745517,195,6.775517380244468,22,37,46,67,6,TRUE,TRUE,FALSE,NA,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
MS,MS_episode_03,2023-12-31,2025-05-18,2025-12-28,3,TRUE,105,72,9546,326.6554567242061,650,22.225025994732327,8,67,104,176,6,TRUE,TRUE,TRUE,NA,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
MT,MT_episode_01,2016-12-11,2018-01-21,2020-05-24,1,FALSE,181,58,16761,481.7294335826305,1275,36.526169353082864,71,70,150,290,6,TRUE,TRUE,TRUE,NA,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
MT,MT_episode_02,2023-03-19,2025-01-26,2025-12-28,2,TRUE,146,97,67687,1747.14012658406,3858,99.08417763342912,36,50,62,71,6,TRUE,TRUE,TRUE,NA,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
PA,PA_episode_01,2016-04-17,2017-01-29,2019-08-18,1,FALSE,175,41,17771,213.8903769108395,744,8.990021800802866,65,139,213,264,6,TRUE,TRUE,TRUE,NA,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
PB,PB_episode_01,2016-01-24,2022-05-01,2025-08-10,1,FALSE,499,327,41541,1021.3196539654477,978,23.818650929146575,51,112,229,440,6,TRUE,TRUE,TRUE,NA,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
PE,PE_episode_01,2015-11-08,2016-02-21,2018-09-30,1,FALSE,152,15,16547,178.55275600320883,894,9.65163013225972,38,117,272,479,6,TRUE,TRUE,TRUE,NA,TRUE,permissive: overlapping accepted episode; strict: overlapping accepted episode
