mode,draw,case_loglik,serology_loglik,q_prior_logdensity,other_priors_logdensity,lp__,q,alpha_R
low_q,123,-1224.1339242609254,-4.327098030825454,-1.1436585732511553,-9.505507936556633,-1454.9213424502527,0.05344126849114512,0.22182482308901558
low_q,124,-1231.1348352727184,-4.750265981289573,-1.1628724998794786,-9.874100601979851,-1463.0237688844093,0.039190898404500886,0.2553991770730334
low_q,125,-1226.7378595978178,-4.272050606428621,-1.1428241041692553,-9.975028890325927,-1458.0193548247535,0.04776161986372334,0.2207476292808282
low_q,126,-1222.5393018600425,-4.24105319233945,-1.1511548363643436,-9.433902512697525,-1453.3555272953174,0.042581507126575484,0.21655490905240563
low_q,127,-1223.7056782288448,-5.0668894872040084,-1.1526388978811521,-9.500957864122638,-1455.2984260869403,0.042044586819708865,0.2714375752315527
low_q,128,-1224.0153661637198,-4.2050147628650905,-1.15101050471372,-9.63182524493564,-1455.0008936930851,0.042636361931809356,0.20515341257550448
low_q,129,-1227.470944811481,-4.28767033883824,-1.1617444169417839,-9.52269826878355,-1458.483595216565,0.0394557760391899,0.22608336622278866
low_q,130,-1221.533213077769,-4.221669075630643,-1.1439720977732069,-10.003194522622195,-1452.803079648981,0.04647321550416453,0.20775040709215198
low_q,131,-1221.5453118418577,-4.395946125661112,-1.1513108713889217,-9.455764828495486,-1452.5271785274178,0.042522767835760415,0.23163058381743312
low_q,132,-1223.625512022162,-4.42659446202191,-1.1428682397293175,-10.531383935519926,-1455.6095938344245,0.05240756602890562,0.2347701646388976
low_q,133,-1227.526112699431,-4.256950069686553,-1.1492373636708986,-9.489645658663523,-1458.4712214708932,0.05760009218456905,0.18518311043210342
low_q,134,-1226.0181258456485,-4.293304826245532,-1.1564192393888066,-9.521738950263096,-1456.7536239372641,0.0610671234496725,0.17143169024770752
low_q,135,-1227.0796611854928,-4.3916346037500205,-1.150594985596419,-10.038007776534773,-1458.5186098953502,0.04279719694828296,0.23217502618538552
low_q,136,-1229.3175630398835,-4.216428247077715,-1.2413544359267439,-10.067260182279906,-1460.7704733653002,0.08413398166894151,0.17696291940208164
low_q,137,-1228.6060384568555,-4.239874358981552,-1.1824448329082835,-9.602854938990713,-1459.7334972141227,0.03558519256472593,0.21809307541637946
low_q,138,-1223.0094582237718,-4.289634143724442,-1.1511638397519066,-9.847808382817384,-1454.2724359696206,0.042578102025650995,0.21814801865873926
low_q,139,-1223.9076935456471,-4.576040179408238,-1.1738542153164446,-9.333127714955875,-1454.72300499997,0.036985632011926436,0.24660303752036614
low_q,140,-1224.708177345429,-4.524858142388581,-1.1420985151993275,-9.199864419484479,-1455.2754052175212,0.04966072926175752,0.23978022048753403
low_q,141,-1223.9950760165627,-4.673152320677332,-1.1617207921995907,-11.258386136488216,-1456.8736271242797,0.03946142193471432,0.25024215374707076
low_q,142,-1223.5880476864347,-4.234802439980228,-1.1492476533222484,-9.599844487546548,-1454.5826903791092,0.05760592670812335,0.21056485364357785
low_q,143,-1224.1173093222296,-4.429736286291188,-1.145941845327967,-9.473487225971546,-1455.1892131138475,0.04503369845598229,0.23410510571376186
low_q,144,-1223.9012753211998,-4.208205696835847,-1.1506781928885292,-9.59488429524602,-1454.9069833020842,0.058384855226568486,0.1911386191254174
low_q,145,-1220.9163830786006,-4.539956079819376,-1.1440627609334248,-9.640922169099728,-1452.165860226112,0.046392556414250864,0.24319105759343235
low_q,146,-1222.7793416991874,-4.206044634463751,-1.143641029965049,-9.594992049367654,-1453.6209364164154,0.04678684037858221,0.2022022545858592
