mode,draw,case_loglik,serology_loglik,q_prior_logdensity,other_priors_logdensity,lp__,q,alpha_R
low_q,77,-1223.7926736567322,-4.256132538034848,-1.152102166104369,-10.188824112262271,-1455.3924366538827,0.042233386055870174,0.21605198638056794
low_q,78,-1225.8180615871047,-4.222694137870718,-1.1421391070432512,-10.286607935795253,-1457.4111488259446,0.04936971871982412,0.18872613122837623
low_q,79,-1225.630737254409,-4.731959303931433,-1.1431529547998982,-9.324453439382566,-1456.6106165704546,0.047322631371083404,0.2536959028457863
low_q,80,-1223.9991722558939,-4.236551702997531,-1.1547545445385528,-9.584529005850307,-1454.8135882936376,0.04135053691886147,0.21215091823477927
low_q,81,-1224.6578423428168,-4.4906229755011395,-1.1505609919388975,-9.540853289324751,-1455.6632381543977,0.05832324940289626,0.23416244102335276
low_q,82,-1225.8489594669538,-4.318060478964753,-1.143035130686961,-9.717031401016925,-1456.9745808770044,0.052656829564996704,0.2230893495605706
low_q,83,-1225.5466644077405,-4.8644749369525755,-1.157042733219552,-9.516600225416534,-1456.937408925869,0.04067324836407963,0.26043365333033097
low_q,84,-1223.049416682845,-4.4960982149138715,-1.148333101925182,-9.730572485917957,-1454.2395345214866,0.04376352211742304,0.24259406112669754
low_q,85,-1225.458444267715,-4.310628116651003,-1.1422750156963053,-9.869444495523682,-1456.8695230715066,0.05117929692710035,0.21506150977798308
low_q,86,-1225.0331753567657,-4.592405306180211,-1.1559212869807969,-9.088283636494701,-1455.5820757831038,0.04099684192624658,0.2517582658823374
low_q,87,-1229.1307435498748,-4.207429465305552,-1.1421579149578651,-11.426634790438323,-1461.5936012070658,0.0507362930375812,0.19419921259059175
low_q,88,-1227.3435496254795,-4.363652654204941,-1.1580764338564147,-9.761468081513192,-1458.7288966657393,0.04038761385723265,0.22453087972224703
low_q,89,-1224.9852662028914,-4.239337413727441,-1.142154654422301,-10.18847057906868,-1456.4049369045679,0.05072018108990606,0.18374279974149216
low_q,90,-1223.7737628501243,-4.276054168352431,-1.1428806059310797,-9.354504656559365,-1454.340349871901,0.04767983372485153,0.21833989845754018
low_q,91,-1223.0671979184192,-4.196578750216787,-1.1421140223527912,-10.50627587680798,-1454.7921209454769,0.049527589324465146,0.19688587847950245
low_q,92,-1222.9816866224187,-4.196737406894101,-1.1434780904616435,-9.940661063829475,-1454.037440132292,0.046954287660732015,0.1983462397257551
low_q,93,-1226.6828995301585,-4.47053837979891,-1.2224932640984743,-9.88606658486535,-1458.3296119094275,0.07994050324344128,0.15427723566032067
low_q,94,-1225.0741504072405,-4.310443279504426,-1.1506229317218242,-9.733208193602211,-1456.2959015148201,0.05835585267327284,0.17671255868860616
low_q,95,-1223.1887802964168,-4.447055159796236,-1.1576769661442552,-10.227805058300465,-1454.7863600270769,0.04049664128488337,0.23613132538372
low_q,96,-1224.7801789911475,-4.75927676908222,-1.1431968336378822,-9.585812474664543,-1456.0273776696788,0.047269764472759684,0.2546847140269037
