week_start,cases_confirmed,individual_confirmed
2023-12-31,10,10
2024-01-07,7,7
2024-01-14,15,15
2024-01-21,11,11
2024-01-28,18,18
2024-02-04,20,20
2024-02-11,25,25
2024-02-18,35,35
2024-02-25,45,45
2024-03-03,25,25
2024-03-10,36,36
2024-03-17,30,30
2024-03-24,29,29
2024-03-31,51,51
2024-04-07,64,64
2024-04-14,48,48
2024-04-21,27,27
2024-04-28,32,32
2024-05-05,26,26
2024-05-12,34,34
2024-05-19,36,36
2024-05-26,32,32
2024-06-02,20,20
2024-06-09,26,26
2024-06-16,23,23
2024-06-23,9,9
2024-06-30,11,11
2024-07-07,18,18
2024-07-14,9,9
2024-07-21,10,10
2024-07-28,7,7
2024-08-04,5,5
2024-08-11,11,11
2024-08-18,5,5
2024-08-25,5,5
2024-09-01,13,13
2024-09-08,0,0
2024-09-15,5,5
2024-09-22,8,8
2024-09-29,5,5
2024-10-06,6,6
2024-10-13,3,3
2024-10-20,4,4
2024-10-27,4,4
2024-11-03,8,8
2024-11-10,2,2
2024-11-17,5,5
2024-11-24,4,4
2024-12-01,4,4
2024-12-08,4,4
2024-12-15,2,2
2024-12-22,0,0
2024-12-29,8,8
2025-01-05,4,4
2025-01-12,3,3
2025-01-19,5,5
2025-01-26,6,6
2025-02-02,6,6
2025-02-09,11,11
2025-02-16,7,7
2025-02-23,6,6
2025-03-02,9,9
2025-03-09,12,12
2025-03-16,7,7
2025-03-23,16,16
2025-03-30,28,28
2025-04-06,20,20
2025-04-13,28,28
2025-04-20,39,39
2025-04-27,44,44
2025-05-04,40,40
2025-05-11,45,45
2025-05-18,38,38
2025-05-25,27,27
2025-06-01,18,18
2025-06-08,14,14
2025-06-15,26,26
2025-06-22,16,16
2025-06-29,13,13
2025-07-06,17,17
2025-07-13,9,9
2025-07-20,15,15
2025-07-27,27,27
2025-08-03,12,12
2025-08-10,13,13
2025-08-17,3,3
2025-08-24,6,6
2025-08-31,11,11
2025-09-07,10,10
2025-09-14,5,5
2025-09-21,3,3
2025-09-28,10,10
2025-10-05,9,9
2025-10-12,5,5
2025-10-19,3,3
2025-10-26,5,5
2025-11-02,2,2
2025-11-09,2,2
2025-11-16,5,5
2025-11-23,7,7
2025-11-30,4,4
2025-12-07,3,3
2025-12-14,1,1
2025-12-21,4,4
2025-12-28,4,4
