segmentation_definition,state,wave_id,onset_week,peak_week,end_week,wave_end_censored,peak_incidence_raw,peak_incidence_smooth,peak_cases,preceding_trough_week,preceding_trough_incidence,trough_ratio,trough_duration_weeks,duration_weeks,weeks_onset_to_peak,total_cases,cumulative_incidence_per_100k,first4_cases,first6_cases,first8_cases,first4_nonzero_weeks,first6_nonzero_weeks,first8_nonzero_weeks,re4_prefit_eligible,re6_prefit_eligible,re8_prefit_eligible,early_peak_flag,reporting_anomaly_flag,n_candidate_peaks_in_segment,qc_duration_gt104,qc_peak_late_gt52,qc_multiple_peaks,qc_no_meaningful_fall,reason_re6_not_eligible,candidate_wave,major_epidemic_abs50,major_epidemic_abs100,major_epidemic_abs200,major_epidemic_inc2,major_epidemic_inc5,major_epidemic_inc10,major_epidemic_primary,reason_not_major,wave_order,is_recurrence
permissive,AC,AC_wave_22,2022-10-30,2022-11-06,2022-11-20,FALSE,0.11460451129198249,0.038201503763994164,1,2022-09-25,0,0,5,4,1,1,0.11460451129198249,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,1,FALSE,FALSE,FALSE,FALSE,too few nonzero raw incidence weeks; fewer than 30 raw cases; one week contains >=80% of early-window cases (backlog screen),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
permissive,AC,AC_wave_23,2023-02-05,2023-02-19,2023-03-12,FALSE,0.22815891724904233,0.1901324310408686,2,2022-11-20,0,0,11,6,2,6,0.684476751747127,5,6,6,3,4,4,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,fewer than 30 raw cases,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
permissive,AC,AC_wave_24,2023-03-26,2023-04-09,2023-06-04,FALSE,0.3422383758735634,0.3042118896653897,3,2023-03-12,0.03802648620817372,0.19999999999999998,4,11,2,12,1.368953503494254,8,8,11,3,3,5,FALSE,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,TRUE,FALSE,too few nonzero raw incidence weeks; fewer than 30 raw cases,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
permissive,AC,AC_wave_25,2023-07-02,2023-07-09,2023-08-20,FALSE,0.22815891724904233,0.07605297241634744,2,2023-06-04,0,0,4,8,1,4,0.45631783449808466,2,4,4,1,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,TRUE,FALSE,too few nonzero raw incidence weeks; fewer than 30 raw cases,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
permissive,AC,AC_wave_26,2023-10-08,2023-10-15,2023-10-29,FALSE,0.11407945862452117,0.03802648620817372,1,2023-08-20,0,0,7,4,1,1,0.11407945862452117,1,1,3,1,1,2,FALSE,FALSE,FALSE,TRUE,TRUE,1,FALSE,FALSE,FALSE,FALSE,too few nonzero raw incidence weeks; fewer than 30 raw cases; one week contains >=80% of early-window cases (backlog screen),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
permissive,AC,AC_wave_27,2023-11-19,2024-01-07,2024-02-11,FALSE,1.3626592749971327,2.201514887423137,12,2023-10-29,0,0,3,13,7,93,10.584212738091983,8,10,57,3,4,6,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,fewer than 30 raw cases,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,fewer than 100 total cases,NA,NA
permissive,AC,AC_wave_28,2024-02-18,2024-03-10,2024-05-05,FALSE,1.0219944562478496,1.0598461027755477,9,2024-02-11,0.34066481874928317,0.3214285714285714,2,12,3,62,7.040406254151852,29,43,51,4,6,8,TRUE,TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,fewer than 100 total cases,NA,NA
permissive,AC,AC_wave_29,2024-05-19,2024-06-02,2024-10-13,FALSE,0.567774697915472,0.7191812840262646,5,2024-05-05,0.2649615256938869,0.3684210526315789,2,22,2,63,7.153961193734947,22,32,38,4,6,8,TRUE,TRUE,FALSE,TRUE,FALSE,2,FALSE,FALSE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,fewer than 100 total cases,NA,NA
permissive,AC,AC_wave_30,2024-12-08,2025-01-19,2025-05-04,FALSE,0.5653729426078619,0.6030644721150527,5,2024-10-13,0,0,18,22,6,40,4.526345998293549,7,16,24,2,4,6,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE,fewer than 30 raw cases,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
permissive,AC,AC_wave_31,2025-05-25,2025-06-29,2025-08-17,FALSE,0,0.15076611802876316,0,2025-05-04,0.03769152950719079,0.25,3,13,5,9,1.0176712966941515,2,5,7,1,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,TRUE,FALSE,too few nonzero raw incidence weeks; fewer than 30 raw cases,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
