state,week_start,reported_cases,population,incidence_raw,incidence_smooth
AC,2017-03-26,0,844496,0,0.11841382315605996
AC,2017-04-02,1,844496,0.11841382315605996,0.07894254877070664
AC,2017-04-09,1,844496,0.11841382315605996,0.07894254877070664
AC,2017-04-16,0,844496,0,0.07894254877070664
AC,2017-04-23,1,844496,0.11841382315605996,0.07894254877070664
AC,2017-04-30,1,844496,0.11841382315605996,0.23682764631211992
AC,2017-05-07,4,844496,0.47365529262423983,0.23682764631211992
AC,2017-05-14,1,844496,0.11841382315605996,0.19735637192676658
AC,2017-05-21,0,844496,0,0.11841382315605996
AC,2017-05-28,2,844496,0.23682764631211992,0.15788509754141328
AC,2017-06-04,2,844496,0.23682764631211992,0.2762989206974732
AC,2017-06-11,3,844496,0.3552414694681798,0.19735637192676658
AC,2017-06-18,0,844496,0,0.19735637192676658
AC,2017-06-25,2,844496,0.23682764631211992,0.11841382315605996
AC,2017-07-02,1,844496,0.11841382315605996,0.15788509754141328
AC,2017-07-09,1,844496,0.11841382315605996,0.11841382315605996
AC,2017-07-16,1,844496,0.11841382315605996,0.07894254877070664
AC,2017-07-23,0,844496,0,0.07894254877070664
AC,2017-07-30,1,844496,0.11841382315605996,0.03947127438535332
AC,2017-08-06,0,844496,0,0.03947127438535332
AC,2017-08-13,0,844496,0,0
AC,2017-08-20,0,844496,0,0.03947127438535332
AC,2017-08-27,1,844496,0.11841382315605996,0.03947127438535332
AC,2017-09-03,0,844496,0,0.07894254877070664
AC,2017-09-10,1,844496,0.11841382315605996,0.03947127438535332
AC,2017-09-17,0,844496,0,0.07894254877070664
AC,2017-09-24,1,844496,0.11841382315605996,0.11841382315605996
AC,2017-10-01,2,844496,0.23682764631211992,0.27629892069747325
AC,2017-10-08,4,844496,0.47365529262423983,0.31577019508282655
AC,2017-10-15,2,844496,0.23682764631211992,0.23682764631211992
AC,2017-10-22,0,844496,0,0.07894254877070664
AC,2017-10-29,0,844496,0,0.07894254877070664
AC,2017-11-05,2,844496,0.23682764631211992,0.07894254877070664
AC,2017-11-12,0,844496,0,0.07894254877070664
AC,2017-11-19,0,844496,0,0.03947127438535332
AC,2017-11-26,1,844496,0.11841382315605996,0.11841382315605996
AC,2017-12-03,2,844496,0.23682764631211992,0.15788509754141328
AC,2017-12-10,1,844496,0.11841382315605996,0.19735637192676658
AC,2017-12-17,2,844496,0.23682764631211992,0.19735637192676658
AC,2017-12-24,2,844496,0.23682764631211992,0.19735637192676658
AC,2017-12-31,1,844496,0.11841382315605996,0.19670666343240237
AC,2018-01-07,2,851504,0.23487852082902722,0.3134962153525518
AC,2018-01-14,5,851504,0.5871963020725681,0.31317136110536964
AC,2018-01-21,1,851504,0.11743926041451361,0.39146420138171206
AC,2018-01-28,4,851504,0.46975704165805443,0.2740249409671984
AC,2018-02-04,2,851504,0.23487852082902722,0.35231778124354085
AC,2018-02-11,3,851504,0.35231778124354085,0.4306106215198833
AC,2018-02-18,6,851504,0.7046355624870817,0.4697570416580545
AC,2018-02-25,3,851504,0.35231778124354085,0.5871963020725681
AC,2018-03-04,6,851504,0.7046355624870817,0.4697570416580545
AC,2018-03-11,3,851504,0.35231778124354085,0.39146420138171206
AC,2018-03-18,1,851504,0.11743926041451361,0.2740249409671984
AC,2018-03-25,3,851504,0.35231778124354085,0.19573210069085603
AC,2018-04-01,1,851504,0.11743926041451361,0.19573210069085603
AC,2018-04-08,1,851504,0.11743926041451361,0.07829284027634241
AC,2018-04-15,0,851504,0,0.07829284027634241
AC,2018-04-22,1,851504,0.11743926041451361,0.07829284027634241
AC,2018-04-29,1,851504,0.11743926041451361,0.07829284027634241
AC,2018-05-06,0,851504,0,0.039146420138171205
AC,2018-05-13,0,851504,0,0.039146420138171205
AC,2018-05-20,1,851504,0.11743926041451361,0.07829284027634241
AC,2018-05-27,1,851504,0.11743926041451361,0.15658568055268482
AC,2018-06-03,2,851504,0.23487852082902722,0.23487852082902722
AC,2018-06-10,3,851504,0.35231778124354085,0.31317136110536964
AC,2018-06-17,3,851504,0.35231778124354085,0.31317136110536964
AC,2018-06-24,2,851504,0.23487852082902722,0.31317136110536964
AC,2018-07-01,3,851504,0.35231778124354085,0.23487852082902722
AC,2018-07-08,1,851504,0.11743926041451361,0.23487852082902722
AC,2018-07-15,2,851504,0.23487852082902722,0.2740249409671984
AC,2018-07-22,4,851504,0.46975704165805443,0.391464201381712
AC,2018-07-29,4,851504,0.46975704165805443,0.5089034617962257
AC,2018-08-05,5,851504,0.5871963020725681,0.6654891423489104
AC,2018-08-12,8,851504,0.9395140833161089,0.6263427222107393
AC,2018-08-19,3,851504,0.35231778124354085,0.5089034617962256
AC,2018-08-26,2,851504,0.23487852082902722,0.4306106215198833
AC,2018-09-02,6,851504,0.7046355624870817,0.39146420138171206
AC,2018-09-09,2,851504,0.23487852082902722,0.5089034617962257
AC,2018-09-16,5,851504,0.5871963020725681,0.4697570416580545
AC,2018-09-23,5,851504,0.5871963020725681,0.8220748229015953
AC,2018-09-30,11,851504,1.2918318645596496,1.0178069235924514
AC,2018-10-07,10,851504,1.1743926041451362,1.2526854444214786
AC,2018-10-14,11,851504,1.2918318645596496,1.4484175451123344
AC,2018-10-21,16,851504,1.8790281666322177,2.0356138471849023
AC,2018-10-28,25,851504,2.9359815103628404,2.113906687461245
AC,2018-11-04,13,851504,1.5267103853886768,1.9573210069085603
AC,2018-11-11,12,851504,1.4092711249741634,1.2135390242833073
AC,2018-11-18,6,851504,0.7046355624870817,0.939514083316109
AC,2018-11-25,6,851504,0.7046355624870817,0.5871963020725681
AC,2018-12-02,3,851504,0.35231778124354085,0.6263427222107393
AC,2018-12-09,7,851504,0.8220748229015953,0.6263427222107393
AC,2018-12-16,6,851504,0.7046355624870817,0.5871963020725681
AC,2018-12-23,2,851504,0.23487852082902722,0.46975704165805443
AC,2018-12-30,4,851504,0.46975704165805443,0.7011230031169822
AC,2019-01-06,12,857919,1.3987334468638648,1.050220938271265
AC,2019-01-13,11,857919,1.282172326291876,1.0879037920052281
AC,2019-01-20,5,857919,0.58280560285994365,0.738220430289262
AC,2019-01-27,3,857919,0.3496833617159662,0.42739077543062537
AC,2019-02-03,3,857919,0.3496833617159662,0.27197594800130703
AC,2019-02-10,1,857919,0.11656112057198874,0.27197594800130703
AC,2019-02-17,3,857919,0.3496833617159662,0.1554148274293183
AC,2019-02-24,0,857919,0,0.11656112057198874
AC,2019-03-03,0,857919,0,0
AC,2019-03-10,0,857919,0,0.03885370685732958
AC,2019-03-17,1,857919,0.11656112057198874,0.03885370685732958
AC,2019-03-24,0,857919,0,0.03885370685732958
AC,2019-03-31,0,857919,0,0
AC,2019-04-07,0,857919,0,0
AC,2019-04-14,0,857919,0,0
AC,2019-04-21,0,857919,0,0
AC,2019-04-28,0,857919,0,0
AC,2019-05-05,0,857919,0,0
AC,2019-05-12,0,857919,0,0
AC,2019-05-19,0,857919,0,0.03885370685732958
AC,2019-05-26,1,857919,0.11656112057198874,0.03885370685732958
AC,2019-06-02,0,857919,0,0.03885370685732958
AC,2019-06-09,0,857919,0,0
AC,2019-06-16,0,857919,0,0
AC,2019-06-23,0,857919,0,0
AC,2019-06-30,0,857919,0,0.03885370685732958
AC,2019-07-07,1,857919,0.11656112057198874,0.03885370685732958
AC,2019-07-14,0,857919,0,0.03885370685732958
AC,2019-07-21,0,857919,0,0
AC,2019-07-28,0,857919,0,0
AC,2019-08-04,0,857919,0,0
AC,2019-08-11,0,857919,0,0
AC,2019-08-18,0,857919,0,0
AC,2019-08-25,0,857919,0,0
AC,2019-09-01,0,857919,0,0
AC,2019-09-08,0,857919,0,0
AC,2019-09-15,0,857919,0,0
