draw,scenario,coverage,VE_infection,vaccination_start,vaccination_end,target_age,cumulative_eligible,cumulative_doses,cumulative_effectively_protected,infections_no_vaccine,infections_vaccine,infections_averted,reported_cases_no_vaccine,reported_cases_vaccine,reported_cases_averted,NNV_infection,NNV_reported_case,infections_direct_only_arm,direct_only_effect,indirect_effect,NNV_total_infection,NNV_direct_only_infection,NNV_indirect_infection
70,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.059024834,913032.059024834,780758.4912397618,2533563.4440560425,2004626.2554393467,528937.1886166958,126678.17220280213,100231.31277196734,26446.859430834793,1.7261634815518325,34.52326963103665,2449401.415519573,84162.02853646968,444775.16008022614,1.7261634815518325,10.848503474808625,2.0527946274251154
72,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248337,913032.0590248337,782515.5326623233,2489156.507318923,1943183.8980192824,545972.6092996404,124457.82536594615,97159.19490096412,27298.630464982023,1.672303781312487,33.44607562624974,2407067.8663695753,82088.64094934752,463883.9683502929,1.672303781312487,11.122514010046975,1.9682336991981915
80,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248338,913032.0590248338,796299.2944204877,2324543.6099045393,1763764.7106180382,560778.8992865011,116227.18049522697,88188.23553090192,28038.944964325055,1.6281498112473862,32.562996224947724,2246658.8626029426,77884.74730159668,482894.1519849044,1.6281498112473862,11.72286090226701,1.8907498781500585
82,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248331,913032.0590248331,794633.7414518889,2369450.798104028,1824707.1714582955,544743.6266457327,118472.53990520141,91235.35857291479,27237.181332286636,1.6760766246075098,33.52153249215019,2289536.9647354684,79913.83336855983,464829.79327717284,1.6760766246075098,11.425206632423212,1.9642287827286542
85,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248334,913032.0590248334,774602.6745324763,2633259.8479245724,2140575.097604165,492684.75032040756,131662.99239622863,107028.75488020825,24634.23751602038,1.853177023301536,37.063540466030716,2544996.1306953197,88263.71722925268,404421.0330911549,1.853177023301536,10.344364453327522,2.2576275324904764
90,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248336,913032.0590248336,773044.4912134759,2670806.327120405,2177091.96674264,493714.36037776526,133540.31635602025,108854.598337132,24685.718018888263,1.8493123398845999,36.986246797692,2580830.683466667,89975.64365373831,403738.71672402695,1.8493123398845999,10.147546846550387,2.261442911478145
94,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.059024833,913032.059024833,801048.0473071111,2239204.7116360883,1667355.9688118235,571848.7428242648,111960.23558180442,83367.79844059118,28592.437141213242,1.596632099802338,31.932641996046755,2164412.381311315,74792.33032477321,497056.4124994916,1.596632099802338,12.207562661306897,1.8368781411219937
95,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248335,913032.0590248335,788634.5084378074,2415015.033576078,1864410.0417242714,550604.9918518064,120750.75167880389,93220.50208621357,27530.24959259032,1.6582342560210082,33.16468512042017,2335116.3334593885,79898.70011668932,470706.2917351171,1.6582342560210082,11.427370629201494,1.9397065113772234
100,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248338,913032.0590248338,763881.7050329479,2785954.2524551554,2316786.577120392,469167.67533476325,139297.71262275777,115839.32885601961,23458.383766738163,1.9460677003661044,38.92135400732209,2692858.7294465452,93095.52300861012,376072.1523261531,1.9460677003661044,9.80747547806773,2.4278108692105334
122,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248329,913032.0590248329,790857.4376265142,2395338.6443935186,1842762.4429629552,552576.2014305633,119766.93221967593,92138.12214814777,27628.81007152817,1.6523188234692088,33.04637646938417,2315438.4679923635,79900.17640115507,472676.0250294083,1.6523188234692088,11.427159490121397,1.9316233755837884
127,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248337,913032.0590248337,790151.9079961288,2413147.2734115627,1870149.8062002882,542997.4672112744,120657.36367057814,93507.49031001441,27149.873360563724,1.6814665153301402,33.6293303066028,2332401.420502318,80745.8529092446,462251.61430202983,1.6814665153301402,11.307479283809766,1.9751841438205755
128,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.059024834,913032.059024834,785540.1034992372,2490422.776759764,1963547.8517205568,526874.9250392073,124521.13883798821,98177.39258602785,26343.74625196037,1.7329199315319301,34.6583986306386,2406598.0240171035,83824.7527426607,443050.17229654663,1.7329199315319301,10.8921533216783,2.0607870532859525
130,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.059024833,913032.059024833,787282.4535397058,2495973.1685999655,1984899.744105301,511073.4244946644,124798.65842999828,99244.98720526506,25553.67122473322,1.7864987989301429,35.72997597860286,2411256.3355937786,84716.83300618688,426356.59148847754,1.7864987989301429,10.77745740280629,2.141475181226342
133,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248335,913032.0590248335,780199.3691740672,2544961.3539955835,2022837.3217827755,522124.03221280803,127248.06769977917,101141.86608913878,26106.201610640404,1.7486880562752924,34.973761125505845,2460188.586729215,84772.7672663685,437351.26494643954,1.7486880562752924,10.770346285334211,2.0876401469575
150,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248335,913032.0590248335,777371.1167060249,2598340.607019538,2087992.1733705418,510348.4336489963,129917.03035097691,104399.6086685271,25517.421682449814,1.7890366636312476,35.78073327262496,2511437.5548747955,86903.05214474257,423445.3815042537,1.7890366636312476,10.506329024026916,2.1561979393454824
153,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248336,913032.0590248336,776477.1197564175,2621830.9836725467,2115876.564656809,505954.4190157377,131091.54918362733,105793.82823284046,25297.720950786887,1.8045737416445684,36.091474832891365,2533767.656647899,88063.3270246475,417891.0919910902,1.8045737416445684,10.36790330178294,2.184856477017941
158,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248335,913032.0590248335,795229.4896987012,2346156.07068926,1787991.7753817667,558164.2953074933,117307.803534463,89399.58876908834,27908.214765374665,1.6357765387372962,32.71553077474592,2267229.274610361,78926.79607889894,479237.49922859436,1.6357765387372962,11.568087194520396,1.9051765784073607
159,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248338,913032.0590248338,788812.8174998009,2443823.343638379,1906703.1246246407,537120.2190137384,122191.16718191897,95335.15623123205,26856.010950686923,1.699865368504179,33.99730737008358,2361835.9043406206,81987.43929775851,455132.77971597994,1.699865368504179,11.136243147062109,2.006078445052014
