wave_from,wave_to,spearman_incidence_corr,top10pct_jaccard,top20pct_jaccard,contrib50pct_overlap_jaccard,contrib80pct_overlap_jaccard,share_w2_cases_from_bottom50_w1,share_w2_cases_from_bottom25_w1,share_w2_cases_from_zero_w1,comparison_type
PE_wave_05,PE_wave_07,0.3001773465156716,0.11764705882352941,0.2542372881355932,1,0.2727272727272727,0.07512848936813464,0,0.07512848936813464,all_pairwise
PE_wave_05,PE_wave_08,0.06180223159377446,0.05555555555555555,0.1044776119402985,0.16666666666666666,0.08,0.4040326304448207,0,0.4040326304448207,all_pairwise
PE_wave_05,PE_wave_09,0.183087070137606,0.08571428571428572,0.12121212121212122,0.5,0.15384615384615385,0.19176319176319176,0,0.19176319176319176,all_pairwise
PE_wave_05,PE_wave_10,0.18948985499268348,0.05555555555555555,0.15625,0.5,0.3333333333333333,0.15799004074241738,0,0.15799004074241738,all_pairwise
PE_wave_05,PE_wave_11,0.2118638500943354,0.1875,0.23333333333333334,0.5,0.4166666666666667,0.132890365448505,0,0.132890365448505,all_pairwise
PE_wave_06,PE_wave_07,0.41933676929563907,0.22580645161290322,0.2982456140350877,1,0.42857142857142855,0.05633377002922503,0,0.05633377002922503,all_pairwise
PE_wave_06,PE_wave_08,-7.396197127989013e-4,0.02702702702702703,0.08823529411764706,0.16666666666666666,0.045454545454545456,0.6506849315068494,0,0.6506849315068494,all_pairwise
PE_wave_06,PE_wave_09,0.14839280304407476,0.11764705882352941,0.15625,0.5,0.1,0.20463320463320464,0,0.20463320463320464,all_pairwise
PE_wave_06,PE_wave_10,0.22649169321707122,0.11764705882352941,0.1935483870967742,0.5,0.25,0.12449071978270711,0,0.12449071978270711,all_pairwise
PE_wave_06,PE_wave_11,0.22521770449565318,0.22580645161290322,0.23333333333333334,0.5,0.18181818181818182,0.0946843853820598,0,0.0946843853820598,all_pairwise
PE_wave_07,PE_wave_08,0.12256681871097085,0.02702702702702703,0.12121212121212122,0.16666666666666666,0.08695652173913043,0.5661074342004002,0.44058796367554254,0.44058796367554254,all_pairwise
PE_wave_07,PE_wave_09,0.19160120259681362,0.05555555555555555,0.15625,0.5,0.18181818181818182,0.06692406692406692,0.055341055341055344,0.055341055341055344,all_pairwise
PE_wave_07,PE_wave_10,0.3024335858488593,0.1875,0.21311475409836064,0.5,0.2222222222222222,0.09642372114078769,0.07288365776369397,0.07288365776369397,all_pairwise
PE_wave_07,PE_wave_11,0.24259999160273868,0.1875,0.1746031746031746,0.5,0.25,0.10382059800664452,0.07890365448504984,0.07890365448504984,all_pairwise
PE_wave_08,PE_wave_09,0.37011802485871,0.3103448275862069,0.2982456140350877,0.14285714285714285,0.08333333333333333,0.14285714285714285,0.036036036036036036,0.02445302445302445,all_pairwise
PE_wave_08,PE_wave_10,0.29117269007862207,0.22580645161290322,0.1935483870967742,0.14285714285714285,0.12903225806451613,0.19194205522861024,0.04481665912177456,0.02399275690357628,all_pairwise
PE_wave_08,PE_wave_11,0.3231466489616597,0.15151515151515152,0.1746031746031746,0.14285714285714285,0.07692307692307693,0.2541528239202658,0.10132890365448505,0.03239202657807309,all_pairwise
PE_wave_09,PE_wave_10,0.3088666526852238,0.1875,0.2542372881355932,1,0.2777777777777778,0.1498415572657311,0,0.1498415572657311,all_pairwise
PE_wave_09,PE_wave_11,0.21935974743108574,0.26666666666666666,0.21311475409836064,0.3333333333333333,0.3333333333333333,0.1362126245847176,0,0.1362126245847176,all_pairwise
PE_wave_10,PE_wave_11,0.457727150947967,0.26666666666666666,0.2982456140350877,0.3333333333333333,0.47058823529411764,0.05149501661129568,0.016611295681063124,0.016611295681063124,all_pairwise
