state,year,observed_cases,reference_q025,reference_q975,prob_below_reference,prob_above_reference,q_implied_q025,q_implied_median,q_implied_q975,q_implied_prob_gt_one,annual_hmc_pass,flag_q_gt_one,flag_implausibly_high,flag_implausibly_low,flag_label
AM,2015,0,0.07724361106339048,0.1937957032029353,1,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,low vs external 95% reference
AM,2016,100,0.07724361106339048,0.1937957032029353,1,0,9.738201349314238e-4,0.002254556830387751,0.007198725071059946,0,TRUE,FALSE,FALSE,TRUE,low vs external 95% reference
AM,2017,88,0.07724361106339048,0.1937957032029353,1,0,8.984764656160266e-4,0.002057226142265041,0.006222884746968027,0,TRUE,FALSE,FALSE,TRUE,low vs external 95% reference
AM,2018,7,0.07724361106339048,0.1937957032029353,1,0,1.1444690961620028e-4,2.695636177893096e-4,0.0013315198655997492,0,TRUE,FALSE,FALSE,TRUE,low vs external 95% reference
AM,2019,46,0.07724361106339048,0.1937957032029353,0.99975,0,5.695168833206424e-4,0.0012655447831901045,0.004412259463585115,0,TRUE,FALSE,FALSE,TRUE,low vs external 95% reference
AM,2020,10,0.07724361106339048,0.1937957032029353,1,0,1.637514392677533e-4,3.561101411371267e-4,0.0015536418868250812,0,TRUE,FALSE,FALSE,TRUE,low vs external 95% reference
AM,2021,122,0.07724361106339048,0.1937957032029353,0.9995,0,0.0010911025851126051,0.002582908743916329,0.0074098676121969785,0,TRUE,FALSE,FALSE,TRUE,low vs external 95% reference
AM,2022,142,0.07724361106339048,0.1937957032029353,1,0,0.0011548906904172975,0.0028495404075475758,0.00791921768357167,0,TRUE,FALSE,FALSE,TRUE,low vs external 95% reference
AM,2023,192,0.07724361106339048,0.1937957032029353,1,0,0.001324414869220637,0.0033926278356023244,0.009290592685004397,0,TRUE,FALSE,FALSE,TRUE,low vs external 95% reference
AM,2024,44,0.07724361106339048,0.1937957032029353,1,0,5.341811979366513e-4,0.001213486970408617,0.00447881938092406,0,TRUE,FALSE,FALSE,TRUE,low vs external 95% reference
AM,2025,160,0.07724361106339048,0.1937957032029353,1,0,0.0012045262973402117,0.0030846289316900487,0.00848172716666087,0,TRUE,FALSE,FALSE,TRUE,low vs external 95% reference
SP,2015,75,0.07724361106339048,0.1937957032029353,1,0,7.577741199522876e-5,1.906893120532054e-4,0.0014733562403981357,0,TRUE,FALSE,FALSE,TRUE,low vs external 95% reference
SP,2016,690,0.07724361106339048,0.1937957032029353,1,0,5.999155783642921e-4,0.0013363962037975016,0.007400245092949422,0,TRUE,FALSE,FALSE,TRUE,low vs external 95% reference
SP,2017,656,0.07724361106339048,0.1937957032029353,1,0,6.165707250423827e-4,0.0013006090847519922,0.007379736731944938,0,TRUE,FALSE,FALSE,TRUE,low vs external 95% reference
SP,2018,381,0.07724361106339048,0.1937957032029353,1,0,3.6882991203488424e-4,7.978948191873631e-4,0.004838165958652857,0,TRUE,FALSE,FALSE,TRUE,low vs external 95% reference
SP,2019,341,0.07724361106339048,0.1937957032029353,1,0,3.242243706827097e-4,7.241444692418885e-4,0.004949038328607621,0,TRUE,FALSE,FALSE,TRUE,low vs external 95% reference
SP,2020,211,0.07724361106339048,0.1937957032029353,1,0,2.1318877829653327e-4,4.8565372386840175e-4,0.003631623058911639,0,TRUE,FALSE,FALSE,TRUE,low vs external 95% reference
SP,2021,13557,0.07724361106339048,0.1937957032029353,0.99825,2.5e-4,0.003967364606649632,0.012729849166773138,0.0354912077012875,0,TRUE,FALSE,FALSE,TRUE,low vs external 95% reference
