draw,NNV_infection,infections_averted,S_total_N_baseline,S_age12_N_baseline,S_0_11_N_baseline,S_65plus_N_baseline
402,1.6243293520120081,562097.8638931124,1,1,1,1
404,1.7531568016717454,520793.15333015285,1,1,1,1
406,1.7273078930628005,528586.7462840558,1,1,1,1
408,1.721706128291756,530306.5627876499,1,1,1,1
412,1.645929321342317,554721.3037557539,1,1,1,1
422,1.6723129643683337,545969.6112382314,1,1,1,1
424,1.7223731645250446,530101.1870308649,1,1,1,1
433,1.6344445316927367,558619.176925654,1,1,1,1
475,1.8191698054320615,501894.90629105037,1,1,1,1
478,1.6944298525079426,538843.232532433,1,1,1,1
479,1.6688168046182295,547113.4138259741,1,1,1,1
480,1.6702180236346293,546654.4164323814,1,1,1,1
488,1.6570563838174521,550996.3740168156,1,1,1,1
492,1.7415835355203424,524253.9564730334,1,1,1,1
496,1.6528977792197594,552382.6521539793,1,1,1,1
501,1.628290428688308,560730.4710132941,1,1,1,1
507,1.6771833014961768,544384.1816278151,1,1,1,1
508,1.6946720943636404,538766.2085553387,1,1,1,1
520,1.626095671397662,561487.294434566,1,1,1,1
521,1.6677489932069995,547463.7147099203,1,1,1,1
527,1.7408173554661683,524484.6945935548,1,1,1,1
538,1.6939518807810652,538995.2745315544,1,1,1,1
553,1.858193969451714,491354.54857505346,1,1,1,1
554,1.728536759236555,528210.9588621613,1,1,1,1
577,1.6783773369945725,543996.8944407797,1,1,1,1
588,1.904144402939676,479497.2784707225,1,1,1,1
626,1.668227757711072,547306.5981575437,1,1,1,1
643,1.6415040957567437,556216.741331931,1,1,1,1
651,1.6629850611568218,549032.027016347,1,1,1,1
671,1.617781134846194,564373.0411726166,1,1,1,1
673,1.703772357869963,535888.5268958672,1,1,1,1
682,1.6766591739924936,544554.3573716914,1,1,1,1
686,1.6688001615106693,547118.8702416699,1,1,1,1
687,1.639910486718185,556757.253776703,1,1,1,1
691,1.6575387475022263,550836.0274537758,1,1,1,1
692,1.6961592259665157,538293.8376581736,1,1,1,1
693,1.8273147062587534,499657.8071076637,1,1,1,1
714,1.7987488806271672,507592.84348045755,1,1,1,1
735,1.626586842234768,561317.7454272399,1,1,1,1
738,1.6138651903059082,565742.4576161585,1,1,1,1
739,1.6953028678026143,538565.7491444405,1,1,1,1
740,1.744050622259532,523512.36103567923,1,1,1,1
741,1.5896664505271256,574354.4872083552,1,1,1,1
742,1.6831335324565337,542459.6690746597,1,1,1,1
749,1.5920517837418884,573493.9455793849,1,1,1,1
750,1.813627168805566,503428.75025749975,1,1,1,1
758,1.9863301552455839,459657.7545850873,1,1,1,1
760,1.705583424657666,535319.49585409,1,1,1,1
765,1.6421856762765241,555985.8865016005,1,1,1,1
767,1.7086529051068833,534357.830250913,1,1,1,1
770,1.6816385504214744,542941.9174506902,1,1,1,1
777,1.668509329011492,547214.2367737065,1,1,1,1
805,1.693905148577853,539010.1445711909,1,1,1,1
815,1.6340170823773519,558765.3084363423,1,1,1,1
844,1.678551302020831,543940.5146125839,1,1,1,1
846,1.7755279979946732,514231.29348342284,1,1,1,1
847,1.677699151464966,544216.7972890574,1,1,1,1
851,1.7379349484650508,525354.5651010852,1,1,1,1
853,1.6094851136700774,567282.0775228324,1,1,1,1
873,1.6691744094600875,546996.1999478312,1,1,1,1
880,1.6644437380145591,548550.8690813116,1,1,1,1
885,1.665397320506398,548236.7767634017,1,1,1,1
892,1.7553989087754829,520127.9631999654,1,1,1,1
908,1.742523780545475,523971.07529804856,1,1,1,1
911,2.182963263774398,418253.51538265403,1,1,1,1
914,1.8363005589881432,497212.75450024474,1,1,1,1
919,1.6579088130865747,550713.0740954422,1,1,1,1
928,1.6612570827415558,549603.1099040166,1,1,1,1
936,1.6016699104157484,570050.0790377187,1,1,1,1
942,1.7931369864190954,509181.4322831875,1,1,1,1
981,1.6534669280864118,552192.5135094794,1,1,1,1
993,1.733781641783752,526613.0618879355,1,1,1,1
1028,1.7055566701057863,535327.8932491892,1,1,1,1
1037,1.7734500290663564,514833.823372799,1,1,1,1
1046,1.7745364551035987,514518.62620175374,1,1,1,1
1049,1.6186039848348495,564086.1307517374,1,1,1,1
1065,1.7007827180583002,536830.5129929809,1,1,1,1
1076,1.620843769149265,563306.6409010275,1,1,1,1
1085,1.6619092280125496,549387.4416454823,1,1,1,1
1094,1.6572980641428137,550916.0233630463,1,1,1,1
1100,1.6131425974411202,565995.8769132679,1,1,1,1
1107,1.7291589837629298,528020.8862217676,1,1,1,1
1113,1.7583951820129404,519241.6746613411,1,1,1,1
1115,1.7794802649582457,513089.17384720594,1,1,1,1
1116,1.6486394134828812,553809.4331349144,1,1,1,1
1133,1.678490121592132,543960.341070567,1,1,1,1
1136,1.7131531713344497,532954.1306067999,1,1,1,1
1139,1.692163037854789,539565.0647128625,1,1,1,1
1140,1.6982701386700996,537624.750170677,1,1,1,1
1157,1.6615045619010878,549521.2471641633,1,1,1,1
1163,1.798488842649719,507666.23477055365,1,1,1,1
1169,1.7354326291444444,526112.0735496092,1,1,1,1
1185,1.8544817488924334,492338.120647524,1,1,1,1
1199,1.6607553749390236,549769.1428867765,1,1,1,1
1206,1.687817049889363,540954.3996991157,1,1,1,1
1207,1.6334860128382387,558946.9709865521,1,1,1,1
1217,1.7118671730886266,533354.4993315693,1,1,1,1
1219,1.9269952770956975,473811.2593617379,1,1,1,1
1229,1.5960361423366936,572062.2702742179,1,1,1,1
1247,1.6703556651718006,546609.3707240047,1,1,1,1
1249,1.6576931889377127,550784.7080013191,1,1,1,1
1264,1.6180004999087527,564296.5246774177,1,1,1,1
1268,1.744049504836786,523512.6964531196,1,1,1,1
1274,1.6796831526058789,543573.981562145,1,1,1,1
1306,1.8392293049621433,496421.0044726457,1,1,1,1
1308,1.9127115535467651,477349.5811910513,1,1,1,1
1313,1.6616238063055244,549481.8114425549,1,1,1,1
1325,1.68099338981805,543150.2970536125,1,1,1,1
1328,1.749577524007291,521858.5895717237,1,1,1,1
1338,1.7195026289089312,530986.1373135417,1,1,1,1
1345,1.7445143844686992,523373.1903580162,1,1,1,1
1348,1.6223461496687064,562784.9884016924,1,1,1,1
1356,1.7046459344003382,535613.9011624258,1,1,1,1
1357,1.6618431189665146,549409.296584289,1,1,1,1
1360,1.7329203926710042,526874.784835066,1,1,1,1
1370,1.6837052162673622,542275.4827884608,1,1,1,1
1379,1.8202762797603624,501589.8241255074,1,1,1,1
1381,1.6635875499138537,548833.1882936452,1,1,1,1
1394,1.8400546265609539,496198.34424768295,1,1,1,1
1400,1.751616089228867,521251.24029135145,1,1,1,1
1409,1.7048482924087736,535550.3261435737,1,1,1,1
1418,1.7878289769976097,510693.1763451635,1,1,1,1
1419,1.6923337550574518,539510.635119275,1,1,1,1
1428,1.8587355248609971,491211.3890399302,1,1,1,1
1431,1.8444895829926904,495005.26728019584,1,1,1,1
1434,1.7163981661722654,531946.536077339,1,1,1,1
1447,1.6444996436560126,555203.5614887716,1,1,1,1
1459,1.8384457540478396,496632.580545031,1,1,1,1
1462,1.7093592872941261,534137.0101718875,1,1,1,1
1478,1.970587689050095,463329.8300290066,1,1,1,1
1484,1.6542511361606607,551930.7432025599,1,1,1,1
1489,1.679041703001396,543781.6448470156,1,1,1,1
1501,1.6477069747524682,554122.8343480167,1,1,1,1
1506,1.6395146266402587,556891.6825681787,1,1,1,1
1507,1.709848718576671,533984.1174866443,1,1,1,1
1508,1.928335903193645,473481.85423125746,1,1,1,1
1509,1.62732513767604,561063.0831455854,1,1,1,1
1510,1.7431793420252435,523774.02428602893,1,1,1,1
1512,1.661504429784538,549521.2908600157,1,1,1,1
1513,1.629892595103577,560179.2791547792,1,1,1,1
1521,1.7193540034720738,531032.0371378157,1,1,1,1
1522,1.7613009151266334,518385.04776975536,1,1,1,1
1526,1.6605034653185229,549852.5465887496,1,1,1,1
1528,1.654582021008149,551820.3675805184,1,1,1,1
1541,1.7101132229434368,533901.5258026761,1,1,1,1
1544,1.6702816969609142,546633.5772499333,1,1,1,1
1548,1.8545146203236058,492329.3939119838,1,1,1,1
1550,1.694631685570772,538779.0555310629,1,1,1,1
1575,1.661728904536136,549447.0587425341,1,1,1,1
1584,1.7341400673024632,526504.2174160117,1,1,1,1
1596,1.8092809758015038,504638.06961788447,1,1,1,1
1600,1.656164627185147,551293.0562806688,1,1,1,1
