t,week_start,doses_median,infections_averted_median,NNV_infection_median,NNV_infection_lo95,NNV_infection_hi95,NNV_reported_case_median,frac_draws_denominator_above_tol
114,2017-03-05,296211.238316909,246362.92592646944,1.20233695878031,1.1188557606801395,1.2983916758941045,24.0467391756062,1
115,2017-03-12,298794.1638491,271077.5461803591,1.1022460920770634,1.0240162025733404,1.188228103170882,22.044921841541264,1
116,2017-03-19,301376.163631864,299963.744937781,1.0047086628035007,0.9319930292422438,1.0801890118721638,20.094173256070015,1
117,2017-03-26,303957.2402203327,333193.73350367486,0.9122537747961648,0.8430982969350914,0.9861274049840412,18.245075495923295,1
118,2017-04-02,306537.36003875936,368958.741627146,0.8308174488987902,0.7599535487915835,0.891177045011067,16.616348977975804,1
119,2017-04-09,309116.5254792064,408098.39024250687,0.7574558966434075,0.6890557357118857,0.8189574417492099,15.149117932868151,1
120,2017-04-16,311694.7419852101,449227.89450328716,0.6938456187996259,0.6308854547009122,0.7481417084492887,13.876912375992518,1
121,2017-04-23,314271.93908650574,489106.4614874343,0.6425430907946303,0.582871284454696,0.6930044601035324,12.850861815892607,1
122,2017-04-30,316848.1128034322,526805.7385213164,0.6014515291967439,0.544213846270424,0.647578967014778,12.02903058393488,1
123,2017-05-07,319423.30468245473,561738.3468227364,0.5686336119614103,0.5135296303793125,0.6111183981263727,11.372672239228205,1
124,2017-05-14,321997.4845283335,593031.9103388063,0.5429682308366721,0.4885229073810084,0.582298533253605,10.85936461673344,1
125,2017-05-21,324570.6156377443,621126.2017128891,0.5225518196840451,0.47032408492974304,0.560572884597855,10.4510363936809,1
126,2017-05-28,327142.716417269,645629.4649124859,0.5067035162097924,0.45781108330985393,0.5442065424011164,10.134070324195847,1
127,2017-06-04,329713.7799015812,666137.7894153362,0.49496372398093313,0.44903322043932775,0.5321344997937655,9.899274479618663,1
128,2017-06-11,332283.8284997067,682871.4754386841,0.4865979743351439,0.4429773593668706,0.5233199988780793,9.731959486702877,1
129,2017-06-18,334852.87001446646,696054.227046022,0.48107299036995765,0.4393394234351639,0.5175890522723953,9.621459807399152,1
130,2017-06-25,337420.8656438496,706652.3781526737,0.47749201344179126,0.43751806431691753,0.5141346971699199,9.549840268835824,1
131,2017-07-02,339987.79995570413,713633.2757579059,0.4764181023916335,0.4370661747825793,0.5122788947695127,9.528362047832669,1
132,2017-07-09,342553.7043696412,719359.7947038044,0.47619249647598183,0.43762226507033547,0.5116702198080066,9.523849929519637,1
133,2017-07-16,345118.5782535872,723128.1934731732,0.47725781212682983,0.4391074888565185,0.512218585050456,9.545156242536597,1
134,2017-07-23,347682.42761364643,726213.7957200856,0.47876053759364595,0.44080765865573746,0.513553663463938,9.57521075187292,1
135,2017-07-30,350245.2722696866,728236.33599987,0.4809500851641168,0.4426450480327342,0.5154807086181797,9.619001703282336,1
136,2017-08-06,352807.1006846136,729658.3763261547,0.4835237344542785,0.4448994103284485,0.5178552055302166,9.67047468908557,1
137,2017-08-13,355367.90467294306,730621.0499604681,0.4863915955907588,0.4474635962333137,0.5206235616106748,9.727831911815176,1
138,2017-08-20,357927.7000374094,731321.6215905821,0.48942586321198966,0.4502423141247617,0.5236522563465444,9.788517264239793,1
139,2017-08-27,360486.5017332831,731884.9359579387,0.49254532241223714,0.45317366755158717,0.5268693867718637,9.850906448244743,1
140,2017-09-03,363044.30861408677,732239.1918180913,0.49580017396175197,0.4562231148524657,0.5302573557017904,9.916003479235039,1
141,2017-09-10,365601.06933978136,732500.9008423908,0.4991135038771358,0.45935185596296063,0.5337588652816393,9.982270077542719,1
142,2017-09-17,368156.7772130136,732636.7305537522,0.5025093194470175,0.46253493530366113,0.5373392379585348,10.05018638894035,1
143,2017-09-24,370711.44294218183,732613.9692408532,0.5060119781665706,0.4657562777041834,0.5409815638691193,10.120239563331413,1
144,2017-10-01,373265.0910448791,732516.984592931,0.5095651149100684,0.4690033798984444,0.5446686135316717,10.191302298201368,1
145,2017-10-08,375817.7544581949,732448.1532449325,0.5130981083303645,0.47226700955883755,0.5483872371355376,10.26196216660729,1
146,2017-10-15,378369.40992834,732361.9379485273,0.516642654268048,0.47554140621487845,0.5521258893784836,10.33285308536096,1
147,2017-10-22,380920.0357603199,732264.0719798338,0.5201949061346882,0.47882248566534547,0.5558778651076179,10.403898122693764,1
148,2017-10-29,383469.66535681515,732156.2429077676,0.5237538746500845,0.4821086988168175,0.5596415103913708,10.475077493001688,1
149,2017-11-05,386018.28011598793,732043.5514365041,0.5273160083004566,0.4853977888612141,0.5634129349081607,10.54632016600913,1
150,2017-11-12,388565.8881168576,731925.8124872987,0.5308815246932347,0.488690508441206,0.5671915019177937,10.617630493864693,1
151,2017-11-19,391112.4681755373,731803.9532722359,0.5344497930800629,0.4919865798729096,0.5709757901967034,10.68899586160126,1
152,2017-11-26,393658.0207046147,731676.8151556886,0.5380217276429424,0.49528637189439545,0.574765267692338,10.760434552858847,1
153,2017-12-03,396202.5186508466,731543.6230852916,0.5415979444718217,0.4985905625861421,0.5785596375613592,10.831958889436432,1
154,2017-12-10,398745.9828804447,731407.0928989773,0.5451765380440119,0.501901197642979,0.5823603420485092,10.903530760880237,1
155,2017-12-17,401288.39840997144,731266.9633764853,0.5487577342501504,0.505220324211556,0.5861683530166143,10.975154685003009,1
156,2017-12-24,403829.77543798805,731113.4443517319,0.552348998506991,0.5085514809779516,0.5899866452641096,11.04697997013982,1
157,2017-12-31,406370.1837317444,730940.797996095,0.5559549939933819,0.5118997589717359,0.5938200243243118,11.119099879867637,1
158,2018-01-07,408909.57642993575,730754.6693950868,0.5595716266214115,0.5152588555820784,0.5976590231975636,11.191432532428228,1
159,2018-01-14,411447.9560356073,730549.026797712,0.5632037586247272,0.5186346509827502,0.6015098994256199,11.264075172494543,1
