muni7,muni6,lon,lat
1303205,130320,-61.70305147484901,-2.0482380191159293
1303304,130330,-60.47530051802307,-6.821432205966514
1303403,130340,-56.854647362868185,-2.6880633614003497
1303502,130350,-68.19717146059908,-7.758367698979711
1303536,130353,-59.98963987210767,-1.3708506302144705
1303569,130356,-59.6384050375905,-2.52980671807368
1303601,130360,-65.52122934323835,-0.31833510530258413
1303700,130370,-69.08931642097343,-3.052978060381738
1303809,130380,-67.9969018645141,0.3748765784739736
1303908,130390,-69.45019153736088,-4.5006288595289075
1303957,130395,-58.70538713369332,-1.9417391626205898
1304005,130400,-58.53710800224543,-2.8205612286789776
1304062,130406,-69.67807268730274,-4.028491387406241
1304104,130410,-64.95433210167663,-6.0952740616875705
1304203,130420,-65.53051949533638,-4.469971975748405
1304237,130423,-67.8260004371556,-2.69185746039081
1304260,130426,-65.41063083649274,-3.1655685436849037
1304302,130430,-59.02988754857446,-0.8942506594951479
1304401,130440,-57.77124773490375,-2.813751114972745
1400027,140002,-62.43693439501007,3.733438000312136
1400050,140005,-62.7423344490161,3.072473610863894
1400100,140010,-60.717992240032174,3.1178683804343854
1400159,140015,-60.100581523891904,2.787508364521852
1400175,140017,-60.54228685359236,2.2727987777376844
1400209,140020,-61.47171831482939,0.9907460230505888
1400233,140023,-59.3381279801875,0.9146655021879422
1400282,140028,-62.401552380839966,2.1819364462479305
1400308,140030,-61.996805644903475,2.5110911194702052
1400407,140040,-60.06544782914429,3.878863711367349
1400456,140045,-60.83931250078258,4.168440090248857
1400472,140047,-61.01116420501679,0.03804959776564092
1400506,140050,-59.84501657491808,0.6357662915915011
1400605,140060,-60.15183652950926,0.8844292721456535
1400704,140070,-60.279282697212686,4.685329665317289
1500107,150010,-48.88306970335741,-1.7302570941176225
1500131,150013,-48.424603470184316,-4.957316947376243
1500206,150020,-48.411411725409984,-2.0353548958806376
1500305,150030,-50.725904829232974,-0.2628411501164028
1500347,150034,-50.430227708910074,-6.772998733382435
1500404,150040,-55.03920458827907,-0.6045842718534413
1500503,150050,-53.89342554978055,0.28438636899058833
1500602,150060,-53.88524414026695,-6.481076820325595
1500701,150070,-49.9613998437583,-0.8271318625051788
1500800,150080,-48.383544441926404,-1.3340753425242071
1500859,150085,-51.301527872102184,-3.996573158406426
1500909,150090,-46.50741534784168,-1.1047099809922876
1500958,150095,-47.72634460028211,-2.2311793727850673
1501006,150100,-56.01624452906834,-3.667296072439783
1501105,150110,-50.18182918918809,-2.3730539905893187
1501204,150120,-49.69895791455066,-3.1297684951586033
1501253,150125,-50.63441405496668,-7.486377760615855
1501303,150130,-48.63423160955442,-1.4986134785817766
1501402,150140,-48.45990995413796,-1.240712905079968
1501451,150145,-54.99283533165553,-3.191004669362877
1501501,150150,-48.27562079003125,-1.339616523937767
1501576,150157,-48.763506426621014,-5.054246326974371
1501600,150160,-47.30227938509119,-1.387336323934215
1501709,150170,-46.76357833859849,-1.1930767203725638
1501725,150172,-52.6853367099898,-3.291993857223623
1501758,150175,-48.43184447374007,-5.7354930151170755
1501782,150178,-49.37121200850685,-3.733453674470866
1501808,150180,-50.62817399376947,-1.1208881750733386
1501907,150190,-48.08987891148035,-1.6329685774987812
1501956,150195,-46.443212444536535,-1.9886575711591128
1502004,150200,-48.87725363509,-0.8694187611783434
1502103,150210,-49.51356641668386,-2.2530517572876265
1502152,150215,-50.08570449681144,-6.424238351170077
1502202,150220,-47.11789963926334,-1.1420818139866793
1502301,150230,-47.23336517995981,-2.0421119110808297
1502400,150240,-47.876984991824585,-1.2685119053249017
1502509,150250,-49.83789179884081,-0.03240193070614077
1502608,150260,-48.2737182178888,-0.9358461566679345
1502707,150270,-49.51263235698893,-8.182352641605032
1502756,150275,-47.97465488954348,-1.8817145904335348
1502764,150276,-51.22065599685306,-8.457567724963445
1502772,150277,-49.62462044231878,-6.228858554201279
1502806,150280,-49.988036473835486,-1.5834618169694252
1502855,150285,-55.113501044243876,-1.8457233919391844
1502905,150290,-47.86388316485279,-0.7427415981262153
1502939,150293,-47.89818707676561,-4.186572605444604
1502954,150295,-49.245392319399414,-6.069630371568648
1503002,150300,-57.80612626156108,-1.1591352417295688
1503044,150304,-49.57594857322518,-7.548270681241645
1503077,150307,-47.0759683151274,-2.16828912972603
1503093,150309,-49.005649237989985,-4.027182326506108
1503101,150310,-51.5538818404713,-1.1494065086894374
1503200,150320,-47.56598570514182,-1.14501696525681
1503309,150330,-49.13073759075842,-2.062690624731941
1503408,150340,-47.922668148926654,-1.46467727850727
1503457,150345,-47.9213518719847,-2.8057566867585217
1503507,150350,-47.39986458168504,-1.8115306976742718
1503606,150360,-56.49697282208437,-5.868937621220358
1503705,150370,-49.86970638319846,-5.114856577681527
1503754,150375,-57.3042227099594,-7.443056844450911
1503804,150380,-49.18119650917922,-4.598521129807685
1503903,150390,-56.2212666263964,-2.6228138950866047
1504000,150400,-49.4691305113333,-1.8642716980332281
1504059,150405,-47.51278373391884,-1.9910104084563367
1504109,150410,-47.635210090782536,-0.8098512166469131
1504208,150420,-50.016800748804606,-5.630103839652952
1504307,150430,-47.49744141325803,-0.8101319102404375
1504406,150440,-47.70981346045717,-0.8374076100174428
1504422,150442,-48.31978990105789,-1.3974497554989918
1504455,150445,-53.195038627665475,-3.1601847532572176
1504505,150450,-51.103854339924084,-1.60764264750057
1504604,150460,-49.466375082368955,-2.5766952092417927
1504703,150470,-49.07389036875378,-2.6837639819117745
1504752,150475,-54.57515628016328,-3.0704093479148256
1504802,150480,-54.353114523314574,-1.0742594853398042
