uf_code,uf_name,year,<1,1-4,5-9,10-11,12-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
17,3,2015,25574,100234,131497,54567,170169,58311,139314,131815,126270,115755,96068,84707,70231,56659,45339,34547,25158,18073,10935,8259
17,3,2016,24507,100330,129164,55039,167922,58714,140662,132785,127564,118684,99375,86673,72718,58684,46974,35958,26063,18577,11460,8595
17,3,2017,24584,99471,127741,54461,165994,58513,142122,133868,128630,121039,103313,88317,75318,60825,48593,37439,27075,19046,12033,8968
17,3,2018,25716,99195,126403,52859,165015,57728,143409,135066,129550,122917,107549,89929,77922,63057,50239,38975,28178,19524,12611,9387
17,3,2019,25641,99792,125475,52123,164039,56209,144130,136343,130427,124529,111552,91952,80356,65362,51972,40532,29350,20094,13138,9850
17,3,2020,25560,99876,125619,51344,162826,54851,144051,137673,131322,126007,114987,94634,82545,67721,53833,42077,30583,20791,13598,10350
17,3,2021,25476,100939,124661,50757,161216,54754,142687,139038,132300,127297,117887,97906,84489,70154,55792,43629,31880,21589,14020,10892
17,3,2022,25373,101840,123886,50698,159310,54675,140652,140517,133387,128358,120222,101797,86122,72698,57859,45168,33240,22483,14411,11487
17,3,2023,25238,101511,124744,50091,157412,54381,138799,141822,134584,129276,122093,105976,87725,75245,60015,46735,34647,23446,14822,12104
17,3,2024,25093,101122,125269,49848,154978,54856,136888,142567,135857,130152,123697,109931,89730,77624,62243,48380,36078,24467,15302,12709
21,3,2015,120084,477482,665960,282341,833977,282394,648513,616321,571148,488079,394542,346160,294177,243143,200374,154940,116667,84255,50544,45143
21,3,2016,117830,471552,646718,281492,826092,285333,652337,612698,578521,503771,407386,352183,301495,249103,205024,159503,118996,86010,52550,46505
21,3,2017,117875,468183,626801,277390,819007,284626,659423,608053,583935,518311,422710,357389,309117,255508,209453,164478,121591,87550,54660,48088
21,3,2018,119616,469328,605783,270088,814857,280283,667534,603716,587200,531431,439652,362873,316754,262263,213872,169641,124524,89031,56753,49856
