uf,state_name,ensemble_id,foi_pwmean,foi_equiv
MG,Minas Gerais,66,0.013043724624326325,0.013035685182848929
ES,Espirito Santo,66,0.013457022810393314,0.013452815391688733
RJ,Rio de Janeiro,66,0.010303752820361237,0.010296184019448274
SP,Sao Paulo,66,0.015431737436400295,0.015427343669326765
PR,Parana,66,0.01439697883729975,0.014392563508787058
SC,Santa Catarina,66,0.015456834522836744,0.015450317102415512
RS,Rio Grande do Sul,66,0.014972063805412814,0.014963733375656006
MS,Mato Grosso do Sul,66,0.007399075602135236,0.007393581757308003
MT,Mato Grosso,66,0.005989378222019323,0.005983935485561446
GO,Goias,66,0.0072684871122300175,0.007262844035135693
DF,Distrito Federal,66,0.009141491835383578,0.009140039189055576
RO,Rondonia,67,0.010847844693470308,0.01084430997364319
AC,Acre,67,0.009933609350096424,0.009929475938144744
AM,Amazonas,67,0.012836824830173552,0.012831156930242772
RR,Roraima,67,0.018769508461105193,0.01875944585428567
PA,Para,67,0.010612351607180477,0.010606828417176114
AP,Amapa,67,0.008557549368310735,0.008552947460842585
TO,Tocantins,67,0.01140709996041105,0.011404952651725475
MA,Maranhao,67,0.015228637230276131,0.015222418442559511
PI,Piaui,67,0.016840576207726436,0.01683089043876819
CE,Ceara,67,0.014510408823712375,0.014505286014106864
RN,Rio Grande do Norte,67,0.013853747040645233,0.013849566993852225
PB,Paraiba,67,0.012551532347184917,0.012549036992465968
PE,Pernambuco,67,0.011993485734934453,0.011990604949620518
AL,Alagoas,67,0.010154832855660255,0.010152415702001783
SE,Sergipe,67,0.012193910722416218,0.012189635930562149
BA,Bahia,67,0.01065980116333011,0.010655968147886533
MG,Minas Gerais,67,0.015438380382892868,0.015434929126043878
ES,Espirito Santo,67,0.014292704402451435,0.014289723320314487
RJ,Rio de Janeiro,67,0.015625620318644024,0.015622095382464304
SP,Sao Paulo,67,0.017604814118563683,0.017600911463361357
PR,Parana,67,0.014944520813511504,0.014943056200542062
SC,Santa Catarina,67,0.016296203348433878,0.016293722540660315
RS,Rio Grande do Sul,67,0.015478009794366566,0.015475704453122187
