"muni6","total_reported_cases_2015_2019","unit_index","unit"
"231270",254,4,"High-burden pooled municipalities"
"231280",47,5,"Moderate-burden pooled municipalities"
"231290",1591,4,"High-burden pooled municipalities"
"231300",319,4,"High-burden pooled municipalities"
"231310",22,6,"Low-burden pooled municipalities"
"231320",158,5,"Moderate-burden pooled municipalities"
"231325",1,6,"Low-burden pooled municipalities"
"231330",243,5,"Moderate-burden pooled municipalities"
"231335",152,5,"Moderate-burden pooled municipalities"
"231340",27,5,"Moderate-burden pooled municipalities"
"231350",93,5,"Moderate-burden pooled municipalities"
"231355",112,5,"Moderate-burden pooled municipalities"
"231360",8,6,"Low-burden pooled municipalities"
"231370",12,6,"Low-burden pooled municipalities"
"231375",185,5,"Moderate-burden pooled municipalities"
"231380",167,5,"Moderate-burden pooled municipalities"
"231390",259,4,"High-burden pooled municipalities"
"231395",80,5,"Moderate-burden pooled municipalities"
"231400",60,5,"Moderate-burden pooled municipalities"
"231410",44,5,"Moderate-burden pooled municipalities"
