draw,cum_inf_A,cum_inf_B,cum_inf_C,peak_A,peak_B,peak_C,final_S_prop_A,final_S_prop_B,doses_B,infections_averted_B,pct_reduction_B,reported_cases_A,reported_cases_B
749,2278308.0291417954,1704814.0835624104,2202930.545163977,95432.2300031644,61750.48468447003,92075.4704247649,0.7608894933858428,0.7362913285133995,913032.0590248333,573493.9455793849,25.171923122064033,113915.40145708977,85240.70417812053
750,2544765.1109057153,2041336.3606482155,2458793.8819539957,117780.48265911652,74657.51529538752,113669.85087441084,0.7328201137390793,0.7021945338325224,913032.0590248336,503428.75025749975,19.782916234588065,127238.25554528576,102066.81803241078
758,2679955.7226885348,2220297.9681034475,2589180.446134317,131687.3351921685,83875.33725873988,127091.31019584957,0.7186066637450231,0.6842070240834065,913032.0590248329,459657.7545850873,17.15169212288172,133997.78613442674,111014.89840517238
760,2540863.5936857252,2005544.0978316353,2456403.7821409632,114316.46437661113,75144.50646509569,110327.25905205148,0.7333139997479915,0.7064926543329102,913032.059024834,535319.49585409,21.068407496742726,127043.17968428627,100277.20489158177
765,2385595.363198236,1829609.4766966356,2306015.39538868,106568.20904758514,67851.84512134669,102849.02938685127,0.7496031105543985,0.723651366601246,913032.0590248336,555985.8865016005,23.305959387690162,119279.76815991181,91480.47383483179
767,2511633.6111974767,1977275.7809465637,2427786.0120101855,108362.16194742628,70935.86104228956,104580.56024343082,0.7363643228338298,0.7090795553440048,913032.0590248334,534357.830250913,21.2753097374002,125581.68055987384,98863.78904732819
770,2436542.442935759,1893600.525485069,2355127.8505290328,105933.92703893359,68142.0198889206,102236.97048491372,0.7442389696877987,0.7173266635692496,913032.0590248344,542941.9174506902,22.283294059778672,121827.12214678797,94680.02627425345
777,2374044.635951694,1826830.3991779876,2294408.3223721753,110600.08441628235,70061.2944566338,106740.17835370809,0.750805611549506,0.7238196850648101,913032.0590248328,547214.2367737065,23.049871450893857,118702.23179758471,91341.51995889939
805,2448877.2836637595,1909867.1390925685,2367190.864171962,110571.15827454087,71690.15946781018,106712.44093997254,0.7429351127577366,0.7157056659270821,913032.0590248331,539010.1445711909,22.010500410407627,122443.86418318798,95493.35695462843
815,2309566.307543605,1750800.9991072628,2231812.9496853827,107637.02491732115,66835.35208632395,103880.28694517614,0.757540668830373,0.7312514329110053,913032.0590248331,558765.3084363423,24.193516618738283,115478.31537718026,87540.04995536315
844,2417872.6819957085,1873932.1673831246,2337009.272079389,114028.72411269213,72523.45989009911,110049.16968567061,0.7462000763300302,0.7191931147096281,913032.0590248335,543940.5146125839,22.496656613185117,120893.63409978543,93696.60836915624
846,2607440.103588084,2093208.8101046614,2520809.919988264,120659.57766922675,79915.15639990951,116449.19825516884,0.7263305544757064,0.697704129530522,913032.059024833,514231.29348342284,19.72169150791966,130372.00517940422,104660.44050523307
847,2474624.2492052806,1930407.4519162232,2392204.446512746,103722.2021699776,67642.31763667437,100102.56876516194,0.7402621741488471,0.7138386663092101,913032.059024833,544216.7972890574,21.991896242988457,123731.21246026404,96520.37259581116
851,2479994.1681313724,1954639.6030302872,2396603.1465627183,111023.17902073557,70829.73728373549,107148.46435558175,0.7396633043343138,0.7110271206406118,913032.0590248337,525354.5651010852,21.183701633336085,123999.70840656862,97731.98015151436
853,2338872.7710113,1771590.6934884675,2261356.851506515,98864.69141596273,63678.18456364891,95414.52320158722,0.7545151570127464,0.7296501354423316,913032.0590248336,567282.0775228324,24.254507750652323,116943.638550565,88579.53467442338
873,2394750.1489243684,1847753.9489765372,2314886.6657979814,107882.95031280366,69460.36941944851,104118.0143531229,0.7486311841539328,0.7218940655215385,913032.0590248331,546996.1999478312,22.84147263519417,119737.50744621843,92387.69744882686
880,2451259.6954069533,1902708.8263256417,2370159.4400137085,103152.3518683537,67948.86013232851,99552.78654958674,0.7427365750584161,0.7167028364941377,913032.0590248334,548550.8690813116,22.37832532020816,122562.98477034767,95135.44131628209
885,2415222.6708824285,1866985.8941190268,2334664.945956205,105726.52785569172,68450.98467565459,102036.86893130248,0.7464842155455638,0.7200248988214425,913032.0590248335,548236.7767634017,22.69922286557112,120761.13354412143,93349.29470595135
892,2543861.9719986343,2023734.0087986689,2458679.6548318276,116673.69033361657,75794.07880470406,112601.99625823567,0.732953215138333,0.70429913853678,913032.0590248338,520127.9631999654,20.446390917637597,127193.09859993172,101186.70043993345
