draw,cum_X_A,cum_X_B,cum_X_C,total_effect,direct_only,indirect,indirect_fraction
339,2800600.391076852,2374154.912955314,2706076.0967625743,426445.4781215382,94524.29431427782,331921.18380726036,0.778343776253296
342,2369547.743984555,1814544.1990944343,2290280.066683819,555003.5448901206,79267.67730073584,475735.8675893848,0.8571762684571155
355,2505195.545884048,1970887.2593313982,2421856.21605119,534308.2865526499,83339.32983285794,450968.956719792,0.8440238867142372
374,2299554.85070419,1733598.1898610266,2222939.510399007,565956.6608431633,76615.34030518308,489341.3205379802,0.8646268422902887
383,2705959.3261958505,2216022.6886383425,2615620.06407664,489936.63755750796,90339.26211921033,399597.37543829763,0.8156103153061166
390,2393358.5536069274,1842682.2573023308,2313155.352291033,550676.2963045966,80203.20131589426,470473.09498870233,0.854355086910203
402,2332650.8076445498,1770552.9437514374,2255101.853943661,562097.8638931124,77548.9537008889,484548.9101922235,0.8620365621676949
404,2512724.5292055467,1991931.3758753939,2428414.517494031,520793.15333015285,84310.01171151549,436483.14161863737,0.8381122885882722
406,2528475.9470909447,1999889.200806889,2443880.426539883,528586.7462840558,84595.52055106172,443991.22573299403,0.8399590584785469
408,2467085.210887869,1936778.648100219,2384430.4844075916,530306.5627876499,82654.72648027726,447651.83630737267,0.8441378397321955
412,2303367.673197359,1748646.369441605,2225355.014381785,554721.3037557539,78012.6588155739,476708.64494018,0.8593660306763282
422,2529046.6281547407,1983077.0169165093,2445949.944556089,545969.6112382314,83096.68359865155,462872.92763957987,0.8477998007797678
424,2591516.9695589854,2061415.7825281206,2505952.7693816097,530101.1870308649,85564.2001773757,444536.9868534892,0.8385889293011642
433,2304234.5191958314,1745615.3422701773,2226916.081133782,558619.176925654,77318.43806204945,481300.7388636046,0.8615900755724688
475,2644062.208209534,2142167.301918484,2555498.63885352,501894.90629105037,88563.56935601402,413331.33693503635,0.8235416055315458
478,2499287.062506653,1960443.82997422,2415722.4040312315,538843.232532433,83564.65847542137,455278.57405701163,0.8449184225944758
479,2444276.7804989656,1897163.3666729915,2363120.367292579,547113.4138259741,81156.41320638685,465957.00061958726,0.8516643694789741
480,2397405.322985964,1850750.9065535825,2316698.2300618873,546654.4164323814,80707.0929240766,465947.3235083048,0.8523617654993194
488,2364974.0804003812,1813977.7063835657,2285711.363420224,550996.3740168156,79262.71698015742,471733.65703665814,0.8561465724314578
492,2451512.72409809,1927258.7676250567,2368317.7421785463,524253.9564730334,83194.98191954382,441058.9745534896,0.84130786064211
496,2402128.792908081,1849746.1407541016,2322372.165493748,552382.6521539793,79756.6274143327,472626.0247396466,0.8556134463974799
501,2269580.587567781,1708850.116554487,2193075.729276679,560730.4710132941,76504.85829110211,484225.61272219196,0.863562152859554
507,2407506.1469981684,1863121.9653703533,2326307.838638313,544384.1816278151,81198.30835985532,463185.8732679598,0.8508437403212994
508,2551372.8353163633,2012606.6267610246,2466932.176166274,538766.2085553387,84440.65915008914,454325.54940524953,0.8432703131539923
520,2341169.055733905,1779681.7612993391,2262859.6597222793,561487.294434566,78309.39601162588,483177.89842294017,0.8605322029762299
521,2479675.725173953,1932212.0104640326,2397735.3691299865,547463.7147099203,81940.35604396649,465523.35866595386,0.8503273297530166
527,2533725.002957691,2009240.3083641361,2449144.5852290406,524484.6945935548,84580.41772865038,439904.27686490444,0.8387361564588738
538,2437500.1651575584,1898504.890626004,2355202.6125493026,538995.2745315544,82297.55260825576,456697.72192329867,0.8473130350172712
