week_start,t,Inew_age12_diff,Inew_0_11_diff,Inew_65plus_diff,X_total_diff
2018-11-18,203,-0.027036249384121636,-0.05332540196694424,-0.03095466172145578,-0.33855734919177394
2018-11-25,204,-0.025796772707800564,-0.05359552275315238,-0.03113456096041567,-0.33872822401212943
2018-12-02,205,-0.024942430472005395,-0.05447594088663621,-0.03166949919870454,-0.34284631682254485
2018-12-09,206,-0.024614630177042685,-0.05641624614804641,-0.03282257574387515,-0.35367366644530307
2018-12-16,207,-0.024929468708341673,-0.05987888147060616,-0.03485957580601884,-0.3739695582257241
2018-12-23,208,-0.025207771373467747,-0.06336403925411815,-0.036912116918335514,-0.3943316567712145
2018-12-30,209,-0.025316412762078855,-0.0664899299917856,-0.03876495713248218,-0.41246758915846726
2019-01-06,210,-0.030493750306268108,-0.08359497996699616,-0.04877871570855419,-0.5170135739793977
2019-01-13,211,-0.03224332907812144,-0.09220188606879987,-0.053838443095383326,-0.5685247005306451
2019-01-20,212,-0.03611524305129343,-0.10762474325878912,-0.06289291629195048,-0.6617481671140126
2019-01-27,213,-0.04033040255594411,-0.12503113687417056,-0.0731145063414047,-0.7667053145226532
2019-02-03,214,-0.04524558286543279,-0.1457968163619512,-0.08531716572063175,-0.8917463133138881
2019-02-10,215,-0.0512236392788159,-0.17134945450848704,-0.10034666692023109,-1.0455447815106709
2019-02-17,216,-0.05820093813815852,-0.20191892592558247,-0.11832064008127219,-1.2291296210640326
2019-02-24,217,-0.0655726591588186,-0.2357076275154384,-0.13819504422757234,-1.431462938094569
2019-03-03,218,-0.07361279960866707,-0.2738619212446025,-0.16065226062089977,-1.6594841827078994
2019-03-10,219,-0.08248451471027973,-0.3172115156545203,-0.18621278195682578,-1.918355343741382
2019-03-17,220,-0.09130138552428235,-0.3626265124221817,-0.2129987463252263,-2.1886625867788325
2019-03-24,221,-0.0996389813169749,-0.4083228332764719,-0.23996768260902002,-2.459690836681375
2019-03-31,222,-0.10791424643173286,-0.4558027652129226,-0.2680349692863615,-2.7408064752064547
2019-04-07,223,-0.11511153936988983,-0.5006923975350333,-0.2945822428504101,-3.005346973803057
2019-04-14,224,-0.1215182749351662,-0.5437855555338444,-0.32011903521818397,-3.2585842399764715
2019-04-21,225,-0.12522253884440637,-0.5759777310573213,-0.3392724068279307,-3.4460744585335306
2019-04-28,226,-0.12795054445652276,-0.604448433359579,-0.3562247506049232,-3.6107225630373705
2019-05-05,227,-0.12882558967696411,-0.6245038012077657,-0.36824700106461705,-3.725012948391395
2019-05-12,228,-0.127800075807194,-0.6352315305032903,-0.37479286391344147,-3.7837306990128354
2019-05-19,229,-0.12447084078354287,-0.633876839806419,-0.3742147541939005,-3.770626015968219
