"version","week_start","observed","expected","pearson_resid"
"v2",2015-12-13,4,1.04508491640115,2.87093670991438
"v2",2015-12-20,0,1.43705267648582,-1.18767112940669
"v2",2015-12-27,0,2.05147722436848,-1.41347615192756
"v2",2016-01-03,4,2.98243242163355,0.578063291784673
"v2",2016-01-10,7,4.28953670161388,1.27348766070468
"v2",2016-01-17,5,5.88889191390982,-0.352966037687743
"v2",2016-01-24,6,8.05736989236011,-0.689408349098576
"v2",2016-01-31,22,12.0015120431558,2.6833665815909
"v2",2016-02-07,7,14.735303673597,-1.84525738444456
"v2",2016-02-14,20,22.1661548288832,-0.405139569967665
"v2",2016-02-21,20,31.8765087530933,-1.7673987248302
"v2",2016-02-28,55,54.0462729066644,0.0993150423148143
"v2",2016-03-06,113,90.1728518511336,1.62871505967549
"v2",2016-03-13,132,127.242992970787,0.258430882293293
"v2",2016-03-20,166,175.846579474112,-0.408877332081771
"v2",2016-03-27,231,244.780562888111,-0.429846664232844
"v2",2016-04-03,353,354.067546369068,-0.0239168527736188
"v2",2016-04-10,484,503.378385703001,-0.313751376276124
"v2",2016-04-17,679,724.053201675748,-0.517644173927586
"v2",2016-04-24,1046,1063.87914351292,-0.141991936020694
"v2",2016-05-01,1585,1499.0771308203,0.489064152245179
"v2",2016-05-08,2067,1898.84117855719,0.759527949811511
"v2",2016-05-15,1924,2009.90500084672,-0.366961907028279
"v2",2016-05-22,2005,2105.60391744541,-0.410561807365147
"v2",2016-05-29,2236,2173.51046363894,0.247186039649633
"v2",2016-06-05,2036,2030.27138686037,0.0242299977759865
"v2",2016-06-12,1872,1860.16202244842,0.0545587792462681
"v2",2016-06-19,1490,1592.39040311643,-0.549426519669737
"v2",2016-06-26,1426,1450.55316944505,-0.14431199973722
"v2",2016-07-03,1238,1275.66806423657,-0.250886629248563
"v2",2016-07-10,1224,1172.28629208154,0.37388055631489
"v2",2016-07-17,961,977.727468599143,-0.14412574546755
"v2",2016-07-24,838,842.136405533381,-0.0411383457299814
"v2",2016-07-31,706,710.711103466024,-0.0550955340637919
"v2",2016-08-07,563,584.690689575373,-0.305162864783812
"v2",2016-08-14,510,504.765203649666,0.0845379533138943
"v2",2016-08-21,435,425.264829878821,0.184351312314933
"v2",2016-08-28,360,354.132964529153,0.13142043227937
"v2",2016-09-04,268,286.31762102986,-0.497141257235364
"v2",2016-09-11,270,259.492710135512,0.311272774291502
"v2",2016-09-18,205,218.487282131414,-0.464713951932986
"v2",2016-09-25,203,205.954731042529,-0.107160056709001
"v2",2016-10-02,193,197.316279830944,-0.162432628144358
"v2",2016-10-09,196,197.586849829547,-0.0596468480019834
"v2",2016-10-16,221,211.313647004058,0.343570944674866
"v2",2016-10-23,183,211.073918030829,-0.996750775278196
"v2",2016-10-30,230,247.666533236045,-0.545394818493739
"v2",2016-11-06,268,287.77923257758,-0.534369322771172
"v2",2016-11-13,379,346.12510300271,0.751884257578464
"v2",2016-11-20,499,383.109277255753,2.4158758877962
"v2",2016-11-27,304,294.82667575354,0.242518312733942
"v2",2016-12-04,222,231.322836694506,-0.305608241376004
"v2",2016-12-11,174,185.829328176059,-0.468655319710947
"v2",2016-12-18,134,157.112600689852,-1.05527829642494
"v2",2016-12-25,87,142.030463464831,-2.73229051286491
"v2",2017-01-01,223,200.171559457978,0.848531064713137
"v2",2017-01-08,255,238.76794640335,0.517514548633976
"v2",2017-01-15,333,303.905132027386,0.748520582316785
"v2",2017-01-22,356,358.484320165108,-0.0550321880519893
"v2",2017-01-29,440,441.593742821368,-0.0291464346324037
"v2",2017-02-05,558,552.864921125151,0.0761501485945085
"v2",2017-02-12,645,689.646816015993,-0.537287666806349
"v2",2017-02-19,863,933.123956920229,-0.631981172646303
"v2",2017-02-26,1404,1394.64107153151,0.0571552877082167
"v2",2017-03-05,2051,2038.11854403874,0.0542780022981372
"v2",2017-03-12,3107,3031.44179760771,0.215333157502567
"v2",2017-03-19,3871,4106.40284993669,-0.496858570124154
"v2",2017-03-26,6245,5930.25499083687,0.461310439887738
"v2",2017-04-02,7292,7318.88668516773,-0.0319687405158062
"v2",2017-04-09,8668,8654.35409513404,0.0137324479091092
"v2",2017-04-16,9912,9709.16600836277,0.182031251062477
"v2",2017-04-23,8682,9464.16331189077,-0.720042954649544
"v2",2017-04-30,10301,9902.37191498884,0.350791398673058
"v2",2017-05-07,8831,8806.90289366338,0.0238316952361443
"v2",2017-05-14,8098,7722.56758601841,0.423175793920251
"v2",2017-05-21,5601,5814.95037663744,-0.319756951893345
"v2",2017-05-28,4645,4581.33974497011,0.120550967802997
"v2",2017-06-04,3374,3383.4991000879,-0.0242857734065887
"v2",2017-06-11,2264,2424.12127404903,-0.568902558109716
"v2",2017-06-18,1818,1889.31250019075,-0.323692167499882
"v2",2017-06-25,1432,1474.70104486296,-0.246968350299977
"v2",2017-07-02,1246,1215.28939279081,0.214407969588212
"v2",2017-07-09,905,940.030909087979,-0.313478166300566
"v2",2017-07-16,775,774.123322795971,0.00945044694433847
"v2",2017-07-23,607,617.279768716297,-0.137409454916914
"v2",2017-07-30,530,503.685359272946,0.425812287095804
"v2",2017-08-06,375,375.289593443775,-0.00615203577644876
"v2",2017-08-13,308,291.171145069559,0.449914258158985
"v2",2017-08-20,207,211.296088903486,-0.152391480173434
"v2",2017-08-27,136,154.014217316994,-0.836291523213941
"v2",2017-09-03,121,127.239883524621,-0.33899689505321
"v2",2017-09-10,110,108.87433871166,0.0693085446693172
"v2",2017-09-17,92,92.1173309855625,-0.00823483789274782
"v2",2017-09-24,84,80.8816351516176,0.241761461369156
"v2",2017-10-01,84,73.1818321292883,0.904124290603255
"v2",2017-10-08,48,59.1503905132551,-1.08882508715494
"v2",2017-10-15,50,56.1167902043194,-0.620203914021615
"v2",2017-10-22,46,53.8123388681375,-0.81602474798087
"v2",2017-10-29,67,57.0730805658757,0.994480349299559
"v2",2017-11-05,67,55.4926327134078,1.17608817255975
"v2",2017-11-12,49,49.2225607582225,-0.0247465426512536
"v2",2017-11-19,35,43.3602328993383,-1.01435002898143
"v2",2017-11-26,40,41.5774935862055,-0.196927845284198
"v2",2017-12-03,46,39.8233088315834,0.793789752427354
"v2",2017-12-10,45,37.3006123009432,1.03365750670568
"v2",2017-12-17,25,32.2030275318243,-1.06486543417775
"v2",2017-12-24,19,30.9530947084418,-1.81287218133319
"v2",2017-12-31,35,34.6900303307887,0.0436549730855547
"v2",2018-01-07,41,37.9741710667649,0.401418572434156
"v2",2018-01-14,48,41.8533307955409,0.76390072234357
"v2",2018-01-21,46,43.8878494666036,0.25416420739495
"v2",2018-01-28,46,45.6776901899991,0.037738016779677
"v2",2018-02-04,43,47.2961417063936,-0.491095843536934
"v2",2018-02-11,44,50.0588072456937,-0.665818100554449
"v2",2018-02-18,52,54.8925016018406,-0.297912044474785
"v2",2018-02-25,77,62.94833884412,1.31185903693434
"v2",2018-03-04,58,60.5446406791452,-0.244351668229505
"v2",2018-03-11,70,64.0872949620217,0.544861084367245
"v2",2018-03-18,48,59.100139398179,-1.08457970297046
"v2",2018-03-25,45,58.9542214573345,-1.3658695021185
"v2",2018-04-01,74,65.6155387177317,0.759468862741083
"v2",2018-04-08,78,64.3345682941683,1.25575573291249
"v2",2018-04-15,69,57.906856894267,1.09985633589567
"v2",2018-04-22,38,45.5047708057685,-0.880996287879487
"v2",2018-04-29,36,39.5120919333104,-0.453733423510804
"v2",2018-05-06,25,33.5792299374864,-1.234268413233
"v2",2018-05-13,34,32.2594081084735,0.257030221274638
"v2",2018-05-20,33,30.0929468799264,0.448956588323856
"v2",2018-05-27,27,27.8359521275342,-0.135677677647959
"v2",2018-06-03,23,26.0889556051663,-0.522250997719154
"v2",2018-06-10,28,25.72299693223,0.388395892007381
"v2",2018-06-17,30,25.0897971313266,0.850690589962193
"v2",2018-06-24,12,22.0107472020856,-1.88040618343615
"v2",2018-07-01,27,23.3369502832992,0.663773814771339
"v2",2018-07-08,25,22.2072362901205,0.521743334888209
"v2",2018-07-15,23,20.9795910769298,0.390775918621328
