"version","quantity","week_start","q025","median","q975"
"v2","posterior_predictive_cases",2017-09-24,52.975,80,115
"v2","posterior_predictive_cases",2017-10-01,48,72,103
"v2","posterior_predictive_cases",2017-10-08,37,58,86
"v2","posterior_predictive_cases",2017-10-15,36,56,80
"v2","posterior_predictive_cases",2017-10-22,34,53,78
"v2","posterior_predictive_cases",2017-10-29,36,56,83.0250000000001
"v2","posterior_predictive_cases",2017-11-05,34,54,80
"v2","posterior_predictive_cases",2017-11-12,30,49,72
"v2","posterior_predictive_cases",2017-11-19,26,43,64
"v2","posterior_predictive_cases",2017-11-26,25,41,61
"v2","posterior_predictive_cases",2017-12-03,23,39,59
"v2","posterior_predictive_cases",2017-12-10,22,37,57
"v2","posterior_predictive_cases",2017-12-17,18,32,49
"v2","posterior_predictive_cases",2017-12-24,17.975,30,47
"v2","posterior_predictive_cases",2017-12-31,21,34,52
"v2","posterior_predictive_cases",2018-01-07,22,37,57
"v2","posterior_predictive_cases",2018-01-14,24,41,63
"v2","posterior_predictive_cases",2018-01-21,26,43,65
"v2","posterior_predictive_cases",2018-01-28,28,45,67
"v2","posterior_predictive_cases",2018-02-04,29,47,70
"v2","posterior_predictive_cases",2018-02-11,31,49,74
"v2","posterior_predictive_cases",2018-02-18,35,54,80
"v2","posterior_predictive_cases",2018-02-25,40,62,90
"v2","posterior_predictive_cases",2018-03-04,38.975,60,87
"v2","posterior_predictive_cases",2018-03-11,40,63,93
"v2","posterior_predictive_cases",2018-03-18,38,59,85
"v2","posterior_predictive_cases",2018-03-25,37,58,86
"v2","posterior_predictive_cases",2018-04-01,42,65,94
"v2","posterior_predictive_cases",2018-04-08,40,63,92
"v2","posterior_predictive_cases",2018-04-15,36,57,83
"v2","posterior_predictive_cases",2018-04-22,27,44,67
"v2","posterior_predictive_cases",2018-04-29,23,39,58
"v2","posterior_predictive_cases",2018-05-06,19,33,51
"v2","posterior_predictive_cases",2018-05-13,18,32,49
"v2","posterior_predictive_cases",2018-05-20,17,30,47
"v2","posterior_predictive_cases",2018-05-27,15,27,44
"v2","posterior_predictive_cases",2018-06-03,14,26,41
"v2","posterior_predictive_cases",2018-06-10,14,25,40
"v2","posterior_predictive_cases",2018-06-17,13,25,39
"v2","posterior_predictive_cases",2018-06-24,11,22,35
"v2","posterior_predictive_cases",2018-07-01,12,23,38
"v2","posterior_predictive_cases",2018-07-08,11,22,35
"v2","posterior_predictive_cases",2018-07-15,11,21,33
"v2","posterior_predictive_cases",2018-07-22,9,19,31
"v2","posterior_predictive_cases",2018-07-29,8,17,28
"v2","posterior_predictive_cases",2018-08-05,8,16,27
"v2","posterior_predictive_cases",2018-08-12,7,15,26
"v2","posterior_predictive_cases",2018-08-19,6,14,24
"v2","posterior_predictive_cases",2018-08-26,5,13,22
"v2","posterior_predictive_cases",2018-09-02,5,11,20
"v2","posterior_predictive_cases",2018-09-09,4,10,19
"v2","posterior_predictive_cases",2018-09-16,3,9,17
"v2","posterior_predictive_cases",2018-09-23,3,9,17
"v2","posterior_predictive_cases",2018-09-30,3,8,16
"v2","posterior_predictive_cases",2018-10-07,3,9,17
"v2","posterior_predictive_cases",2018-10-14,3,9,17
"v2","posterior_predictive_cases",2018-10-21,3,9,17
"v2","posterior_predictive_cases",2018-10-28,3,9,17
"v2","posterior_predictive_cases",2018-11-04,3,9,17
"v2","posterior_predictive_cases",2018-11-11,3,9,17
"v2","posterior_predictive_cases",2018-11-18,3,9,17
"v2","posterior_predictive_cases",2018-11-25,3,9,16
"v2","posterior_predictive_cases",2018-12-02,3,8,15.0250000000001
