state,wave_id,onset_week,peak_week,end_week,wave_end_censored,wave_order,is_recurrence,peak_incidence_raw,peak_incidence_smooth,peak_cases,preceding_trough_week,preceding_trough_incidence,trough_ratio,trough_duration_weeks,duration_weeks,weeks_onset_to_peak,total_cases,cumulative_incidence_per_100k,first4_cases,first6_cases,first8_cases,first4_nonzero_weeks,first6_nonzero_weeks,first8_nonzero_weeks,candidate_wave,major_epidemic_primary,major_epidemic_abs50,major_epidemic_abs100,major_epidemic_abs200,major_epidemic_inc2,major_epidemic_inc5,major_epidemic_inc10,re4_prefit_eligible,re6_prefit_eligible,re8_prefit_eligible,early_peak_flag,reporting_anomaly_flag,wave_definition_stable,major_wave_definition_stable,reason_not_major,reason_re6_not_eligible
MS,MS_wave_10,6/13/2021,6/12/2022,8/28/2022,FALSE,2,TRUE,0.280271317,0.38537306,8,5/16/2021,0.047081927,0.166666667,9,64,52,246,8.626946436,11,17,19,3,5,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,fewer than 30 raw cases
MS,MS_wave_11,1/22/2023,3/26/2023,10/1/2023,FALSE,3,TRUE,6.115338764,5.83736882,176,8/28/2022,0.035033915,0.090909091,3,37,9,1380,47.94981531,81,188,342,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA
MS,MS_wave_12,12/3/2023,3/3/2024,12/8/2024,FALSE,4,TRUE,2.377756604,2.435190338,69,10/1/2023,0.011582081,0.00475613,35,54,13,936,32.26393731,17,50,84,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA
MS,MS_wave_13,1/12/2025,5/11/2025,12/28/2025,FALSE,5,TRUE,17.54067436,19.1705096,513,12/8/2024,0.011486747,0.004716981,32,51,17,8586,293.5754972,209,404,746,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA
MT,MT_wave_01,1/11/2015,1/25/2015,3/8/2015,FALSE,NA,NA,0,0.050087473,0,1/4/2015,0.015026242,NA,NA,9,2,7,0.210367386,6,6,7,3,3,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,too few nonzero raw incidence weeks; fewer than 30 raw cases; too few nonzero renewal infectiousness contributions
MT,MT_wave_02,6/28/2015,7/5/2015,7/19/2015,FALSE,NA,NA,0.030052484,0.010017495,1,3/8/2015,0,0,16,4,1,1,0.030052484,1,1,1,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,too few nonzero raw incidence weeks; fewer than 30 raw cases; one week contains >=80% of early-window cases (backlog screen)
MT,MT_wave_03,12/20/2015,2/21/2016,4/3/2016,FALSE,NA,NA,0.088755007,0.069031672,3,7/19/2015,0,0,22,16,9,13,0.385072511,2,3,3,2,3,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,too few nonzero raw incidence weeks; fewer than 30 raw cases
MT,MT_wave_04,4/24/2016,5/8/2016,7/24/2016,FALSE,NA,NA,0.059170005,0.098616674,2,4/3/2016,0.009861667,0.142857143,6,14,2,22,0.650870051,10,11,13,3,4,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,fewer than 30 raw cases
MT,MT_wave_05,12/11/2016,3/26/2017,10/1/2017,FALSE,1,FALSE,6.320490214,5.009789478,217,7/24/2016,0.009861667,0.1,3,43,15,2929,85.32947068,70,150,290,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA
MT,MT_wave_06,12/17/2017,1/28/2018,8/18/2019,FALSE,2,TRUE,34.74999484,34.15793667,1213,10/1/2017,0.145633415,0.029069767,23,88,6,13419,384.6833438,1478,3713,6015,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA
