state,wave_id,onset_week,peak_week,end_week,major_epidemic_primary,qc_duration_gt104,qc_peak_late_gt52,qc_multiple_peaks,qc_no_meaningful_fall,reporting_anomaly_flag,early_peak_flag,n_candidate_peaks_in_segment
GO,GO_wave_15,2021-11-28,2022-03-27,2022-12-18,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
GO,GO_wave_16,2022-12-25,2023-05-07,2023-10-01,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
GO,GO_wave_17,2023-11-12,2024-03-03,2024-10-13,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
GO,GO_wave_18,2024-10-20,2025-05-11,2025-09-14,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
GO,GO_wave_19,2025-09-21,2025-12-07,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1
MA,MA_wave_01,2015-03-22,2015-04-26,2015-06-07,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
MA,MA_wave_02,2016-02-28,2016-04-24,2016-10-02,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3
MA,MA_wave_03,2016-12-25,2017-04-09,2017-12-03,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
MA,MA_wave_04,2017-12-17,2018-04-29,2018-12-09,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
MA,MA_wave_05,2018-12-30,2019-03-17,2019-11-03,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,6
MA,MA_wave_06,2019-12-22,2020-02-02,2020-06-14,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,9
MA,MA_wave_07,2020-07-05,2021-06-27,2021-08-29,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
MA,MA_wave_08,2021-09-19,2022-03-13,2022-11-06,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,8
MA,MA_wave_09,2022-11-27,2023-04-30,2023-12-17,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
MA,MA_wave_10,2024-01-07,2024-04-07,2024-12-29,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5
MA,MA_wave_11,2025-01-05,2025-05-04,2025-07-06,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5
MG,MG_wave_01,2015-01-18,2015-01-18,2015-02-08,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1
MG,MG_wave_02,2015-05-03,2015-05-10,2015-05-24,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1
MG,MG_wave_03,2015-08-02,2015-08-09,2015-08-23,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1
MG,MG_wave_04,2015-11-29,2016-02-21,2016-07-31,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
MG,MG_wave_05,2017-01-08,2017-03-12,2017-10-01,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
MG,MG_wave_06,2017-12-24,2018-04-08,2018-10-28,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
MG,MG_wave_07,2018-11-11,2019-05-12,2019-10-13,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5
MG,MG_wave_08,2019-12-01,2020-05-03,2020-08-09,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
MG,MG_wave_09,2020-09-27,2021-04-25,2021-10-03,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3
MG,MG_wave_10,2022-01-02,2022-04-03,2022-08-28,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
MG,MG_wave_13,2024-11-17,2025-02-09,2025-12-28,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
MS,MS_wave_01,2015-11-08,2015-12-13,2016-04-03,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3
MS,MS_wave_02,2016-04-10,2016-07-24,2016-08-14,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3
MS,MS_wave_04,2017-03-05,2017-10-15,2017-12-03,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,6
MS,MS_wave_05,2017-12-10,2018-03-11,2018-07-29,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3
MS,MS_wave_06,2018-08-05,2018-09-09,2019-07-21,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,8
MS,MS_wave_07,2019-09-15,2019-09-29,2019-11-24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
MS,MS_wave_08,2019-12-01,2020-02-02,2020-09-13,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5
MS,MS_wave_09,2021-01-17,2021-03-21,2021-05-16,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,6
MS,MS_wave_10,2021-06-13,2022-06-12,2022-08-28,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,6
MS,MS_wave_11,2023-01-22,2023-03-26,2023-10-01,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
MS,MS_wave_12,2023-12-03,2024-03-03,2024-12-08,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3
MS,MS_wave_13,2025-01-12,2025-05-11,2025-12-28,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3
MT,MT_wave_01,2015-01-11,2015-01-25,2015-03-08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
MT,MT_wave_02,2015-06-28,2015-07-05,2015-07-19,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1
MT,MT_wave_03,2015-12-20,2016-02-21,2016-04-03,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
MT,MT_wave_04,2016-04-24,2016-05-08,2016-07-24,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,6
MT,MT_wave_05,2016-12-11,2017-03-26,2017-10-01,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
MT,MT_wave_06,2017-12-17,2018-01-28,2019-08-18,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5
MT,MT_wave_07,2019-09-08,2020-02-02,2020-06-28,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
MT,MT_wave_09,2020-11-08,2021-04-25,2021-09-12,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,6
MT,MT_wave_11,2021-12-26,2022-04-03,2022-12-18,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,6
MT,MT_wave_12,2023-01-01,2023-04-02,2023-06-25,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
MT,MT_wave_13,2024-01-07,2024-05-05,2024-10-06,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3
MT,MT_wave_14,2024-12-01,2025-01-26,2025-12-28,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
PA,PA_wave_01,2015-01-25,2015-02-01,2015-02-15,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1
PA,PA_wave_02,2015-05-31,2015-06-07,2015-06-28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
PA,PA_wave_03,2015-08-02,2015-08-09,2015-08-23,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1
PA,PA_wave_04,2016-04-24,2017-01-22,2017-10-08,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,10
PA,PA_wave_05,2017-10-22,2018-03-11,2019-10-06,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,10
PA,PA_wave_06,2019-10-20,2020-02-02,2020-05-10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5
PA,PA_wave_07,2020-05-17,2021-03-28,2021-08-01,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,6
PA,PA_wave_08,2021-08-08,2022-05-01,2022-07-17,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,6
PA,PA_wave_09,2022-07-31,2023-06-18,2023-09-17,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7
PA,PA_wave_10,2023-10-01,2024-04-21,2024-09-15,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3
PA,PA_wave_11,2024-10-13,2025-06-29,2025-12-28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,8
PB,PB_wave_01,2015-01-25,2015-02-01,2015-02-15,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1
PB,PB_wave_02,2015-03-22,2015-05-10,2015-06-21,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1
PB,PB_wave_03,2016-02-07,2016-05-08,2016-12-04,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
PB,PB_wave_04,2016-12-18,2017-05-28,2017-12-17,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5
PB,PB_wave_05,2017-12-31,2018-06-10,2018-12-16,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
PB,PB_wave_06,2018-12-30,2019-04-21,2020-01-26,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7
PB,PB_wave_07,2020-03-08,2020-07-05,2020-12-20,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
PB,PB_wave_08,2021-01-03,2021-07-04,2021-12-26,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
PB,PB_wave_10,2022-12-25,2023-04-02,2023-12-17,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
PB,PB_wave_11,2023-12-24,2024-03-03,2024-09-15,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3
PB,PB_wave_12,2024-09-29,2025-02-02,2025-12-28,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7
PE,PE_wave_01,2015-01-25,2015-02-08,2015-03-15,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2
PE,PE_wave_02,2015-04-05,2015-04-05,2015-07-05,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2
PE,PE_wave_03,2015-11-29,2016-02-28,2017-12-17,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,10
PE,PE_wave_04,2017-12-31,2018-05-06,2018-12-16,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
PE,PE_wave_05,2018-12-23,2019-09-08,2019-12-15,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,6
PE,PE_wave_09,2022-12-25,2023-03-19,2023-06-25,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
PE,PE_wave_10,2023-07-09,2024-03-10,2024-12-22,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,6
PE,PE_wave_11,2024-12-29,2025-03-23,2025-12-28,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
PI,PI_wave_01,2015-05-10,2015-05-17,2015-05-31,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1
PI,PI_wave_02,2015-11-08,2015-11-15,2015-11-29,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1
PI,PI_wave_03,2016-03-27,2016-05-08,2016-11-06,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3
PI,PI_wave_04,2017-02-19,2017-05-21,2018-03-25,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,8
PI,PI_wave_05,2018-04-08,2019-04-28,2019-09-08,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,5
PI,PI_wave_06,2019-09-15,2020-05-10,2020-08-23,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5
PI,PI_wave_07,2020-09-13,2021-07-11,2021-10-24,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
PI,PI_wave_08,2022-02-13,2022-04-24,2022-12-11,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3
PI,PI_wave_09,2023-01-08,2023-04-23,2023-10-01,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
PI,PI_wave_10,2023-11-26,2024-03-03,2024-12-29,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
