"muni6","municipality_name","health_region_22","official_macroregion_5","final_model_unit","source_reference","unit_index"
"230700","Jaguaruana","9ª Região Russas","Litoral_Leste_Jaguaribe","Litoral_Leste_Jaguaribe","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",8
"230710","Jardim","21ª Região Juazeiro do Norte","Cariri","Cariri_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",4
"230720","Jati","19ª Região Brejo Santo","Cariri","Cariri_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",4
"230725","Jijoca de Jericoacoara","12ª Região Acaraú","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"230730","Juazeiro do Norte","21ª Região Juazeiro do Norte","Cariri","Juazeiro_do_Norte","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",5
"230740","Jucás","18ª Região Iguatú","Cariri","Cariri_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",4
"230750","Lavras da Mangabeira","17ª Região Icó","Cariri","Cariri_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",4
"230760","Limoeiro do Norte","10ª Região Limoeiro do Norte","Litoral_Leste_Jaguaribe","Litoral_Leste_Jaguaribe","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",8
"230763","Madalena","5ª Região Canindé","Sertao_Central","Sertao_Central_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",6
"230765","Maracanaú","3ª Região Maracanaú","Fortaleza","Fortaleza_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",2
"230770","Maranguape","3ª Região Maracanaú","Fortaleza","Fortaleza_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",2
"230780","Marco","12ª Região Acaraú","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"230790","Martinópole","16ª Região Camocim","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"230800","Massapê","11ª Região Sobral","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"230810","Mauriti","19ª Região Brejo Santo","Cariri","Cariri_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",4
"230820","Meruoca","11ª Região Sobral","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"230830","Milagres","19ª Região Brejo Santo","Cariri","Cariri_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",4
"230835","Milhã","8ª Região Quixadá","Sertao_Central","Sertao_Central_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",6
"230837","Miraíma","6ª Região Itapipoca","Fortaleza","Fortaleza_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",2
"230840","Missão Velha","21ª Região Juazeiro do Norte","Cariri","Cariri_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",4
"230850","Mombaça","18ª Região Iguatú","Cariri","Cariri_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",4
"230860","Monsenhor Tabosa","15ª Região Crateús","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"230870","Morada Nova","9ª Região Russas","Litoral_Leste_Jaguaribe","Litoral_Leste_Jaguaribe","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",8
"230880","Moraújo","11ª Região Sobral","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
