region,uf,uf_name,wave_id,start_week,end_week,peak_week,duration_weeks,total_cases,peak_cases,n_active_munis,peak_time_sd_weeks,cor_sync_index,top3_share,n_total_munis,pct_active_munis,synchrony_class,is_first_major_epidemic,left_censored,uf_code
Centro-Oeste,DF,Distrito Federal,3,2022-03-27,2022-05-15,2022-05-01,8,283,49,1,NA,NA,1,27,0.037037037037037035,Single-municipality dominated,FALSE,FALSE,NA
Centro-Oeste,DF,Distrito Federal,4,2023-01-29,2023-05-21,2023-02-26,17,582,42,1,NA,NA,1,27,0.037037037037037035,Single-municipality dominated,FALSE,FALSE,NA
Centro-Oeste,DF,Distrito Federal,5,2023-12-31,2024-04-21,2024-03-17,17,1051,94,1,NA,NA,1,27,0.037037037037037035,Single-municipality dominated,FALSE,FALSE,NA
Centro-Oeste,GO,Goiás,1,2022-01-02,2022-06-26,2022-03-27,26,5264,314,24,4.253269104562389,0.19948955333019364,0.77447216890595,234,0.10256410256410256,Asynchronous (localized/staggered),TRUE,FALSE,NA
Centro-Oeste,GO,Goiás,2,2023-02-05,2023-06-25,2023-04-16,21,2402,181,19,5.227734716929181,0.11406955268654627,0.5458550260312375,234,0.0811965811965812,Asynchronous (localized/staggered),FALSE,FALSE,NA
Centro-Oeste,GO,Goiás,3,2023-11-26,2024-07-14,2024-03-10,34,14215,754,40,6.102019061457944,0.28910983710497495,0.671586187132827,234,0.17094017094017094,Asynchronous (localized/staggered),FALSE,FALSE,NA
Centro-Oeste,MS,Mato Grosso do Sul,1,2019-02-17,2019-03-24,2019-02-17,6,183,40,4,0.919136417460794,0.09455862393618324,0.8535353535353535,79,0.05063291139240506,Asynchronous (localized/staggered),TRUE,FALSE,NA
Centro-Oeste,MS,Mato Grosso do Sul,2,2022-02-20,2024-12-29,2024-03-10,150,53533,2229,72,25.674096712273847,0.4094978324151225,0.2793100870800164,79,0.9113924050632911,Asynchronous (localized/staggered),FALSE,FALSE,NA
Centro-Oeste,MT,Mato Grosso,1,2015-12-06,2016-04-17,2016-02-21,20,1406,121,13,3.6674780824507103,0.15033174980342992,0.6822351959966639,138,0.09420289855072464,Asynchronous (localized/staggered),TRUE,FALSE,NA
Centro-Oeste,MT,Mato Grosso,2,2017-01-01,2017-07-09,2017-03-26,28,3372,258,8,1.1181839867789929,0.17847420149415677,0.9552821128451381,138,0.057971014492753624,Asynchronous (localized/staggered),FALSE,FALSE,NA
Centro-Oeste,MT,Mato Grosso,3,2017-12-03,2018-07-08,2018-01-21,32,14022,1333,19,3.7654014947639176,0.19397118950549247,0.9134292051227015,138,0.13768115942028986,Asynchronous (localized/staggered),FALSE,FALSE,NA
Centro-Oeste,MT,Mato Grosso,4,2020-01-12,2020-03-08,2020-02-02,9,390,50,7,2.4412885968284197,-0.011212475713685967,0.7535211267605634,138,0.050724637681159424,Asynchronous (localized/staggered),FALSE,FALSE,NA
Centro-Oeste,MT,Mato Grosso,5,2023-12-31,2024-12-29,2024-05-05,53,25726,1430,66,10.73805429149827,0.17208329445316167,0.5444064061700704,138,0.4782608695652174,Asynchronous (localized/staggered),FALSE,FALSE,NA
