definition,state,episode_id,onset_week,peak_week,end_week,duration_weeks,weeks_onset_to_peak,episode_case_count,episode_cumulative_incidence_per_100k,peak_weekly_cases,peak_weekly_incidence_per_100k,quiet_weeks_before_episode,first4_case_count,first6_case_count,first8_case_count,first6_nonzero_weeks,re_prefit_eligible,re_prefit_eligible_n20,re_prefit_eligible_n50,reason_if_not_eligible,left_censored_start,right_censored_end,first6_max_week_share,recurrence_order,is_recurrence
permissive,BA,BA_episode_01,2016-01-03,2016-03-13,2017-09-24,91,10,12693,87.22503488374635,535,3.6827782824293065,30,94,238,478,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.3739495798319328,1,FALSE
permissive,BA,BA_episode_02,2017-11-19,2018-06-03,2018-09-23,45,28,3269,22.343356820151264,181,1.2369596434057202,7,68,89,153,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.3258426966292135,2,TRUE
permissive,BA,BA_episode_03,2019-01-06,2024-03-17,2025-10-12,354,271,76143,514.6844234880718,1499,10.093927394966087,14,75,121,176,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.2066115702479339,3,TRUE
permissive,CE,CE_episode_01,2016-02-14,2017-04-30,2019-12-01,199,63,140875,1580.301591624149,10301,115.4279203566399,56,208,506,1090,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.32806324110671936,1,FALSE
permissive,CE,CE_episode_02,2020-01-19,2020-03-01,2020-10-25,41,6,956,10.518290988960306,44,0.48410544300654124,6,58,101,174,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.2376237623762376,2,TRUE
permissive,CE,CE_episode_03,2021-02-21,2022-05-15,2023-09-17,135,64,54177,591.2342437323613,3521,38.42646831726228,13,58,87,123,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.22988505747126436,3,TRUE
permissive,CE,CE_episode_04,2024-01-14,2024-04-07,2024-09-01,34,12,811,8.783086569393532,64,0.6931165726771714,14,64,124,194,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.28225806451612906,4,TRUE
permissive,CE,CE_episode_05,2025-03-23,2025-05-11,2025-09-28,28,7,553,5.966229200732433,45,0.48549785539414014,22,92,175,260,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.25142857142857145,5,TRUE
permissive,DF,DF_episode_01,2021-04-11,2021-05-09,2021-08-22,20,4,87,2.961172896758877,11,0.37440117085457064,47,18,40,55,6,TRUE,TRUE,FALSE,NA,FALSE,FALSE,0.275,1,FALSE
permissive,DF,DF_episode_02,2022-01-02,2024-03-10,2025-12-28,209,114,1639,55.17582404581427,39,1.3074884220223961,11,35,60,90,6,TRUE,TRUE,TRUE,NA,FALSE,TRUE,0.23333333333333334,2,TRUE
permissive,ES,ES_episode_01,2016-12-25,2020-01-19,2020-03-29,171,160,7466,187.7018682587858,431,10.771049717516101,57,54,91,137,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.2857142857142857,1,FALSE
permissive,ES,ES_episode_02,2022-01-02,2024-03-17,2025-12-28,209,115,21063,514.2527258133953,691,16.844911508146136,91,50,77,112,6,TRUE,TRUE,TRUE,NA,FALSE,TRUE,0.2077922077922078,2,TRUE
permissive,GO,GO_episode_01,2021-03-21,2021-05-30,2021-06-27,15,10,250,3.5043679844305133,27,0.37847174231849545,324,40,80,119,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.3,1,FALSE
permissive,GO,GO_episode_02,2021-11-14,2024-03-10,2025-12-28,216,121,19422,265.5360971637119,585,7.958660675767836,17,65,121,205,6,TRUE,TRUE,TRUE,NA,FALSE,TRUE,0.2727272727272727,2,TRUE
permissive,MA,MA_episode_01,2016-01-17,2016-04-24,2016-09-11,35,14,7121,103.74601646474486,870,12.675050459812953,52,64,113,302,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.23008849557522124,1,FALSE
permissive,MA,MA_episode_02,2016-10-30,2017-04-16,2018-11-04,106,24,5634,81.74360435055793,407,5.906790269034704,6,25,44,71,6,TRUE,TRUE,FALSE,NA,FALSE,FALSE,0.2727272727272727,2,TRUE
permissive,MA,MA_episode_03,2018-12-30,2019-03-10,2019-06-23,26,10,506,7.284502560292169,69,0.9932738088811635,7,45,54,76,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.3148148148148148,3,TRUE
permissive,MA,MA_episode_04,2021-12-05,2023-04-30,2024-06-09,132,73,5233,74.73200137831479,137,1.9562390746903502,66,68,120,143,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.24166666666666667,4,TRUE
permissive,MA,MA_episode_05,2025-02-09,2025-04-27,2025-07-27,25,11,364,5.186506931752265,28,0.39896207167325115,30,39,71,113,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.352112676056338,5,TRUE
permissive,MG,MG_episode_01,2016-12-25,2017-03-19,2018-08-26,88,12,24747,119.31255711336239,1472,7.112828154699953,103,274,693,1717,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.37373737373737376,1,FALSE
permissive,MG,MG_episode_02,2018-12-30,2019-05-19,2019-07-14,29,20,1543,7.377526411617946,115,0.5497985800949678,17,141,239,328,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.20502092050209206,2,TRUE
permissive,MG,MG_episode_03,2020-01-05,2020-04-26,2020-07-26,30,16,1396,6.637501914343989,103,0.4897297257717986,24,129,215,275,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.21395348837209302,3,TRUE
permissive,MG,MG_episode_04,2020-09-20,2021-03-21,2021-08-15,48,26,5863,27.784033382241283,279,1.321209335579926,7,116,164,246,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.20121951219512196,4,TRUE
permissive,MG,MG_episode_05,2022-01-02,2024-02-25,2025-12-28,209,112,263669,1238.1058184941674,11506,53.96129409744765,19,237,393,588,6,TRUE,TRUE,TRUE,NA,FALSE,TRUE,0.20610687022900764,5,TRUE
permissive,MS,MS_episode_01,2017-08-27,2018-04-15,2018-07-15,47,33,242,8.840618655690536,20,0.728289419302073,6,12,21,37,6,FALSE,TRUE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.3333333333333333,1,FALSE
permissive,MS,MS_episode_02,2018-09-02,2018-09-09,2019-04-28,35,1,82,2.9689870678333796,6,0.2184868257906219,6,16,20,26,6,FALSE,TRUE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.3,2,TRUE
permissive,MS,MS_episode_03,2021-01-31,2021-03-14,2021-08-15,29,6,90,3.178030066283114,10,0.35311445180923484,46,16,24,41,6,FALSE,TRUE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.20833333333333334,3,TRUE
permissive,MS,MS_episode_04,2022-02-20,2023-04-02,2023-09-03,81,58,1638,56.9865515670083,195,6.775517380244468,22,24,41,53,6,TRUE,TRUE,FALSE,NA,FALSE,FALSE,0.2682926829268293,4,TRUE
permissive,MS,MS_episode_05,2023-11-05,2024-03-10,2024-11-10,54,18,948,32.68203623510373,88,3.0325011759557117,8,16,25,33,6,FALSE,TRUE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.28,5,TRUE
permissive,MS,MS_episode_06,2024-12-29,2025-05-18,2025-12-28,53,20,8626,294.94774530411826,650,22.225025994732327,6,104,249,444,6,TRUE,TRUE,TRUE,NA,FALSE,TRUE,0.3614457831325301,6,TRUE
permissive,MT,MT_episode_01,2016-11-27,2018-01-21,2020-05-24,183,60,16769,481.9661136010087,1275,36.526169353082864,71,31,78,158,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.41025641025641024,1,FALSE
permissive,MT,MT_episode_02,2022-02-27,2022-04-03,2022-06-05,15,5,115,3.0905944610634815,13,0.34937154777239354,24,22,45,62,6,TRUE,TRUE,FALSE,NA,FALSE,FALSE,0.28888888888888886,2,TRUE
permissive,MT,MT_episode_03,2023-02-19,2025-01-26,2025-12-28,150,101,67707,1747.6694527069128,3858,99.08417763342912,36,20,44,70,6,TRUE,TRUE,FALSE,NA,FALSE,TRUE,0.3409090909090909,3,TRUE
permissive,PA,PA_episode_01,2016-04-03,2017-01-29,2019-08-18,177,43,17802,214.26806504521852,744,8.990021800802866,65,93,170,244,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.25882352941176473,1,FALSE
permissive,PA,PA_episode_02,2024-02-11,2024-03-10,2024-06-16,19,4,310,3.5778976411959595,25,0.28854013235451287,55,73,113,141,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.22123893805309736,2,TRUE
permissive,PA,PA_episode_03,2025-05-04,2025-07-06,2025-10-05,23,9,242,2.7780341528304495,23,0.2640280393185964,31,50,73,99,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.1917808219178082,3,TRUE
permissive,PB,PB_episode_01,2015-12-27,2022-05-01,2025-08-10,503,331,41565,1021.9269209870502,978,23.818650929146575,51,24,55,136,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.36363636363636365,1,FALSE
permissive,PE,PE_episode_01,2015-09-27,2016-02-21,2018-09-30,158,21,16634,179.4970628477945,894,9.65163013225972,38,62,87,127,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.22988505747126436,1,FALSE
permissive,PE,PE_episode_02,2019-02-03,2021-05-30,2025-12-28,361,121,42003,443.09986397704847,1552,16.388290988467375,12,58,92,125,6,TRUE,TRUE,TRUE,NA,FALSE,TRUE,0.2391304347826087,2,TRUE
permissive,PI,PI_episode_01,2016-03-13,2017-06-18,2018-11-11,140,66,7190,218.91857548726435,392,11.930319629088796,62,57,193,391,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.39378238341968913,1,FALSE
permissive,PI,PI_episode_02,2019-01-13,2019-04-21,2019-11-24,46,14,791,23.82366512179284,63,1.8974600539481024,6,34,57,64,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.2982456140350877,2,TRUE
permissive,PI,PI_episode_03,2020-01-12,2020-05-10,2020-08-09,31,17,142,4.256769537597917,13,0.38970425344206283,6,14,26,42,6,FALSE,TRUE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.23076923076923078,3,TRUE
permissive,PI,PI_episode_04,2021-04-11,2021-07-04,2021-09-05,22,12,190,5.675273966383262,15,0.448047944714468,21,31,47,62,6,TRUE,TRUE,FALSE,NA,FALSE,FALSE,0.2553191489361702,4,TRUE
permissive,PI,PI_episode_05,2022-01-02,2022-04-24,2023-09-17,90,16,12895,383.8494476553104,875,26.064605070593377,16,41,104,206,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.3173076923076923,5,TRUE
permissive,PI,PI_episode_06,2023-11-26,2024-03-10,2024-08-11,38,15,574,17.006902901155303,41,1.2145823347590357,6,23,32,43,6,TRUE,TRUE,FALSE,NA,FALSE,FALSE,0.21875,6,TRUE
permissive,PI,PI_episode_07,2025-01-12,2025-05-04,2025-12-28,51,16,489,14.448019188387693,33,0.9750196998298444,15,26,53,83,6,TRUE,TRUE,TRUE,NA,FALSE,TRUE,0.3018867924528302,7,TRUE
permissive,PR,PR_episode_01,2023-02-19,2023-03-19,2023-06-25,19,4,1489,12.66817663845296,164,1.3952860770357862,96,242,534,819,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.30711610486891383,1,FALSE
permissive,PR,PR_episode_02,2024-11-24,2025-03-16,2025-08-03,37,16,6160,51.81526188697297,577,4.852579150023246,27,121,204,350,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.31862745098039214,2,TRUE
permissive,RJ,RJ_episode_01,2016-02-14,2016-04-10,2016-07-10,22,8,1144,6.712146938284097,112,0.6571332666851564,56,96,187,318,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.24598930481283424,1,FALSE
permissive,RJ,RJ_episode_02,2016-12-25,2019-05-05,2020-07-12,186,123,117423,683.5447341662082,5711,33.21523150132323,21,411,725,991,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.24275862068965517,2,TRUE
permissive,RJ,RJ_episode_03,2023-02-26,2023-05-28,2023-07-09,20,13,509,2.9569276719806354,43,0.2497993907567138,38,83,121,159,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.19834710743801653,3,TRUE
permissive,RJ,RJ_episode_04,2023-12-10,2024-04-07,2025-06-29,82,17,5313,30.852682732210003,197,1.1440399092224658,9,131,307,517,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.34201954397394135,4,TRUE
permissive,RN,RN_episode_01,2016-01-10,2019-07-14,2025-12-28,521,183,26776,787.209643288545,401,11.820421561628022,53,42,198,368,6,TRUE,TRUE,TRUE,NA,FALSE,TRUE,0.5303030303030303,1,FALSE
permissive,RO,RO_episode_01,2016-12-04,2017-02-12,2017-03-26,17,10,83,4.912751399160798,11,0.6502842333267123,6,15,24,37,6,FALSE,TRUE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.25,1,FALSE
permissive,RO,RO_episode_02,2017-07-02,2017-07-09,2018-05-27,48,1,82,4.832511612049445,5,0.2955837424212328,7,8,13,15,5,FALSE,FALSE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.38461538461538464,2,TRUE
permissive,RO,RO_episode_03,2019-02-03,2019-03-10,2019-05-05,14,5,59,3.445134769000794,9,0.5255290325594432,8,14,26,40,6,FALSE,TRUE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.34615384615384615,3,TRUE
permissive,RO,RO_episode_04,2020-01-19,2020-02-09,2020-04-05,12,3,37,2.1477251817294762,10,0.5804662653322908,23,20,23,29,6,FALSE,TRUE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.43478260869565216,4,TRUE
permissive,RO,RO_episode_05,2021-01-24,2021-03-14,2021-09-12,34,7,63,3.6424143541189924,6,0.3468966051541898,22,7,8,15,4,FALSE,FALSE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.375,5,TRUE
permissive,RO,RO_episode_06,2022-03-13,2022-04-17,2022-07-31,21,5,41,2.3635919218192973,6,0.3458915007540435,8,9,15,21,5,FALSE,FALSE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.4,6,TRUE
permissive,RO,RO_episode_07,2024-01-07,2024-03-03,2024-08-25,34,8,165,9.448943350434966,18,1.030793820047451,39,14,37,62,6,TRUE,TRUE,FALSE,NA,FALSE,FALSE,0.32432432432432434,7,TRUE
permissive,RO,RO_episode_08,2025-01-05,2025-05-11,2025-12-28,52,18,4188,239.04791803419047,293,16.724221581666143,7,83,205,423,6,TRUE,TRUE,TRUE,NA,FALSE,TRUE,0.37073170731707317,8,TRUE
permissive,RR,RR_episode_01,2016-04-24,2017-07-23,2018-12-16,139,65,4002,709.5056825525784,362,64.18291776962587,45,4,5,5,5,FALSE,FALSE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.2,1,FALSE
permissive,RR,RR_episode_02,2019-05-12,2019-06-02,2019-11-24,29,3,21,3.3973710819009098,2,0.3235591506572295,11,4,4,5,3,FALSE,FALSE,FALSE,fewer than 4 nonzero weeks in first 6; fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.5,2,TRUE
permissive,RR,RR_episode_03,2021-04-04,2021-06-27,2021-10-31,31,12,44,6.717844426937335,4,0.6107131297215759,13,7,10,12,6,FALSE,FALSE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.3,3,TRUE
permissive,RR,RR_episode_04,2022-03-20,2022-08-14,2022-10-09,30,21,92,13.6619325100534,21,3.118484594686102,8,4,6,6,4,FALSE,FALSE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.3333333333333333,4,TRUE
permissive,RR,RR_episode_05,2023-02-12,2023-02-12,2023-08-20,28,0,24,3.451896385576826,4,0.5753160642628043,7,8,10,11,5,FALSE,FALSE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.4,5,TRUE
permissive,RR,RR_episode_06,2024-08-11,2025-11-30,2025-12-28,73,68,49,6.686585112740974,4,0.5414390366716659,22,4,5,6,5,FALSE,FALSE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,TRUE,0.2,6,TRUE
permissive,RS,RS_episode_01,2021-03-07,2021-03-14,2021-05-02,9,1,233,2.0752082177532905,41,0.3651653945402786,322,120,176,219,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.23295454545454544,1,FALSE
permissive,RS,RS_episode_02,2025-02-23,2025-03-30,2025-05-04,11,5,338,3.0089209163891204,69,0.6142471693220394,198,122,227,289,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.3039647577092511,2,TRUE
permissive,SC,SC_episode_01,2025-02-02,2025-03-16,2025-05-18,16,6,648,7.915023912410978,122,1.4901742551144124,122,84,209,434,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.33014354066985646,1,FALSE
permissive,SE,SE_episode_01,2015-09-27,2016-04-17,2017-10-15,108,29,4501,204.71651526455287,384,17.467948134750664,35,18,35,70,5,TRUE,TRUE,FALSE,NA,FALSE,FALSE,0.4857142857142857,1,FALSE
permissive,SE,SE_episode_02,2019-06-09,2019-08-18,2019-12-29,30,10,268,11.957346183018783,21,0.9369562307589346,53,16,43,73,6,TRUE,TRUE,FALSE,NA,FALSE,FALSE,0.3488372093023256,2,TRUE
permissive,SE,SE_episode_03,2020-03-01,2020-08-02,2024-10-06,241,22,12805,564.7589719197348,291,12.90913301198021,8,22,29,49,6,FALSE,TRUE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.3103448275862069,3,TRUE
permissive,SE,SE_episode_04,2025-05-04,2025-11-09,2025-12-28,35,27,161,7.001750437609402,14,0.6088478641399481,12,10,15,20,5,FALSE,FALSE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,TRUE,0.26666666666666666,4,TRUE
permissive,SP,SP_episode_01,2021-01-10,2021-03-28,2021-07-04,26,11,13171,28.85092553072527,1243,2.722777346799143,314,648,1512,2958,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.34325396825396826,1,FALSE
permissive,SP,SP_episode_02,2023-01-08,2023-05-07,2023-06-04,22,17,1932,4.2136880741068214,178,0.3882176382976264,34,174,239,342,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.2384937238493724,2,TRUE
permissive,SP,SP_episode_03,2023-12-03,2025-01-19,2025-06-29,83,59,16766,36.43912907429016,662,1.436575797026683,25,391,786,1177,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.2582697201017812,3,TRUE
permissive,TO,TO_episode_01,2016-01-24,2017-04-30,2018-08-12,134,66,2769,184.90756177958016,128,8.541664303250437,52,12,22,26,6,FALSE,TRUE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.2727272727272727,1,FALSE
permissive,TO,TO_episode_02,2019-01-13,2019-04-28,2019-06-23,24,15,51,3.3439377686624514,7,0.45897185060072854,6,11,18,20,6,FALSE,FALSE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.3333333333333333,2,TRUE
permissive,TO,TO_episode_03,2021-02-14,2021-05-30,2021-09-19,32,15,130,8.395145281217994,11,0.7103584468722918,10,9,13,19,6,FALSE,FALSE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.23076923076923078,3,TRUE
permissive,TO,TO_episode_04,2021-11-07,2023-02-05,2024-09-08,149,65,8897,568.978536298105,441,28.13951841224203,6,18,43,66,6,TRUE,TRUE,FALSE,NA,FALSE,FALSE,0.3953488372093023,4,TRUE
permissive,TO,TO_episode_05,2025-01-05,2025-04-06,2025-08-17,33,13,394,24.828923048613646,30,1.8905271356812419,8,26,44,81,6,TRUE,TRUE,FALSE,NA,FALSE,FALSE,0.3181818181818182,5,TRUE
primary,AC,AC_episode_01,2016-03-27,2016-06-05,2016-07-03,15,10,49,5.859183492886473,11,1.315326906566351,56,7,13,18,6,FALSE,FALSE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.23076923076923078,1,FALSE
primary,AC,AC_episode_02,2016-11-13,2018-10-28,2019-03-17,123,102,355,41.745293951557564,25,2.9359815103628404,8,6,9,12,5,FALSE,FALSE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.2222222222222222,2,TRUE
primary,AC,AC_episode_03,2020-05-10,2021-03-14,2022-07-03,113,44,259,29.840974443047102,27,3.1093596331416276,9,9,11,12,6,FALSE,FALSE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.2727272727272727,3,TRUE
primary,AC,AC_episode_04,2023-11-26,2023-12-31,2024-09-29,45,5,221,25.119245004728064,35,3.9927810518582403,9,8,45,68,5,TRUE,TRUE,FALSE,NA,FALSE,FALSE,0.7777777777777778,4,TRUE
primary,AL,AL_episode_01,2015-11-22,2016-05-22,2017-10-01,98,26,9791,307.11429985567145,667,20.9228252024997,46,65,84,122,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.44047619047619047,1,FALSE
primary,AL,AL_episode_02,2018-07-01,2019-07-14,2019-11-10,72,54,1621,50.52886109583541,91,2.8360359821286103,8,31,45,56,6,TRUE,TRUE,FALSE,NA,FALSE,FALSE,0.2,2,TRUE
primary,AL,AL_episode_03,2021-06-06,2022-06-26,2025-12-28,239,55,16158,501.95433568728527,691,21.470422550965843,19,58,87,136,6,TRUE,TRUE,TRUE,NA,FALSE,TRUE,0.25287356321839083,3,TRUE
primary,AP,AP_episode_01,2016-04-17,2016-10-02,2019-04-14,157,24,578,75.49647804906813,12,1.5853136543065045,46,15,21,28,6,FALSE,TRUE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.23809523809523808,1,FALSE
primary,AP,AP_episode_02,2021-01-10,2021-08-08,2021-09-26,38,30,74,9.356772469846536,17,2.1495288106404207,8,5,5,6,3,FALSE,FALSE,FALSE,fewer than 4 nonzero weeks in first 6; fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.4,2,TRUE
