state,calendar_year,wave_id,wave_order,is_recurrence,onset_week,peak_week,end_week,total_cases,cumulative_incidence_per_100k,weeks_since_previous_wave,previous_wave_total_cases,preceding_trough_ratio,re6_prefit_eligible,re6_fit_status,re6_fit_pass,re6_analysis_usable,Re_early_4_median,Re_early_4_q025,Re_early_4_q975,Re_early_6_median,Re_early_6_q025,Re_early_6_q975,Re_early_8_median,Re_early_8_q025,Re_early_8_q975,susceptibility_timing_status,S_onset_q025,S_onset_q25,S_onset_median,S_onset_q75,S_onset_q975,usable,n_major_waves,event_status,map_Re
AM,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
AM,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
AM,2022,AM_wave_15,1,FALSE,2022-08-28,2023-04-02,2024-05-26,217,5.11707319,NA,NA,0,FALSE,not_attempted,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,retrospective_smoothed,0.8979479310224777,0.9187615540040174,0.9291245798122424,0.938037080330909,0.9541357095093048,FALSE,1,major_re_unavailable,NA
AM,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
AM,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
AM,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
AP,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
AP,2016,AP_wave_02,1,FALSE,2016-02-07,2016-10-02,2017-01-15,183,24.16563266,NA,NA,0,FALSE,not_attempted,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,retrospective_smoothed,0.9880103809429616,0.9926134390838588,0.9950129334848444,0.997075053406394,0.9990395907302508,FALSE,1,major_re_unavailable,NA
AP,2017,AP_wave_03,2,TRUE,2017-01-29,2017-05-28,2017-11-19,200,26.12473516,14,183,0.068965517,FALSE,not_attempted,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,retrospective_smoothed,0.9685492950790832,0.9797495324338228,0.9837631141395752,0.987342333803173,0.9928920406691798,FALSE,2,major_re_unavailable,NA
AP,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
AP,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
AP,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
AP,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
AP,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
AP,2023,AP_wave_17,4,TRUE,2023-09-10,2024-02-25,2024-06-30,217,27.04361638,1701,181,0,FALSE,not_attempted,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,retrospective_smoothed,0.9034365365999368,0.9264273314600062,0.9368957262650832,0.9459250589067194,0.9601886262105984,FALSE,1,major_re_unavailable,NA
AP,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
AP,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
BA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
BA,2016,BA_wave_02,1,FALSE,2016-01-24,2016-03-06,2016-08-28,5863,40.35911976,NA,NA,0.195121951,TRUE,fitted,TRUE,TRUE,2.2144369374520414,1.520323218664252,3.3812119067687094,2.6680929501253607,1.9046696074161815,3.877725191464171,2.5555423112923146,1.887800574062263,3.5742428855008477,retrospective_smoothed,0.9879057163856468,0.9915839779282972,0.9940400779052048,0.9962086402180866,0.9985419280330244,TRUE,2,first_usable,2.6680929501253607
BA,2017,BA_wave_04,3,TRUE,2017-11-12,2018-05-27,2018-12-16,3383,23.12276521,21,6655,0.030050937,TRUE,fitted,TRUE,TRUE,1.7994658217312074,1.1623308749484538,2.86891920156944,1.3694102602910896,0.9280394745589228,2.074337148908747,1.3958629531906357,0.9797538170198729,2.018273781903564,retrospective_smoothed,0.9639122293689394,0.9716458657705854,0.9758463143488154,0.9805140745175313,0.9877049479467708,TRUE,1,recurrent_usable,1.3694102602910896
BA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
BA,2019,BA_wave_05,4,TRUE,2019-02-03,2019-05-26,2019-12-15,5711,38.86818777,49,3383,0.025948104,TRUE,fitted,TRUE,TRUE,1.2177253386388638,0.8170954660299443,1.8770549093815685,1.0722555596883585,0.7318522067965211,1.6286951722682403,1.1650761300070265,0.8311910728571426,1.681466813447784,retrospective_smoothed,0.953096881517905,0.9627968250083688,0.9680739551204828,0.973861365224404,0.9828310680116416,TRUE,1,recurrent_usable,1.0722555596883585
BA,2020,BA_wave_06,5,TRUE,2020-01-19,2020-05-17,2020-12-20,18760,127.1989364,35,5711,0.120996441,TRUE,fitted,TRUE,TRUE,1.5512239454231178,1.0662564812901894,2.356266395317705,1.459620676899967,1.0379580909196708,2.1244308749921457,1.4983377401906828,1.097686689734885,2.1051624450650883,retrospective_smoothed,0.9420108141296796,0.9535165394473588,0.9597148547237744,0.965846461086568,0.9768459572456702,TRUE,1,recurrent_usable,1.459620676899967
BA,2021,BA_wave_07,6,TRUE,2021-01-03,2021-03-14,2021-10-24,9546,64.55116116,14,18760,0.019898137,TRUE,fitted,TRUE,TRUE,3.3365730432339777,2.286240974640632,5.083508980435567,2.8219228702929304,1.996569018758673,4.115175892497589,2.49390515929435,1.835896405045002,3.494252826698245,retrospective_smoothed,0.9273600392421733,0.9417617751790766,0.9480366290864446,0.9539873778351142,0.9657869141149628,TRUE,2,recurrent_usable,2.8219228702929304
BA,2022,BA_wave_09,8,TRUE,2022-11-06,2023-05-07,2023-12-24,12629,85.17289047,35,13897,0.056203928,TRUE,fitted,TRUE,TRUE,1.7486471105048853,1.2111818957778793,2.6409982118497077,1.8480614056425169,1.3062062337117826,2.7519658300357652,1.584945856554567,1.1716436476602334,2.202168956152505,retrospective_smoothed,0.9037678313118096,0.9214471036805,0.9290221634542236,0.9358414098673656,0.94819000471092,TRUE,1,recurrent_usable,1.8480614056425169
BA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
BA,2024,BA_wave_10,9,TRUE,2024-01-21,2024-03-10,2025-12-28,14855,100.0154851,28,12629,0.047155689,TRUE,fitted,TRUE,TRUE,2.192799974417948,1.5169471553235083,3.2919576281260037,2.536639210128031,1.826916662081009,3.658050871406114,2.445062176922194,1.8142508009218288,3.4062525988033845,retrospective_smoothed,0.8915780564215948,0.9107180638888368,0.9188559524327924,0.9262674263906424,0.9391371006517084,TRUE,1,recurrent_usable,2.536639210128031
BA,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
CE,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
CE,2016,CE_wave_02,1,FALSE,2016-03-13,2016-05-29,2016-12-18,30516,343.9136326,NA,NA,0,TRUE,fitted,TRUE,TRUE,2.1913598268442445,1.5409735105879954,3.272079027139675,2.2070065834740946,1.57442714971276,3.1913516286055064,2.28062126518745,1.672319109682878,3.227527242588666,retrospective_smoothed,0.98338023136130015,0.9890530717661992,0.9929618818050858,0.99712561191464,0.9993210133001412,TRUE,1,first_usable,2.2070065834740946
CE,2017,CE_wave_03,2,TRUE,2017-02-12,2017-04-23,2018-12-16,106695,1195.477289,56,30516,0.06292815,TRUE,fitted,TRUE,TRUE,2.0000676143855927,1.3998501423808292,2.9988411814973412,2.0970421266971613,1.4914926315291894,3.088328977604876,2.11202146527666,1.5689965908816903,2.9290224529593396,retrospective_smoothed,0.958163963133687,0.9729952239825082,0.9778634640528332,0.9827167858113308,0.9920418899331316,TRUE,1,recurrent_usable,2.0970421266971613
CE,2018,CE_wave_04,3,TRUE,2018-12-30,2019-04-28,2019-09-08,1094,12.10834893,14,106695,0.097781373,TRUE,fitted,TRUE,TRUE,1.907091549250418,1.2224392156393815,3.0388002139541896,1.6170346314445174,1.097571094752463,2.4365354166987028,1.5879126671497388,1.130228678257574,2.283816076097263,retrospective_smoothed,0.8939684844706312,0.9279496817915316,0.944482753305598,0.954348151313692,0.9662562801769696,TRUE,1,recurrent_usable,1.6170346314445174
CE,2019,CE_wave_05,4,TRUE,2019-09-22,2020-08-02,2020-12-20,1119,12.31869073,14,1094,0.228613329,TRUE,fitted,TRUE,TRUE,1.2585856848401893,0.792889836238944,2.032638564877239,1.0029392098604584,0.6609838907084242,1.5541638635634345,0.9141513583168476,0.6213159921162721,1.368458495985896,retrospective_smoothed,0.8906880365030935,0.9224725258467064,0.9358495342838872,0.945690473697182,0.958831849324034,TRUE,1,recurrent_usable,1.0029392098604584
CE,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
CE,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
