state,year,S_end_weekly_minus_annual_q025,S_end_weekly_minus_annual_median,S_end_weekly_minus_annual_q975,max_abs_discrepancy_prop,weekly_timing_unidentified
MG,2018,-3872.125876554661,-1631.3760254830122,-289.87713070129973,3.712918716422267e-4,FALSE
MG,2019,-2950.2949062562548,-1120.3880929015577,-158.23520363606505,2.520981945609484e-4,FALSE
MG,2020,-3064.651472568605,-1228.3203852400184,-166.13295797696324,2.8147709479526097e-4,FALSE
MG,2021,-3728.587418954354,-1539.2681781426072,-247.6297870351931,3.6933782246674084e-4,FALSE
MG,2022,-4263.815853317083,-1750.4313687421381,-332.6626034749671,4.033520755380272e-4,FALSE
MG,2023,-9541.11943799071,-3029.8865362424403,-1068.9054551721547,8.099883277326602e-4,FALSE
MG,2024,-13136.840702617541,-4220.173707487062,-1193.1768239049238,8.968097531870706e-4,FALSE
MG,2025,-4067.2196724193172,-1645.559478301555,-413.6151815920137,4.489347333889273e-4,FALSE
MS,2015,-439.53951946480663,-132.3572383315768,-14.340583670604968,3.3748022732682645e-4,FALSE
MS,2016,-170.19994883779435,-50.91737772990018,-5.463422350864858,1.3839729536127294e-4,FALSE
MS,2017,-228.02084591134917,-78.44921169499867,-9.738252639025449,1.7822706808655607e-4,FALSE
MS,2018,-222.04296282166615,-87.04633584572002,-12.777838006836824,1.6167648857560372e-4,FALSE
MS,2019,-197.30209613832412,-67.33623210922815,-8.510995350428857,1.575172579185016e-4,FALSE
MS,2020,-212.23941135421626,-75.44477576971985,-8.94661906433757,1.461347400937403e-4,FALSE
MS,2021,-269.72125938232057,-97.10399817256257,-13.524411044537544,2.212589455105056e-4,FALSE
MS,2022,-282.8678944013314,-112.15777952200733,-16.96637004675576,2.494472559772005e-4,FALSE
MS,2023,-402.329906378116,-162.1720921592787,-47.06658111469579,2.80691167740743e-4,FALSE
MS,2024,-319.90156385579616,-133.08990554418415,-30.625722151878282,3.763496331641886e-4,FALSE
MS,2025,-1454.860125105956,-622.9674042456318,-106.5277679267223,7.002978444797534e-4,FALSE
MT,2015,-422.25138146315004,-189.9708441651892,-13.913951899670057,2.4494843476922137e-4,FALSE
MT,2016,-20.92638065086212,-9.306628646794707,-0.8416749057942061,1.367431280566179e-5,FALSE
MT,2017,-61.30458023585379,-24.188650052295998,-4.692293299327137,4.008779984722787e-5,FALSE
MT,2018,0.3540294504258782,1.1038335054181516,3.1125150291016337,1.6082409487806533e-6,FALSE
MT,2019,0.9930246733594686,7.353964915499091,16.044383148942142,8.980486301325664e-6,FALSE
MT,2020,-4.082437326817307,-1.94410259462893,-0.2431483113090507,2.198718030015417e-6,FALSE
MT,2021,-53.73204709807178,-24.776509863557294,-3.0593067658366606,3.291790510899166e-5,FALSE
MT,2022,-35.295715631661004,-16.543896455783397,-1.949189094814937,1.761959471264579e-5,FALSE
MT,2023,-16.52078892990248,-7.712774655083194,-0.9486931239953265,7.645135243752143e-6,FALSE
MT,2024,-18.65996036703,-5.497482425067574,-2.093726995505858,8.687285225096393e-6,FALSE
MT,2025,-61.28754029282136,-12.316059389617294,-5.094465276866684,2.4772319963695048e-5,FALSE
PA,2015,-1626.0754371830494,-606.0490850741044,-58.541521930345326,3.4437040282593915e-4,FALSE
PA,2016,-1614.7095483182698,-690.6266048508696,-170.1938119838712,4.010903701599685e-4,FALSE
PA,2017,-3943.667398802168,-1236.4229520666413,-472.1060333960457,7.317847398191532e-4,FALSE
PA,2018,-3951.1038636947746,-1230.8006494762376,-465.16690653113153,8.725639244443314e-4,FALSE
PA,2019,-1839.3860912894597,-783.0425130566582,-272.5866217964794,4.5449711840418565e-4,FALSE
PA,2020,-1196.9738388156518,-530.6905682892539,-108.9003036622889,3.0507166656372047e-4,FALSE
PA,2021,-1272.7268627298297,-580.551877441816,-123.67285246101673,2.6586796122875705e-4,FALSE
PA,2022,-1142.0476082479815,-518.9117455873638,-107.88194812678267,2.079907935740895e-4,FALSE
PA,2023,-1241.0063608186088,-568.8583925566636,-126.18160351414694,2.6325364568299386e-4,FALSE
PA,2024,-1256.55200286787,-585.0383205334656,-132.40881598498666,3.472443611599964e-4,FALSE
PA,2025,-1247.405117197032,-574.7112865615636,-128.4157361701829,4.0607039202918523e-4,FALSE
PB,2015,-666.2539788111579,-245.25145375565626,-30.51459334010723,2.8247594866375706e-4,FALSE
PB,2016,-1111.695276837633,-423.22542708320543,-153.83143745482664,4.6300041699510325e-4,FALSE
PB,2017,-600.3597885460708,-283.9872681540437,-60.28308808254073,2.6393705541431664e-4,FALSE
PB,2018,-529.7863024132444,-247.4424591672141,-49.443216488032974,3.3833147225305983e-4,FALSE
PB,2019,-530.1077366986196,-244.41473535983823,-52.663773023709616,3.6525686234926426e-4,FALSE
PB,2020,-593.1495595425716,-272.39258017065004,-60.29233664801575,2.7444240348589e-4,FALSE
PB,2021,-1257.7665258252412,-488.89714939077385,-194.4848031559144,5.497472989188856e-4,FALSE
PB,2022,-1805.5622025449645,-614.569928979734,-223.19092505279693,6.083025192192854e-4,FALSE
PB,2023,-555.2486745186849,-268.41853306419216,-74.47377934860994,3.029166551473299e-4,FALSE
PB,2024,-538.9759133606217,-255.3982137090061,-70.62932757326635,2.452611055707438e-4,FALSE
PB,2025,-438.5611885500606,-215.98448528838344,-54.32873095067916,3.9444867555142235e-4,FALSE
PE,2015,-1877.9537603843958,-892.940084294416,-162.52043668143443,3.4673690465935816e-4,FALSE
PE,2016,-3181.056046869187,-1231.3385111559182,-528.2054675153455,5.533474520010456e-4,FALSE
PE,2017,-1531.177074298542,-737.8300993377343,-162.362586412346,3.109030766245343e-4,FALSE
PE,2018,-1386.4787498238031,-687.4845318133011,-131.64396323994734,2.6644792275128744e-4,FALSE
PE,2019,-1433.9118522954175,-714.976203083992,-164.34530113758518,2.6515176394097025e-4,FALSE
PE,2020,-1766.9239766647572,-850.0446090977639,-253.4699426779988,4.559114111114791e-4,FALSE
PE,2021,-4549.380171022891,-1605.9397569186985,-692.0953968249261,8.252643997391795e-4,FALSE
PE,2022,-3163.4670253746212,-1228.795944259502,-535.509241369832,5.596741364342762e-4,FALSE
PE,2023,-1365.892149265483,-703.1205312917009,-179.84884401755403,3.0607286575558745e-4,FALSE
PE,2024,-1418.9391981735826,-726.8958238968626,-204.6531167455483,3.716124875909766e-4,FALSE
PE,2025,-1353.6637261121068,-674.9716002754867,-180.44635999528683,2.375202407660306e-4,FALSE
PI,2015,-694.135617421812,-210.80658746161498,-24.780222636705723,3.4697488633319846e-4,FALSE
