iter,AIC_climate,AIC_climate_S,AIC_gate,dev_expl_climate,dev_expl_climate_S,dev_expl_gate,edf_temp_climate,edf_precip_climate,edf_S,p_S
22,89.64431489681107,90.07928383085373,87.84365535144268,0.21975585203326894,0.23492786243114017,0.21597913206240718,2.006806811316607,1.0000119395241447,1.1780813162364483,0.26828659992227083
23,103.75003898671723,103.77747954070405,101.8042808132381,0.2504580751596007,0.2629986711104619,0.24272378719438045,1.0000092998151027,2.5216033397340207,1.0000043668791196,0.17076997099767738
24,98.70497910219338,91.57457820610779,93.20462083985123,0.22418034375785797,0.2891571668116845,0.22023161793307913,1.00000382390856,1.0000056559177615,1.0000043870049808,0.002136824616205013
25,84.01514065563875,83.62811886085544,81.2572894439615,0.38196366396092213,0.39431530619364985,0.38571838375251216,1.694966945409828,1.0000393680880006,1.0000731459017471,0.3972110344148786
26,92.32228418149268,93.80811582007692,92.33560416922353,0.1580300490375819,0.17231795493289442,0.14792196764737928,1.0000095523278738,1.0000047853147056,1.4941439874715479,0.5024397309648443
27,96.6978869502323,96.00300528991187,94.1312360958631,0.2481831880558166,0.27546740340441167,0.24178606754903584,1.6967581602348318,1.000003984641751,1.408310258731086,0.17585547264252277
28,107.89322807758687,105.04017326468615,103.8703739718456,0.17636524671808046,0.22725787995943864,0.16646183386922114,1.0000173905840366,1.0000374209790301,1.0000289024268598,0.016992571231386255
29,113.30075744056604,107.92558013348284,108.96867525031485,0.30206843426860625,0.38666170368501024,0.3393291056620865,1.0001290279319532,2.449995301845182,1.0000368124602066,0.06768314842321321
30,100.5073829987487,94.76024322629965,95.58873343343939,0.20013579766243786,0.2515206004263856,0.19278234909062375,1.0000029026705153,2.6070883934435547,1.000004024137439,0.006851018604965897
31,98.09701784118249,97.63595153109489,95.76118977388901,0.14889928777399208,0.1666142739526916,0.13504694976796117,1.0000073860949659,1.0000150811417758,1.0000051654575381,0.12397398581779806
32,95.61522008351311,97.1650211959415,95.5352071208035,0.16421049419912734,0.16805723529435773,0.15959801339288124,1.9216893330594151,1.000004977583051,1.0000196640848054,0.5621646551701766
33,92.7667703031342,93.62293093283448,91.6892839026475,0.18884633341669954,0.19290510961024365,0.1771255508916743,1.0000029547803702,1.1472058895671124,1.0000018992391693,0.3496990063976202
34,113.61429589375821,113.76488612357542,111.80000210880958,0.15462256149729842,0.17843792401199168,0.14443878459669873,1.0000289235359365,1.0000332316567793,1.496404526754827,0.26233865379786286
35,116.0183672664129,110.26054352901102,110.67964332839007,0.3483083471509757,0.4054474089293566,0.36291636333285493,2.5732945148432433,1.0001174693615813,1.000089685019358,0.02735577381418053
