state,wave_id,S_onset_q025,S_onset_q25,S_onset_median,S_onset_q75,S_onset_q975,n_draws
MT,MT_wave_14,0.7934260254343819,0.8415133879317125,0.8650194277399966,0.8894431284571446,0.9337476821598952,4000
PA,PA_wave_04,0.9701228259250476,0.9813185466418333,0.9879957569744036,0.9940975931682912,0.9978965429600928,4000
PA,PA_wave_05,0.8789027156852487,0.9181201355286197,0.9343790327826829,0.946740083573949,0.9637484898372858,4000
PB,PB_wave_03,0.9726722333793918,0.9823238517567096,0.9897708442621729,0.9949753239417504,0.9984413387167065,4000
PB,PB_wave_04,0.9237665192099543,0.9505083713270392,0.9593493844152653,0.9683230032106478,0.9840570224802786,4000
PB,PB_wave_05,0.9057411905632111,0.931578205085767,0.9422231550266549,0.9534444158661959,0.9728957441737012,4000
PB,PB_wave_06,0.8881463765910345,0.9144570463544366,0.9283605356685332,0.9428588638894679,0.964964376950853,4000
PB,PB_wave_07,0.8658816369477349,0.8956601859533697,0.911983167937521,0.9300496760111494,0.9551011204842277,4000
PB,PB_wave_08,0.8468498844357389,0.8791267459291553,0.8968842716222585,0.918107932507547,0.9470041480928731,4000
PB,PB_wave_09,0.8192620272265709,0.8527220056617827,0.8692233950540804,0.8863077330298568,0.9174596046221365,4000
PB,PB_wave_10,0.7687058161996894,0.8087516324651142,0.8296803274987099,0.847151840886719,0.8744103343600149,4000
PB,PB_wave_11,0.758466349729368,0.7973644649491445,0.8168951323222057,0.8337918443675325,0.8618625359015019,4000
PB,PB_wave_12,0.7479301457726144,0.7853660746747555,0.8043479363792767,0.8216305844103553,0.8505622080739763,4000
PE,PE_wave_03,0.990882664026113,0.9939018505155359,0.9957729229931274,0.9976613010431037,0.9994246120690197,4000
PE,PE_wave_04,0.9048998983865717,0.9302175146515996,0.9401067438628106,0.9500143387118527,0.9680432255793814,4000
PE,PE_wave_05,0.8889560009896479,0.9149618737807292,0.9268834286239712,0.9387745455486234,0.9597873921489777,4000
PE,PE_wave_06,0.8686671552740355,0.8976892990113263,0.911763579985096,0.9261857399827863,0.9506409827230651,4000
PE,PE_wave_07,0.8476849345496918,0.8802660993486845,0.8958778555414186,0.9125463741186757,0.9401683184199812,4000
PE,PE_wave_08,0.8091908803837587,0.8458315562633743,0.8627786024384105,0.8781886437400388,0.9031255806561393,4000
PE,PE_wave_09,0.7769258029953963,0.8181583340405278,0.8376458829676698,0.8551789752181138,0.8836375048318054,4000
PE,PE_wave_10,0.7695852775977099,0.8104197094210185,0.8292030079909996,0.8473714473058878,0.8753039898951223,4000
PE,PE_wave_11,0.7538800732044527,0.7944635130369451,0.8138046431816905,0.8317100133293851,0.8618055686121641,4000
PI,PI_wave_03,0.9677221150473533,0.9806890087705178,0.9898600036855811,0.9952144501009103,0.9986066543050514,4000
PI,PI_wave_04,0.9324036348531707,0.952900041500495,0.9652421346379646,0.9773816702751904,0.9909407765969216,4000
PI,PI_wave_05,0.8698070075981393,0.9065912275655472,0.9212262148114168,0.9344460218655695,0.9594578045041089,4000
PI,PI_wave_06,0.8345637047242466,0.8730540416920742,0.8907380900484833,0.9080363624906542,0.9393959079600246,4000
PI,PI_wave_07,0.8175791765105187,0.8576614516157903,0.8770349407965392,0.8978859471192452,0.9318985821620805,4000
PI,PI_wave_08,0.7958129415624656,0.8392394861533525,0.8621206970105179,0.8864568203603898,0.9233910799418497,4000
PI,PI_wave_09,0.7436671069026084,0.7908442846413877,0.8119815324014237,0.8309566282118942,0.8645191112719948,4000
PI,PI_wave_10,0.7163584546549252,0.7635553571602232,0.7866155571544504,0.8061371788664413,0.8406755108841417,4000
PI,PI_wave_11,0.703104481632876,0.751028248865682,0.7724699501673513,0.7922119339757465,0.825474619623317,4000
PR,PR_wave_17,0.751782936101621,0.830443388088673,0.9039105128832698,0.9500917461831272,0.9767565408092211,4000
PR,PR_wave_19,0.7102606991718816,0.7907291713096505,0.8504433591274818,0.8999280134078651,0.9411888902901132,4000
