UF,episode_id,window_weeks,week,Re_median,Re_lower,Re_upper,lag_spec,temperature,precipitation
BA,BA_wave_02,8,2016-03-13,2.5555423112923146,1.887800574062263,3.5742428855008477,sensitivity_A,26.593686930880402,28.03452415038555
CE,CE_wave_02,4,2016-04-03,2.1913598268442445,1.5409735105879954,3.272079027139675,sensitivity_A,26.24206516536088,152.58409050198884
CE,CE_wave_02,6,2016-04-17,2.2070065834740946,1.57442714971276,3.1913516286055064,sensitivity_A,26.545802698239385,181.69833086454975
CE,CE_wave_02,8,2016-05-01,2.28062126518745,1.672319109682878,3.227527242588666,sensitivity_A,27.105230892601682,112.80198324266001
ES,ES_wave_02,4,2017-01-08,3.74675897037264,2.3148692439956253,6.139828062268854,sensitivity_A,26.55781016500089,98.94487114684763
ES,ES_wave_02,6,2017-01-22,2.6993524440215397,1.718747970909903,4.272909083049022,sensitivity_A,25.96031127354517,28.972647499411
ES,ES_wave_02,8,2017-02-05,2.422074533082019,1.6690207792304468,3.6119316030578767,sensitivity_A,25.092876979197165,58.52409892692697
GO,GO_wave_15,4,2021-12-19,2.1241711912695602,1.3975632158273523,3.3829627036342607,sensitivity_A,23.028680962730952,188.47980818770367
GO,GO_wave_15,6,2022-01-02,1.9651509078894964,1.3594626109529058,2.9547164872175213,sensitivity_A,22.42507477738109,255.0660602560345
GO,GO_wave_15,8,2022-01-16,2.1567165920536646,1.5864397520270273,3.024539873791669,sensitivity_A,23.45264381319135,287.4349922055495
MA,MA_wave_02,4,2016-03-20,3.4065704203308624,2.377611612516084,5.15178527123214,sensitivity_A,26.624086186728285,237.50760768356918
MA,MA_wave_02,6,2016-04-03,2.8994752525778673,2.0584851732844207,4.256280755868049,sensitivity_A,26.365673256361745,293.9193261131111
MA,MA_wave_02,8,2016-04-17,2.655629816367191,1.946649844262572,3.733590760005586,sensitivity_A,26.772117438308648,239.4435925116578
MG,MG_wave_05,4,2017-01-29,2.706623265871138,1.8878994062328165,4.057923717862433,sensitivity_A,23.95438158482029,102.79211186774727
MG,MG_wave_05,6,2017-02-12,2.700460179836658,1.9013725790609597,3.993819886803721,sensitivity_A,23.165701604451243,137.01513317177154
MG,MG_wave_05,8,2017-02-26,2.583002269824623,1.8792193238712187,3.67973269333563,sensitivity_A,23.66545429706587,101.78329706516196
MT,MT_wave_05,4,2017-01-01,2.692217373492233,1.732964030702257,4.261049922953124,sensitivity_A,26.564535008539075,245.5364523394852
MT,MT_wave_05,6,2017-01-15,2.4129964511132727,1.6229526567563086,3.6965186315819887,sensitivity_A,25.788077913894845,182.6925603062327
MT,MT_wave_05,8,2017-01-29,2.2971795436688547,1.636007485394448,3.2785536859621063,sensitivity_A,25.11594726417516,236.57875477805052
PA,PA_wave_04,4,2016-05-15,1.5517121891944146,1.0567685295034113,2.3612748195516566,sensitivity_A,26.697874987793888,197.57701192775446
PA,PA_wave_04,6,2016-05-29,1.2813233515141416,0.8901547870763602,1.9367427862611688,sensitivity_A,26.729563834286918,134.35417611843067
PA,PA_wave_04,8,2016-06-12,1.2399379287794905,0.903276273872324,1.7401638641447903,sensitivity_A,26.09512421337694,81.60123586434622
PB,PB_wave_03,4,2016-02-28,2.277624474409375,1.5359909976523205,3.495187400934422,sensitivity_A,26.530543487649496,78.73400344381774
PB,PB_wave_03,6,2016-03-13,2.1902915892568937,1.5236389058431274,3.2433923760561076,sensitivity_A,26.768059256668792,73.02687765445742
