state,anchor_week,temperature_summary,precipitation_summary,S_week,climate_in_training_support,R_climate_hat,R_climate_lower,R_climate_upper,S_pre_median,S_pre_lower,S_pre_upper,first_wave_end,R_pred_median,opportunity_id,state_name,outcome_followup_start,outcome_followup_end_6w,outcome_followup_end_8w,outcome_followup_complete_8w,major_wave_onset_next_6w,major_wave_onset_next_8w,n_major_wave_onsets_next_8w,outcome_episode_id,outcome_episode_onset,outcome_episode_end,outcome_Re_early_6_median,outcome_Re_early_6_lower,outcome_Re_early_6_upper,outcome_reported_cumulative_incidence_per_100k,outcome_status_8w
BA,2017-05-14,24.41692982201139,105.9791749610843,2017-04-02,TRUE,2.1625521679271547,1.873207579122537,2.4965903037810158,0.9947448637858066,0.9896985299523329,0.997280876857949,2016-08-28,2.151187661714398,BA_20170514,Bahia,2017-05-21,2017-06-25,2017-07-09,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-05-21,24.389324891929423,81.6617528018086,2017-04-09,TRUE,2.115163560902492,1.8181478417550803,2.4607002723447304,0.9945999629842885,0.989397288306172,0.9972113019167488,2016-08-28,2.1037415993793345,BA_20170521,Bahia,2017-05-28,2017-07-02,2017-07-16,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-05-28,24.070636339124363,104.76739768736257,2017-04-16,TRUE,2.1506511033332996,1.8469882329482075,2.504239109788871,0.9944650724863409,0.98910993629877,0.9971368573052669,2016-08-28,2.1387474053691786,BA_20170528,Bahia,2017-06-04,2017-07-09,2017-07-23,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-06-04,23.826639529218827,105.95239560748465,2017-04-23,TRUE,2.1462248680931535,1.8314364729178534,2.515119280704684,0.994336064764624,0.9888754586959779,0.9970621503086354,2016-08-28,2.1340687894397203,BA_20170604,Bahia,2017-06-11,2017-07-16,2017-07-30,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-06-11,23.631744709220623,104.17609299413648,2017-04-30,TRUE,2.1374712110515763,1.8126392771803759,2.5205142774911042,0.9942134872803476,0.9886450530422333,0.9969998826625902,2016-08-28,2.1251027067009356,BA_20170611,Bahia,2017-06-18,2017-07-23,2017-08-06,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-06-18,23.205914525655956,80.80315165740262,2017-05-07,TRUE,2.081766561713883,1.7307743914974962,2.5039381439659527,0.9940980107952542,0.9884432914233446,0.9969313373160532,2016-08-28,2.0694799979398466,BA_20170618,Bahia,2017-06-25,2017-07-30,2017-08-13,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-06-25,22.48246110480997,82.65446555619975,2017-05-14,TRUE,2.066007525261845,1.6745978192643676,2.5489028143567203,0.9939899028744372,0.988240443479648,0.9968752760854384,2016-08-28,2.0535906193728777,BA_20170625,Bahia,2017-07-02,2017-08-06,2017-08-20,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-07-02,21.685486223876083,64.36664230235188,2017-05-21,TRUE,2.0117822378963583,1.5730603134063288,2.572862425059382,0.9938934685262487,0.9880233025785219,0.996823247501781,2016-08-28,1.9994972263423105,BA_20170702,Bahia,2017-07-09,2017-08-13,2017-08-27,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-08-06,21.633771509268698,78.09472622457328,2017-06-25,TRUE,2.0353506976447884,1.5934230856397646,2.5998446362033456,0.9935081258823053,0.9872194758505457,0.9966261301470417,2016-08-28,2.022137457130316,BA_20170806,Bahia,2017-08-13,2017-09-17,2017-10-01,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-08-13,21.853017271623198,67.06924007707322,2017-07-02,TRUE,2.0209916146301694,1.592065559620756,2.5654767052296514,0.99344928606967,0.9871202556589189,0.9965980909853737,2016-08-28,2.007752676707131,BA_20170813,Bahia,2017-08-20,2017-09-24,2017-10-08,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
