state,year,weekly_timing_unidentified,raw_cases_year,smoothed_weight_sum,annual_infection_allocation_max_abs_error
RJ,2019,FALSE,77636,0.9999999999999999,2.3283064365386963e-10
RJ,2020,FALSE,2803,0.9999999999999999,1.1641532182693481e-10
RJ,2021,FALSE,462,1,0
RJ,2022,FALSE,511,1,0
RJ,2023,FALSE,1033,1,2.9103830456733704e-11
RJ,2024,FALSE,3794,1,5.820766091346741e-11
RJ,2025,FALSE,1548,1,0
RN,2015,FALSE,14,1,7.275957614183426e-12
RN,2016,FALSE,3581,0.9999999999999999,1.4551915228366852e-11
RN,2017,FALSE,905,1,3.637978807091713e-12
RN,2018,FALSE,1289,1,0
RN,2019,FALSE,6512,1,1.4551915228366852e-11
RN,2020,FALSE,3323,1,0
RN,2021,FALSE,3297,1,3.637978807091713e-12
RN,2022,FALSE,4822,1,0
RN,2023,FALSE,678,0.9999999999999999,7.275957614183426e-12
RN,2024,FALSE,1132,1,3.637978807091713e-12
RN,2025,FALSE,1239,0.9999999999999999,7.275957614183426e-12
RS,2015,TRUE,0,0,NA
RS,2016,FALSE,41,1,5.820766091346741e-11
RS,2017,FALSE,18,1,5.820766091346741e-11
RS,2018,FALSE,19,1,5.820766091346741e-11
RS,2019,FALSE,16,1,5.820766091346741e-11
RS,2020,FALSE,11,1,5.820766091346741e-11
RS,2021,FALSE,266,1,0
RS,2022,FALSE,66,1,5.820766091346741e-11
RS,2023,FALSE,51,1,5.820766091346741e-11
RS,2024,FALSE,10,1,1.1641532182693481e-10
RS,2025,FALSE,389,0.9999999999999999,2.3283064365386963e-10
SC,2015,TRUE,0,0,NA
SC,2016,FALSE,39,1,2.9103830456733704e-11
SC,2017,FALSE,35,1,2.9103830456733704e-11
SC,2018,FALSE,20,1,5.820766091346741e-11
SC,2019,FALSE,39,1,1.4551915228366852e-11
SC,2020,FALSE,7,1,2.9103830456733704e-11
SC,2021,FALSE,29,1,2.9103830456733704e-11
SC,2022,FALSE,25,1,2.9103830456733704e-11
SC,2023,FALSE,54,0.9999999999999999,5.820766091346741e-11
SC,2024,FALSE,40,0.9999999999999999,5.820766091346741e-11
SC,2025,FALSE,717,1,1.1641532182693481e-10
SE,2015,FALSE,120,1,3.637978807091713e-12
SE,2016,FALSE,4154,1,1.4551915228366852e-11
SE,2017,FALSE,239,1,7.275957614183426e-12
SE,2018,FALSE,30,1,3.637978807091713e-12
SE,2019,FALSE,277,1,3.637978807091713e-12
SE,2020,FALSE,3798,1,0
SE,2021,FALSE,3056,1,3.637978807091713e-12
SE,2022,FALSE,3981,1,7.275957614183426e-12
SE,2023,FALSE,1558,1,1.4551915228366852e-11
SE,2024,FALSE,428,0.9999999999999999,1.4551915228366852e-11
SE,2025,FALSE,185,1,1.8189894035458565e-12
SP,2015,FALSE,75,1,2.3283064365386963e-10
SP,2016,FALSE,690,1,2.9103830456733704e-11
SP,2017,FALSE,656,0.9999999999999999,2.3283064365386963e-10
SP,2018,FALSE,381,1,2.3283064365386963e-10
SP,2019,FALSE,341,1,1.1641532182693481e-10
SP,2020,FALSE,211,0.9999999999999999,2.3283064365386963e-10
SP,2021,FALSE,13557,1,2.3283064365386963e-10
SP,2022,FALSE,910,1,5.820766091346741e-11
SP,2023,FALSE,2867,0.9999999999999999,2.3283064365386963e-10
SP,2024,FALSE,9656,1,4.656612873077393e-10
SP,2025,FALSE,7462,1,1.1641532182693481e-10
TO,2015,FALSE,2,1,0
TO,2016,FALSE,291,1,0
TO,2017,FALSE,2408,1,7.275957614183426e-12
TO,2018,FALSE,91,1,0
TO,2019,FALSE,57,1,3.637978807091713e-12
TO,2020,FALSE,27,1,3.637978807091713e-12
TO,2021,FALSE,203,1,1.8189894035458565e-12
TO,2022,FALSE,3836,1,3.637978807091713e-12
TO,2023,FALSE,4298,0.9999999999999999,1.4551915228366852e-11
TO,2024,FALSE,703,1,1.8189894035458565e-12
TO,2025,FALSE,409,1,3.637978807091713e-12
