draw,max_abs_diff_S,max_abs_diff_X
94,4.377216100692749e-8,1.0186340659856796e-10
478,4.284083843231201e-8,3.055902197957039e-10
760,5.4016709327697754e-8,3.4924596548080444e-10
911,4.936009645462036e-8,2.9103830456733704e-10
643,5.494803190231323e-8,1.3096723705530167e-10
408,5.494803190231323e-8,2.6193447411060333e-10
1249,4.563480615615845e-8,1.0186340659856796e-10
651,6.612390279769897e-8,3.7834979593753815e-10
1370,2.9802322387695313e-08,4.3655745685100555e-11
80,4.936009645462036e-8,2.9103830456733704e-10
936,4.936009645462036e-8,2.0372681319713593e-10
853,5.960464477539063e-8,1.8917489796876907e-10
1512,4.936009645462036e-8,2.764863893389702e-10
1274,3.5390257835388184e-8,5.820766091346741e-11
1484,4.936009645462036e-8,1.7462298274040222e-10
8,3.91155481338501e-8,2.9103830456733704e-11
188,6.332993507385254e-8,2.6193447411060333e-10
1049,6.239861249923706e-8,3.055902197957039e-10
1199,5.494803190231323e-8,2.9103830456733704e-10
673,3.725290298461914e-8,4.3655745685100555e-11
1268,5.8673322200775146e-8,1.3096723705530167e-10
1348,5.4016709327697754e-8,3.346940502524376e-10
1418,4.6566128730773926e-8,2.3283064365386963e-10
1065,6.05359673500061e-8,4.94765117764473e-10
153,3.632158041000366e-8,2.0372681319713593e-10
