draw,pop_conservation_max_err_A,pop_conservation_max_err_B,pop_conservation_max_err_C,R0_identical_A_B,max_diff_lambda_A_C_before_vax
577,6.51925802230835e-8,6.332993507385254e-8,6.51925802230835e-8,0,NA
1306,6.332993507385254e-8,6.51925802230835e-8,6.146728992462158e-8,0,NA
1409,6.51925802230835e-8,6.705522537231445e-8,6.705522537231445e-8,0,NA
1507,6.51925802230835e-8,6.332993507385254e-8,6.332993507385254e-8,0,NA
1431,6.891787052154541e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
1478,6.51925802230835e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
5,6.332993507385254e-8,6.51925802230835e-8,6.146728992462158e-8,0,NA
122,6.705522537231445e-8,6.705522537231445e-8,6.705522537231445e-8,0,NA
322,6.51925802230835e-8,6.705522537231445e-8,6.705522537231445e-8,0,NA
1308,6.51925802230835e-8,6.891787052154541e-8,6.51925802230835e-8,0,NA
422,6.332993507385254e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
1229,6.51925802230835e-8,6.705522537231445e-8,6.705522537231445e-8,0,NA
1357,6.51925802230835e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
928,6.332993507385254e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
404,6.705522537231445e-8,6.51925802230835e-8,6.146728992462158e-8,0,NA
342,6.51925802230835e-8,6.705522537231445e-8,6.51925802230835e-8,0,NA
873,6.51925802230835e-8,6.332993507385254e-8,6.891787052154541e-8,0,NA
37,6.51925802230835e-8,6.891787052154541e-8,6.332993507385254e-8,0,NA
1356,6.891787052154541e-8,6.705522537231445e-8,6.51925802230835e-8,0,NA
770,6.51925802230835e-8,6.705522537231445e-8,6.51925802230835e-8,0,NA
520,6.51925802230835e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
1521,6.705522537231445e-8,6.891787052154541e-8,6.705522537231445e-8,0,NA
908,6.891787052154541e-8,6.891787052154541e-8,6.332993507385254e-8,0,NA
1140,6.705522537231445e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
981,6.332993507385254e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
53,6.51925802230835e-8,6.891787052154541e-8,6.51925802230835e-8,0,NA
1169,6.705522537231445e-8,6.705522537231445e-8,6.332993507385254e-8,0,NA
424,6.705522537231445e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
892,6.705522537231445e-8,6.705522537231445e-8,6.51925802230835e-8,0,NA
1489,6.891787052154541e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
3,6.705522537231445e-8,6.705522537231445e-8,6.51925802230835e-8,0,NA
1434,6.51925802230835e-8,6.332993507385254e-8,6.332993507385254e-8,0,NA
402,6.705522537231445e-8,6.51925802230835e-8,6.332993507385254e-8,0,NA
742,6.51925802230835e-8,7.078051567077637e-8,6.705522537231445e-8,0,NA
1219,6.51925802230835e-8,6.891787052154541e-8,6.51925802230835e-8,0,NA
161,6.51925802230835e-8,6.146728992462158e-8,6.332993507385254e-8,0,NA
133,6.51925802230835e-8,6.705522537231445e-8,6.51925802230835e-8,0,NA
805,6.705522537231445e-8,6.332993507385254e-8,6.51925802230835e-8,0,NA
