state,year,observed_cases,S_pop_q025,S_pop_median,S_pop_q975,S_foiweighted_q025,S_foiweighted_median,S_foiweighted_q975,latent_infections_total_q025,latent_infections_total_median,latent_infections_total_q975,S_old_homogeneous_q025,S_old_homogeneous_median,S_old_homogeneous_q975,S_pop_minus_old_homogeneous_q025,S_pop_minus_old_homogeneous_median,S_pop_minus_old_homogeneous_q975,within_state_S_q10,within_state_S_q10_q025,within_state_S_q10_q975,within_state_S_q25,within_state_S_q25_q025,within_state_S_q25_q975,within_state_S_q50,within_state_S_q50_q025,within_state_S_q50_q975,within_state_S_q75,within_state_S_q75_q025,within_state_S_q75_q975,within_state_S_q90,within_state_S_q90_q025,within_state_S_q90_q975,within_state_S_weighted_sd,within_state_S_weighted_sd_q025,within_state_S_weighted_sd_q975,within_state_S_weighted_iqr,within_state_S_weighted_iqr_q025,within_state_S_weighted_iqr_q975,prop_population_S_lt_025,prop_population_S_lt_025_q025,prop_population_S_lt_025_q975,prop_population_S_lt_050,prop_population_S_lt_050_q025,prop_population_S_lt_050_q975,prop_population_S_lt_075,prop_population_S_lt_075_q025,prop_population_S_lt_075_q975,prop_population_S_ge_090,prop_population_S_ge_090_q025,prop_population_S_ge_090_q975,reconstruction_status,population_accounting_max_abs_error,annual_weight_mean_deviation
DF,2018,11,0.9306314352482478,0.9717776397072414,0.9906059806327754,0.9297991050984866,0.9708710190681302,0.9904170408944095,2743.589998189809,19402.15499469497,62647.19977543289,0.9284263721291861,0.9720310859991719,0.9913845287902787,-0.019246002452817632,-6.382248185207717e-4,0.023275321103630252,0.965885829228937,0.919432983681317,0.9886179266192856,0.9692061085249835,0.9247382638445182,0.9888287458255673,0.9721612983178204,0.9316420026034495,0.9906495629052106,0.9751213507834013,0.9366756962950817,0.991977093734927,0.9761897801939649,0.9389503032364219,0.9923189657981109,0.003198990462021905,8.480282995736409e-4,0.009576517812805177,0.005082047235299869,0.001040141570913436,0.018745560001765492,0,0,0,0,0,0,0,0,0,1,1,1,ok,1.4551915228366852e-10,6.661338147750939e-16
DF,2019,40,0.9143274935267804,0.9636294697319261,0.9858475529917086,0.9132517003775924,0.9626437163365134,0.9856560960799022,4501.116196389734,27430.310709042635,66801.92393648866,0.9129638644291469,0.9643383593330104,0.9879022016163709,-0.023593943327651377,-7.872343168900398e-4,0.02805926374658889,0.9573338141380587,0.898219355859991,0.9840625308181157,0.9592885119465027,0.9089733123431976,0.9850367700830498,0.9642941660245068,0.9168761827646605,0.9861576796429403,0.9683118538978226,0.9202975204936313,0.988024527135926,0.9698243417604067,0.9224360302916446,0.9882933969516012,0.004083195343784633,0.001213668948840385,0.012075973424403745,0.007153833108210106,0.001415260301489113,0.0218862582400055,0,0,0,0,0,0,0,0,0,1,0.9270551044704078,1,ok,1.4551915228366852e-10,6.661338147750939e-16
DF,2020,58,0.8949831770499717,0.9546889360075481,0.9810171770460145,0.8946659712212706,0.9527975283880814,0.980570141029798,9200.46318940329,25224.269780134135,65802.05512152243,0.8958718937388954,0.9545481067680995,0.9845395906793168,-0.028361012359917333,-8.957475474485332e-4,0.03314548314499711,0.9458426572802741,0.8844627292038492,0.9776587551554603,0.9499068528700194,0.8915154095562086,0.9787853246603555,0.9564091228294428,0.8951172949303396,0.981028390524848,0.9597666413302626,0.8996423013344271,0.9831113192427245,0.9617518885045552,0.9021941441278971,0.9842183773948158,0.005296695766005407,0.0014785867511193608,0.01366618452281825,0.0084093786877813,0.0018002916173859768,0.027320742442364918,0,0,0,0,0,0,0,0,0,1,0.21616044528266626,1,ok,1.1641532182693481e-10,6.661338147750939e-16
DF,2021,113,0.8780993207479717,0.9446581674000061,0.9758566163026785,0.8777713031441534,0.9424705168170366,0.9753033018260924,5590.451741602432,29803.440998204467,66109.40083068842,0.8820592348771523,0.9437413462460484,0.9814355614541526,-0.033292325952604576,-9.971634549102437e-4,0.03868783912461626,0.9355472989061265,0.8669637911315898,0.9726426619465192,0.9399078541315682,0.8746300972253285,0.9732661822029877,0.9455387000384766,0.8785204985972439,0.9761469151228014,0.951736603868556,0.8836824484368029,0.9799749128038866,0.9536512498184238,0.8869993431471721,0.9812750461150754,0.006609079665395665,0.001858617335964827,0.015547291008813701,0.010133202113162765,0.002174448033635537,0.031070985874014214,0,0,0,0,0,0,0,0,0,1,1.9920234106101737e-4,1,ok,1.4551915228366852e-10,6.661338147750939e-16
DF,2022,476,0.8555422320953499,0.923153873500167,0.9582800344942572,0.8550080630161633,0.9207502571101189,0.9570758354670346,22475.04551825508,57167.421570253624,133873.7876710333,0.8659929535211184,0.9225108443896158,0.9618186536740119,-0.04297999596407989,-0.0013913493725356552,0.046105752881016815,0.9072898127354985,0.8375673662470898,0.9497797416280885,0.914378314946417,0.8512780547943535,0.952109465963416,0.9237528015538896,0.8557925208487838,0.9624540927763912,0.9308264280591877,0.8634624700529014,0.9682972397227267,0.9343205419632664,0.8676618445370641,0.9695404632896015,0.008952350463253555,0.0032843416381172106,0.01871493102996228,0.014595075364422616,0.004369110937098153,0.034972946162559755,0,0,0,0,0,0,0,0,0,0.9926594633597392,1.9650054766326036e-5,1,ok,1.7462298274040222e-10,6.661338147750939e-16
DF,2023,578,0.8344211701754767,0.8982182463492085,0.9359617046012989,0.8336753340631504,0.8972658923662895,0.9335484763942734,16119.344098473266,64526.57321236629,175193.96849545598,0.8527244960395115,0.8942551758101223,0.9376879455273601,-0.059485364141618466,-0.00175091526628246,0.052916764720580184,0.8828290062829485,0.8013145374099421,0.9223770879860724,0.8889974311413935,0.825931056254707,0.9237976184524883,0.9015921990410563,0.8330467962801502,0.9399847417378031,0.9095240295164868,0.8417526785012159,0.947586006619747,0.9113109064158237,0.8446225721978202,0.9498096797597231,0.011409062718795332,0.004791053488817042,0.028843119121112575,0.01740211146488474,0.0057363817325192,0.042666566400305445,0,0,0,0,0,0,0,0,0,0.5605462764850857,0,1,ok,1.7462298274040222e-10,6.661338147750939e-16
DF,2024,355,0.812960210538149,0.8816645244094878,0.9253818617859007,0.8126872915084397,0.8780217811849886,0.9237891091598194,16491.960683554233,44665.005637592156,152154.49393256858,0.8256412834040163,0.8790124253394866,0.9288803953403295,-0.07439829768952586,-0.0021071253799233025,0.06371195068946742,0.8609710797132413,0.7616139526754158,0.9124567005561666,0.8669248113756571,0.8084555734561312,0.9145729896618873,0.8845155360790888,0.8125093271487012,0.9316452570972996,0.8921404143633417,0.8216447863457932,0.9416771780504991,0.8978707625729845,0.8300800099187793,0.9440669874887544,0.013370780683908616,0.0052358061546419945,0.03299538948608394,0.020680386781469662,0.006612526019330195,0.04744468299683543,0,0,0,0,0,0,0,0,0.0038426367889992583,0.06324490435519654,0,0.9926806918304776,ok,2.0372681319713593e-10,6.661338147750939e-16
DF,2025,230,0.8004548981417032,0.8691075825198873,0.9139340485298462,0.7996110814178962,0.8647348625042637,0.9127133023458298,11564.488471692759,41538.84480769239,78771.39540286674,0.8087366192997786,0.8667291481177621,0.9181872628348973,-0.08054865160175187,-0.002245311992926269,0.07343117313973793,0.8437664991068106,0.752416643760875,0.8987467237260993,0.851870588936102,0.7945276059053485,0.9028310981128751,0.8736253959059661,0.8004192482574068,0.9198163459642499,0.8810036084384185,0.8141033920287697,0.9275804427670574,0.8844228194698694,0.8213288481294152,0.9325959481846446,0.014322362177596314,0.0057838434551865684,0.03479462855642219,0.02259854805078082,0.007316561757095974,0.05055222604844444,0,0,0,0,0,0,0,0,0.051470600107830874,2.344240170235159e-4,0,0.8526531476292034,ok,2.0372681319713593e-10,6.661338147750939e-16
ES,2015,3,0.9844339578269017,0.995447641445616,0.9994163420879694,0.9831953608770978,0.9952518844334031,0.9993846301493416,2272.408235629259,17724.110060511033,60604.68247099352,0.9842242367971311,0.9952776445491123,0.9993168104799561,-0.003605021778726353,6.882465066815335e-5,0.0029088836102508318,0.9943594497539199,0.9786864424416939,0.9992504163713767,0.9950317604396313,0.9819290951471582,0.999347566758802,0.9956042984037501,0.984426756289193,0.999435704627843,0.9961714136780955,0.9861697953069537,0.9995127164596391,0.9966011981757821,0.9882413303023853,0.9995583444050777,0.0010831757761693979,1.3148907127312178e-4,0.004252426509083492,0.001262324078835364,1.493873313054922e-4,0.005792327666509353,0,0,0,0,0,0,0,0,0,1,1,1,ok,5.820766091346741e-11,6.661338147750939e-16
ES,2016,91,0.9680556423266796,0.9891933179150811,0.9979996575543778,0.9661154932001528,0.988630694407147,0.9979052959106488,4073.7220645240523,23838.623273719008,66267.83339904418,0.9707133993910875,0.9884750742395185,0.9973365865904387,-0.00694778496376855,1.4190223320714734e-4,0.005616461099897321,0.9856352658945142,0.9577641404416726,0.9974428531070141,0.9880607405063984,0.9622185953189082,0.9977717642119706,0.9896801382407383,0.9704954303987857,0.9980223146535852,0.9911467278790891,0.9738954163042239,0.998252216575887,0.9920126729766652,0.9776056789659182,0.9985112050411877,0.0026665771815434294,4.4734638676607766e-4,0.008977985563518507,0.0029802517570577947,5.336394879385891e-4,0.012739319410732041,0,0,0,0,0,0,0,0,0,1,1,1,ok,5.820766091346741e-11,6.661338147750939e-16
