state,ensemble_id,foi_pwmean_grid,foi_equiv_grid,foi_pwmean_existing,foi_equiv_existing,pwmean_difference,equivalent_difference,pwmean_abs_difference,equivalent_abs_difference,max_temporal_weight_mean_deviation,aggregation_status
AC,44,0.00788070749557939,0.007875150447189243,0.00788070749557938,0.00787515044718925,1.0408340855860843e-17,-6.938893903907228e-18,1.0408340855860843e-17,6.938893903907228e-18,8.881784197001252e-16,NA
AC,45,0.008524513924394283,0.008515202917818345,0.00852451392439427,0.00851520291781832,1.214306433183765e-17,2.42861286636753e-17,1.214306433183765e-17,2.42861286636753e-17,8.881784197001252e-16,NA
AC,46,0.005286771307580209,0.00528500999446514,0.00528677130758021,0.00528500999446512,-8.673617379884035e-19,1.9949319973733282e-17,8.673617379884035e-19,1.9949319973733282e-17,8.881784197001252e-16,NA
AC,47,0.009348654221102887,0.009345519553363442,0.00934865422110289,0.00934551955336346,-3.469446951953614e-18,-1.734723475976807e-17,3.469446951953614e-18,1.734723475976807e-17,8.881784197001252e-16,NA
AC,48,0.005101983778650432,0.005101115710214993,0.00510198377865042,0.00510111571021499,1.214306433183765e-17,3.469446951953614e-18,1.214306433183765e-17,3.469446951953614e-18,8.881784197001252e-16,NA
AC,49,0.0059891659793733665,0.005985114050808667,0.00598916597937336,0.00598511405080869,6.938893903907228e-18,-2.3418766925686896e-17,6.938893903907228e-18,2.3418766925686896e-17,8.881784197001252e-16,NA
AC,50,0.005936698778873553,0.005930243548812991,0.00593669877887355,0.00593024354881298,3.469446951953614e-18,1.0408340855860843e-17,3.469446951953614e-18,1.0408340855860843e-17,8.881784197001252e-16,NA
AC,51,0.008774612872455895,0.008768412472027544,0.0087746128724559,0.00876841247202754,-5.204170427930421e-18,3.469446951953614e-18,5.204170427930421e-18,3.469446951953614e-18,8.881784197001252e-16,NA
AC,52,0.006987305095609615,0.0069830637617181324,0.00698730509560961,0.00698306376171811,5.204170427930421e-18,2.2551405187698492e-17,5.204170427930421e-18,2.2551405187698492e-17,8.881784197001252e-16,NA
AC,53,0.011348002432447678,0.011332908471355822,0.01134800243244766,0.01133290847135576,1.734723475976807e-17,6.245004513516506e-17,1.734723475976807e-17,6.245004513516506e-17,8.881784197001252e-16,NA
AC,54,0.008871670221805019,0.008868620629535647,0.008871670221805,0.00886862062953562,1.9081958235744878e-17,2.6020852139652106e-17,1.9081958235744878e-17,2.6020852139652106e-17,8.881784197001252e-16,NA
AC,55,0.008130386189222833,0.008120338918504978,0.00813038618922283,0.00812033891850496,3.469446951953614e-18,1.734723475976807e-17,3.469446951953614e-18,1.734723475976807e-17,8.881784197001252e-16,NA
AC,56,0.0058448704858909,0.005843986115562731,0.00584487048589091,0.00584398611556273,-1.0408340855860843e-17,8.673617379884035e-19,1.0408340855860843e-17,8.673617379884035e-19,8.881784197001252e-16,NA
AC,57,0.005808251760057023,0.005804378469528988,0.005808251760057,0.00580437846952899,2.2551405187698492e-17,-1.734723475976807e-18,2.2551405187698492e-17,1.734723475976807e-18,8.881784197001252e-16,NA
AC,58,0.00679971492869266,0.006797227076137524,0.00679971492869265,0.00679722707613752,1.0408340855860843e-17,3.469446951953614e-18,1.0408340855860843e-17,3.469446951953614e-18,8.881784197001252e-16,NA
AC,59,0.007846760011121735,0.007843040692770354,0.00784676001112173,0.00784304069277033,5.204170427930421e-18,2.42861286636753e-17,5.204170427930421e-18,2.42861286636753e-17,8.881784197001252e-16,NA
AC,60,0.009007784541771955,0.009003331553968924,0.00900778454177194,0.00900333155396892,1.5612511283791264e-17,5.204170427930421e-18,1.5612511283791264e-17,5.204170427930421e-18,8.881784197001252e-16,NA
AC,61,0.007083618124176893,0.007081774665599107,0.0070836181241769,0.00708177466559911,-7.806255641895632e-18,-3.469446951953614e-18,7.806255641895632e-18,3.469446951953614e-18,8.881784197001252e-16,NA
AC,62,0.007387221269082508,0.0073818845053764785,0.0073872212690825,0.00738188450537648,8.673617379884035e-18,-1.734723475976807e-18,8.673617379884035e-18,1.734723475976807e-18,8.881784197001252e-16,NA
AC,63,0.005975804361621937,0.00597317843420528,0.00597580436162193,0.00597317843420527,6.938893903907228e-18,1.0408340855860843e-17,6.938893903907228e-18,1.0408340855860843e-17,8.881784197001252e-16,NA
AC,64,0.00665529721131595,0.006652783765172625,0.00665529721131594,0.00665278376517262,1.0408340855860843e-17,4.336808689942018e-18,1.0408340855860843e-17,4.336808689942018e-18,8.881784197001252e-16,NA
