state,year,within_state_S_q10,within_state_S_q10_q025,within_state_S_q10_q975,within_state_S_q25,within_state_S_q25_q025,within_state_S_q25_q975,within_state_S_q50,within_state_S_q50_q025,within_state_S_q50_q975,within_state_S_q75,within_state_S_q75_q025,within_state_S_q75_q975,within_state_S_q90,within_state_S_q90_q025,within_state_S_q90_q975,within_state_S_weighted_sd,within_state_S_weighted_sd_q025,within_state_S_weighted_sd_q975,within_state_S_weighted_iqr,within_state_S_weighted_iqr_q025,within_state_S_weighted_iqr_q975,prop_population_S_lt_025,prop_population_S_lt_025_q025,prop_population_S_lt_025_q975,prop_population_S_lt_050,prop_population_S_lt_050_q025,prop_population_S_lt_050_q975,prop_population_S_lt_075,prop_population_S_lt_075_q025,prop_population_S_lt_075_q975,prop_population_S_ge_090,prop_population_S_ge_090_q025,prop_population_S_ge_090_q975
BA,2024,0.8653633748617728,0.8157977030253788,0.8974058352545184,0.8872932422784463,0.8559377629359199,0.9128437327342401,0.9122325848315476,0.8856900783222146,0.9359716294974143,0.932999417235292,0.9104241029330111,0.9533416589981663,0.946954476660299,0.9307294879418178,0.9637999981451187,0.032974751314832934,0.021439602072831982,0.05234075771364022,0.046859077671948135,0.02776941980887696,0.07489363397725846,0,0,0,0,0,0,2.3334225334508148e-7,0,0.013296920645860256,0.640703013983615,0.34530348687922563,0.8761408193940561
BA,2025,0.8570964691724519,0.8029155856128285,0.8943988813055521,0.8793063785011557,0.8452500665052494,0.910421518133768,0.9072734971266119,0.8772786030449922,0.9342195019272079,0.9295176054470389,0.904240013322174,0.9516710636763854,0.9435132737506877,0.9258851767849661,0.9623195054051021,0.035014874121366155,0.023132425074345778,0.05451446152267546,0.04934439699022536,0.029642484499362534,0.0773509199770209,0,0,0,0,0,0,4.800252643924032e-5,0,0.022792265771020344,0.5788333600067745,0.29305361350884485,0.844152264100795
CE,2015,0.9903159227833439,0.9793143524585237,0.9994379329451393,0.9924649660283005,0.9828682989500578,0.9995683366933137,0.9936149723633843,0.9853578815777893,0.9996733571356352,0.9943601459744353,0.9874302403332376,0.9997207119919327,0.9957325391128854,0.9895175154035225,0.9997627996170748,0.0022255971991113235,1.3652849022938212e-4,0.004999318606551211,0.0023526510165005066,1.5243016955945323e-4,0.0067734104645639686,0,0,0,0,0,0,0,0,0,1,1,1
CE,2016,0.9678392031594305,0.93991312286548,0.9897684835933358,0.9737108211359685,0.9520742083824527,0.9921470572176629,0.9791751409770815,0.9628520188892447,0.9935842693850926,0.9828914887243061,0.9699307886644052,0.994836147964782,0.9858549018092653,0.9734376892210632,0.9957711261585269,0.007267619799501268,0.00248200969369278,0.013933827018626404,0.008078555403474963,0.0027966588402941806,0.017701279452307837,0,0,0,0,0,0,0,0,0,1,0.9999194043486388,1
CE,2017,0.9335258140229512,0.8688592812414528,0.9622886658671724,0.9465198517356797,0.8926622876507353,0.969551447665189,0.9544108815215093,0.9092750150717757,0.9755852842133383,0.9627873883430971,0.9296828492254886,0.9805058408877618,0.9695421547095155,0.9412775129131769,0.9841413815806253,0.01480145231433034,0.0074158928619323765,0.03425452143162576,0.01734069019277673,0.007569450990035334,0.04925328295663073,0,0,0,0,0,0,0,0,1.2871413903298498e-4,0.9969541209378153,0.6176110217862262,1
CE,2018,0.9203568491404159,0.8624361253340622,0.9488529981383974,0.9338561977880455,0.8878111045544466,0.9591228038090299,0.9465033261001126,0.9038413906165086,0.9679012378538345,0.9551674136117525,0.9281199583230797,0.9747164418377406,0.9620606828700544,0.9398223733606786,0.979772156391421,0.017313513635860332,0.010106177145281933,0.034531667954847134,0.021504052460502132,0.010203014494587239,0.051249022162007274,0,0,0,0,0,0,0,0,2.1994474971231336e-4,0.9793549943747284,0.5826788170721418,1
CE,2019,0.9098952933008004,0.8516242587722184,0.9363525468302871,0.9254931447059034,0.8824322414297354,0.950014211584437,0.9386483332627018,0.9008819904178155,0.96080762565652,0.9505269064637908,0.9235882636385105,0.9686948824601045,0.9582014101671035,0.93564084135771,0.9754908705124927,0.020034354041165593,0.012788416105418667,0.03616377674903151,0.02362070554483925,0.01245636014296365,0.05564861254340729,0,0,0,0,0,0,0,0,3.0397560203171414e-4,0.9411884887366119,0.5155938345588589,0.9995951326654711
CE,2020,0.898517077156275,0.8449294814611534,0.9273191966119441,0.9175539491677976,0.8757396604244694,0.9406795248091333,0.931013043038171,0.8987304388738382,0.9523728861333767,0.9439023768462571,0.9187648645326071,0.9604786943024537,0.9531123508822289,0.9296890219253694,0.9698759410783553,0.022384445838015757,0.01461516166445092,0.03736051813277336,0.02676670334354697,0.014176595092835828,0.05762731271301455,0,0,0,0,0,0,0,0,3.9516268519167435e-4,0.893618912835469,0.483241239187862,0.9902370674556709
CE,2021,0.8882616459326893,0.8433423831635295,0.9145126780646744,0.9080808013400158,0.8710165699128107,0.9314226231405616,0.9255821157933798,0.8948442281350086,0.9473136211455202,0.9368786465214931,0.9120371118914918,0.9564950920029279,0.9489222286564165,0.9238372157787815,0.9635144012114951,0.024712228316870657,0.01697539754251817,0.039921794280480746,0.0291105010039166,0.016573985585057013,0.05924442702843204,0,0,0,0,0,0,0,0,0.001905834703796558,0.8169239356281099,0.40229664112357383,0.9708717114512387
CE,2022,0.8640522561511299,0.8171518531053406,0.9023685627469351,0.8863182975979106,0.8444153289646643,0.9203351704827069,0.9086516420905829,0.8725435824626523,0.935898268865124,0.9233682935612894,0.8946925521311981,0.9460135363016027,0.9368426708794582,0.9066261237015547,0.9586072955907851,0.030304599015921696,0.019180756791344962,0.046918489290717375,0.035298928146346165,0.019767234164292262,0.07069979256995063,0,0,0,0,0,0,4.6351825885393695e-5,0,0.01425949834030045,0.5959953460742434,0.16614729789409682,0.909073201842478
