uf,ensemble_id,population_valid_member
RN,53,3507821.7576041836
PB,53,3955894.870931454
PE,53,8629317.96753044
AL,53,3240735.70037111
SE,53,2355418.1888673343
BA,53,11954097.590811327
MG,53,21621219.42816297
ES,53,3526464.369977629
RJ,53,14734392.121075094
SP,53,44800008.41187476
PR,53,11565177.68314045
SC,53,6731200.931452617
RS,53,11148654.159974465
MS,53,3016644.6672508125
MT,53,3856895.956432085
GO,53,7355714.437435157
DF,53,3202296.1569077363
RO,54,1847002.224805989
AC,54,1043746.7574866614
AM,54,4421603.470109693
RR,54,642204.9111020697
PA,54,9101773.136145487
AP,54,809802.386247158
TO,54,1694476.827267029
MA,54,6976988.781082074
PI,54,3445902.713711337
CE,54,9231781.187078971
RN,54,3507821.7576041836
PB,54,3955894.870931454
PE,54,8629317.96753044
AL,54,3240735.70037111
SE,54,2355418.1888673343
BA,54,11954097.590811327
MG,54,21621219.42816297
ES,54,3526464.369977629
RJ,54,14734392.121075094
SP,54,44800008.41187476
PR,54,11565177.68314045
SC,54,6731200.931452617
RS,54,11148654.159974465
MS,54,3016644.6672508125
MT,54,3856895.956432085
GO,54,7355714.437435157
DF,54,3202296.1569077363
RO,55,1847002.224805989
AC,55,1043746.7574866614
AM,55,4421603.470109693
RR,55,642204.9111020697
PA,55,9101773.136145487
AP,55,809802.386247158
TO,55,1694476.827267029
MA,55,6976988.781082074
PI,55,3445902.713711337
CE,55,9231781.187078971
RN,55,3507821.7576041836
PB,55,3955894.870931454
PE,55,8629317.96753044
AL,55,3240735.70037111
SE,55,2355418.1888673343
BA,55,11954097.590811327
MG,55,21621219.42816297
ES,55,3526464.369977629
RJ,55,14734392.121075094
SP,55,44800008.41187476
PR,55,11565177.68314045
SC,55,6731200.931452617
RS,55,11148654.159974465
MS,55,3016644.6672508125
MT,55,3856895.956432085
GO,55,7355714.437435157
DF,55,3202296.1569077363
RO,56,1847002.224805989
AC,56,1043746.7574866614
AM,56,4421603.470109693
RR,56,642204.9111020697
PA,56,9101773.136145487
AP,56,809802.386247158
TO,56,1694476.827267029
MA,56,6976988.781082074
PI,56,3445902.713711337
CE,56,9231781.187078971
RN,56,3507821.7576041836
PB,56,3955894.870931454
PE,56,8629317.96753044
AL,56,3240735.70037111
SE,56,2355418.1888673343
BA,56,11954097.590811327
MG,56,21621219.42816297
ES,56,3526464.369977629
RJ,56,14734392.121075094
SP,56,44800008.41187476
PR,56,11565177.68314045
SC,56,6731200.931452617
RS,56,11148654.159974465
MS,56,3016644.6672508125
MT,56,3856895.956432085
GO,56,7355714.437435157
DF,56,3202296.1569077363
RO,57,1847002.224805989
AC,57,1043746.7574866614
AM,57,4421603.470109693
RR,57,642204.9111020697
PA,57,9101773.136145487
AP,57,809802.386247158
TO,57,1694476.827267029
MA,57,6976988.781082074
PI,57,3445902.713711337
CE,57,9231781.187078971
RN,57,3507821.7576041836
PB,57,3955894.870931454
PE,57,8629317.96753044
AL,57,3240735.70037111
SE,57,2355418.1888673343
BA,57,11954097.590811327
MG,57,21621219.42816297
ES,57,3526464.369977629
RJ,57,14734392.121075094
SP,57,44800008.41187476
PR,57,11565177.68314045
SC,57,6731200.931452617
RS,57,11148654.159974465
MS,57,3016644.6672508125
MT,57,3856895.956432085
GO,57,7355714.437435157
DF,57,3202296.1569077363
RO,58,1847002.224805989
AC,58,1043746.7574866614
AM,58,4421603.470109693
RR,58,642204.9111020697
PA,58,9101773.136145487
AP,58,809802.386247158
TO,58,1694476.827267029
MA,58,6976988.781082074
PI,58,3445902.713711337
CE,58,9231781.187078971
RN,58,3507821.7576041836
PB,58,3955894.870931454
PE,58,8629317.96753044
AL,58,3240735.70037111
SE,58,2355418.1888673343
BA,58,11954097.590811327
MG,58,21621219.42816297
ES,58,3526464.369977629
RJ,58,14734392.121075094
SP,58,44800008.41187476
PR,58,11565177.68314045
SC,58,6731200.931452617
RS,58,11148654.159974465
MS,58,3016644.6672508125
MT,58,3856895.956432085
GO,58,7355714.437435157
DF,58,3202296.1569077363
RO,59,1847002.224805989
AC,59,1043746.7574866614
AM,59,4421603.470109693
RR,59,642204.9111020697
PA,59,9101773.136145487
AP,59,809802.386247158
TO,59,1694476.827267029
MA,59,6976988.781082074
PI,59,3445902.713711337
CE,59,9231781.187078971
RN,59,3507821.7576041836
PB,59,3955894.870931454
PE,59,8629317.96753044
AL,59,3240735.70037111
SE,59,2355418.1888673343
BA,59,11954097.590811327
MG,59,21621219.42816297
ES,59,3526464.369977629
RJ,59,14734392.121075094
SP,59,44800008.41187476
PR,59,11565177.68314045
SC,59,6731200.931452617
RS,59,11148654.159974465
MS,59,3016644.6672508125
MT,59,3856895.956432085
GO,59,7355714.437435157
DF,59,3202296.1569077363
RO,60,1847002.224805989
AC,60,1043746.7574866614
AM,60,4421603.470109693
RR,60,642204.9111020697
PA,60,9101773.136145487
AP,60,809802.386247158
TO,60,1694476.827267029
MA,60,6976988.781082074
PI,60,3445902.713711337
CE,60,9231781.187078971
RN,60,3507821.7576041836
PB,60,3955894.870931454
PE,60,8629317.96753044
AL,60,3240735.70037111
SE,60,2355418.1888673343
BA,60,11954097.590811327
MG,60,21621219.42816297
ES,60,3526464.369977629
RJ,60,14734392.121075094
SP,60,44800008.41187476
PR,60,11565177.68314045
SC,60,6731200.931452617
RS,60,11148654.159974465
MS,60,3016644.6672508125
MT,60,3856895.956432085
GO,60,7355714.437435157
DF,60,3202296.1569077363
RO,61,1847002.224805989
AC,61,1043746.7574866614
AM,61,4421603.470109693
RR,61,642204.9111020697
PA,61,9101773.136145487
