uf,state_name,n_cells,n_valid_cells,population_total,population_valid_foi,population_coverage,population_coverage_min_member,population_coverage_max_member,foi_pwmean_mid,foi_pwmean_mean,foi_pwmean_sd,foi_pwmean_lo,foi_pwmean_q25,foi_pwmean_q75,foi_pwmean_hi,foi_equiv_mid,foi_equiv_mean,foi_equiv_sd,foi_equiv_lo,foi_equiv_q25,foi_equiv_q75,foi_equiv_hi,arithmetic_minus_equivalent,arithmetic_vs_equivalent_relative_difference,old_foi_mid_wmean,old_foi_lo_wmean,old_foi_hi_wmean,old_interval_width,new_foi_pwmean_ensemble_width,old_minus_new_midpoint,old_minus_new_lower,old_minus_new_upper,old_minus_new_interval_width
MG,Minas Gerais,28902,28902,21621219.42816297,21621219.42816297,1,1,1,0.014470638642125569,0.014599971131878496,0.0027895357759295165,0.010167585821811013,0.012481405834178132,0.01630606907377354,0.020549752360595835,0.014465727865673756,0.014594161357741855,0.0027872330364137445,0.010164795129638828,0.012477278759996008,0.01630005330365545,0.02053604701249863,4.910776451812898e-6,3.3947662346571966e-4,0.014312999592596862,0.008913886122634067,0.022113908146303648,0.01320002202366958,0.010382166538784822,-1.5763904952870687e-4,-0.001253699699176946,0.0015641557857078124,0.0028178554848847584
MS,Mato Grosso do Sul,17982,17982,3016644.6672508125,3016644.6672508125,1,1,1,0.010529575490135203,0.010421270545395557,0.002002495806031136,0.007268216774647037,0.008751249377467206,0.011721306888884037,0.014039669187565447,0.010523515797457143,0.010415566351811177,0.0020019796927841817,0.007263094839762509,0.00874515590592903,0.011714636981292529,0.014033851907503883,6.059692678059975e-6,5.758239731558357e-4,0.010054576312580438,0.005976408748375872,0.016019102709822014,0.010042693961446143,0.00677145241291841,-4.7499917755476455e-4,-0.0012918080262711651,0.001979433522256567,0.003271241548527733
MT,Mato Grosso,43526,43526,3856895.956432085,3856895.956432085,1,1,1,0.00934447300799783,0.009362354486542185,0.0017786797237103983,0.005840121950976714,0.008272505334780385,0.010567046419769185,0.012839519664060172,0.00933605691754084,0.009353873436453788,0.0017771872933344546,0.005836364464780499,0.008267194586896818,0.01055973073020663,0.012833192104056496,8.416090456989794e-6,9.014609198855046e-4,0.00891230017423726,0.00463640228872106,0.015458127979368672,0.010821725690647613,0.006999397713083458,-4.3217283376057077e-4,-0.0012037196622556546,0.0026186083153084995,0.003822327977564155
PA,Para,58218,57713,9595782.414332904,9101773.136145487,0.9485180825432712,0.9485180825432712,0.9485180825432712,0.010566305982729896,0.010669589968368866,0.001835078205200344,0.007087196742799654,0.009420232599418385,0.011732827941801126,0.01440468284367891,0.010559833088049645,0.010659994949893678,0.00183398148817684,0.007082198430229523,0.009414712141722369,0.011716382527885373,0.014395926773917607,6.472894680250446e-6,6.129732000760215e-4,0.010212753340756171,0.005459099309649701,0.017390110097191717,0.011931010787542017,0.007317486100879256,-3.535526419737242e-4,-0.0016280974331499528,0.002985427253512807,0.00461352468666276
PB,Paraiba,2685,2654,4183993.89873866,3955894.870931454,0.9454829444478945,0.9454829444478945,0.9454829444478945,0.011532700506647363,0.011584498805912747,0.0016710088077309987,0.00836979434259123,0.010508910749029298,0.012645981773836246,0.015317627128453422,0.01152689508359123,0.01157534051499604,0.0016677397047474903,0.008366059173296626,0.010502830782985001,0.012634089031799394,0.015301576032243852,5.80542305613288e-6,5.036415282721726e-4,0.01121890321484567,0.006846570839104731,0.01837983038277797,0.011533259543673239,0.006947832785862192,-3.1379729180169326e-4,-0.0015232235034864988,0.003062203254324547,0.004585426757811047
PE,Pernambuco,4665,4591,9858577.02394141,8629317.96753044,0.8753107011868211,0.8753107011868211,0.8753107011868211,0.010844850166820876,0.010982532185847823,0.0017549653849329716,0.0077655936580246195,0.009748162960058322,0.012048688628205349,0.015067583694438655,0.010839882886850281,0.010975002677536228,0.0017520616407555357,0.0077626256046964045,0.009741089395735973,0.012037669525655085,0.015053065418371845,4.967279970595137e-6,4.58241110392519e-4,0.010600172108426304,0.006391725206736134,0.0174859410296299,0.011094215822893766,0.007301990036414035,-2.446780583945721e-4,-0.0013738684512884852,0.0024183573351912457,0.003792225786479731
PI,Piaui,11888,11883,3446124.041444692,3445902.713711337,0.9999357748790546,0.9999357748790546,0.9999357748790546,0.013580154673500898,0.013790485272131899,0.002189537186084737,0.010261013048980729,0.012223559759510014,0.014926101281985711,0.017919081579425143,0.013573980841173372,0.013779684544897664,0.0021882125978205337,0.010253478576547629,0.01221582529356564,0.014908666741210526,0.017908183493247055,6.173832327526288e-6,4.5482842504090384e-4,0.013411408410550477,0.008006011414385247,0.02154870218790623,0.013542690773520985,0.007658068530444415,-1.6874626295042099e-4,-0.0022550016345954816,0.0036296206084810885,0.00588462224307657
PR,Parana,10298,10246,11626538.08116765,11565177.68314045,0.9947223844622682,0.9947223844622682,0.9947223844622682,0.015021550370782673,0.014895924919541333,0.0032482305733710793,0.009830869476591751,0.012582570988404346,0.016151899666320114,0.02127599382419203,0.015019820154524587,0.014892709555890922,0.0032468033089721906,0.009828248215346684,0.012578750665588695,0.016149219790612485,0.02127348306051044,1.7302162580862257e-6,1.1519553764863245e-4,0.014595055836517871,0.009053370641539923,0.022432025908054962,0.013378655266515039,0.01144512434760028,-4.26494534264802e-4,-7.774988350518278e-4,0.0011560320838629318,0.0019335309189147595
RJ,Rio de Janeiro,2335,2114,17835849.29389062,14734392.121075094,0.8261110462579496,0.8261110462579496,0.8261110462579496,0.012594438704990475,0.012800655426783207,0.0022271987516146712,0.00933036844112509,0.01110525232560039,0.014392323353981154,0.017299153975820634,0.012591634903437808,0.012793870758487765,0.002224425720279728,0.009324127829728357,0.011099333320891167,0.01438572957525947,0.017277387949680305,2.803801552667129e-6,2.2267176376767613e-4,0.012386477484157122,0.007802491317614784,0.019577763792038138,0.011775272474423355,0.007968785534695544,-2.079612208333529e-4,-0.0015278771235103057,0.002278609816217504,0.0038064869397278107
RN,Rio Grande do Norte,2535,2450,3658388.2368735946,3507821.7576041836,0.9588434934948067,0.9588434934948067,0.9588434934948067,0.011672973727864112,0.011817480392718826,0.001743830065425782,0.008657735762401603,0.01080749311323067,0.01275517664505813,0.016264905266293737,0.011665293957308712,0.01181001809924447,0.0017423116500619599,0.008652995132678386,0.010796566284840402,0.012747973646489986,0.01625417762532274,7.679770555400756e-6,6.583435088310923e-4,0.011353297812341484,0.006877201991366627,0.018660608737676224,0.011783406746309597,0.007607169503892133,-3.1967591552262836e-4,-0.0017805337710349763,0.0023957034713824876,0.004176237242417464
RO,Rondonia,11488,11488,1847002.224805989,1847002.224805989,1,1,1,0.00818316404897427,0.008226346101395308,0.0014175354308878431,0.005577312522302332,0.007303968223981399,0.0091898276509533,0.010852548495604752,0.008180253155498727,0.008222078006004293,0.001416639019968914,0.005574741247780695,0.00730003716462293,0.009185562402996814,0.010844057779321271,2.910893475543616e-6,3.558439354149972e-4,0.007917412244277004,0.004361277478307982,0.013362756031915151,0.009001478553607169,0.00527523597330242,-2.65751804697267e-4,-0.0012160350439943497,0.0025102075363103993,0.003726242580304749
RR,Roraima,10715,10715,642204.9111020697,642204.9111020697,1,1,1,0.014251618440848081,0.01418346537872495,0.002175577398918902,0.010609951681528786,0.012528799528886244,0.015449034595176183,0.01850503184310935,0.014247632629602418,0.014177417044972874,0.0021735871834751407,0.010606799343412583,0.012522096369748813,0.015437421522688385,0.018495807379866835,3.985811245662413e-6,2.797525279660188e-4,0.013865119336548513,0.009000791541584478,0.019748882966718527,0.010748091425134049,0.007895080161580565,-3.8649910429956746e-4,-0.001609160139944308,0.0012438511236091757,0.0028530112635534836
RS,Rio Grande do Sul,15067,14757,11508148.351196822,11148654.159974465,0.9687617694652876,0.9687617694652876,0.9687617694652876,0.014927104263291299,0.014784482073119751,0.003112334496090598,0.009480304196366845,0.012666725172329694,0.015987373727250752,0.0212791907439729,0.014920428864341674,0.014780752438571819,0.0031111704935282494,0.009477558340117443,0.012663571200837324,0.015983312345446483,0.02127543954327115,6.6753989496244615e-6,4.473999380525847e-4,0.014348894051787185,0.00897973553311935,0.022142424037043664,0.013162688503924314,0.011798886547606056,-5.782102115041137e-4,-5.00568663247495e-4,8.632332930707635e-4,0.0013638019563182585
SC,Santa Catarina,5114,4958,7432976.180653965,6731200.931452617,0.905586237309911,0.905586237309911,0.905586237309911,0.015230361241705397,0.015391307254204987,0.0030936978727542763,0.010493901679460528,0.013217346284467026,0.01679946300208754,0.022233335360850356,0.015226331564213354,0.015387521593173317,0.003092821239373507,0.010487040092634278,0.013215233674918576,0.01679690525400536,0.02223007063378963,4.029677492042513e-6,2.6465189432190724e-4,0.014857269219886844,0.009695972812517153,0.02267077506198105,0.012974802249463896,0.011739433681389829,-3.730920218185524e-4,-7.979288669433746e-4,4.3743970113069297e-4,0.0012353685680740675
SE,Sergipe,1062,1027,2381290.96161077,2355418.1888673343,0.9891349804956491,0.9891349804956491,0.9891349804956491,0.011041102260055329,0.011161008059506624,0.001900152537741042,0.007460423356497995,0.00987275144458913,0.012173555071301391,0.014996718133941711,0.011037260629191194,0.011155819912788557,0.0018968366081958878,0.007458457591669366,0.009870445657438241,0.012167619082045545,0.014981614473475022,3.841630864134457e-6,3.480601748203866e-4,0.010862482494665435,0.006908870519256431,0.017420214965379027,0.010511344446122596,0.007536294777443716,-1.7861976538989348e-4,-5.515528372415637e-4,0.0024234968314373155,0.00297504966867888
SP,Sao Paulo,12623,12460,46218843.13736334,44800008.41187476,0.9693018122225221,0.9693018122225221,0.9693018122225221,0.016591870017741657,0.01654565444717269,0.0029571687170734354,0.011589669119061112,0.014305429563191342,0.01791312480288379,0.022567481505701974,0.016588082470099314,0.016541292680674637,0.0029547649766619908,0.011588181442948414,0.014302977994069148,0.017908051045215714,0.022563033481362432,3.78754764234282e-6,2.2832944369368955e-4,0.016320614268509562,0.010989167983553181,0.023536771589797636,0.012547603606244455,0.010977812386640862,-2.7125574923209453e-4,-6.005011355079311e-4,9.692900840956621e-4,0.0015697912196035932
TO,Tocantins,13192,13192,1694476.827267029,1694476.827267029,1,1,1,0.007983915030778194,0.008273986647040887,0.001956175200112734,0.004852733937617527,0.0069826599248932015,0.009366509666618955,0.012146122301453385,0.007981117715486659,0.008270536359085166,0.0019561825545825725,0.004850593797502824,0.006979174050748096,0.00936358930192445,0.012141909101275328,2.7973152915347632e-6,3.504916718753337e-4,0.007942346421524284,0.004033278473551903,0.013768901233559748,0.009735622760007844,0.007293388363835859,-4.156860925390998e-5,-8.194554640656238e-4,0.0016227789321063626,0.0024422343961719856
