checkpoint,q,n_munis,median_A,pop_weighted_mean_A,p90_A,p95_A,max_A,n_gt_025,pct_gt_025,n_gt_050,pct_gt_050,n_gt_075,pct_gt_075,n_gt_100,pct_gt_100
2017-12-31,0.3,414,0,0.0028615585807480488,0.002275417220339828,0.006773250711495786,0.14589262523831892,0,0,0,0,0,0,0,0
2017-12-31,0.359,414,0,0.002391274580012297,0.0019014628582226974,0.005660098087600936,0.1219158428175367,0,0,0,0,0,0,0,0
2018-12-31,0.05,414,0,0.022212383780013518,0.016759717854903995,0.059431619793705384,0.9107635694572216,8,1.932367149758454,4,0.966183574879227,1,0.24154589371980675,0,0
2018-12-31,0.1,414,0,0.011106191890006759,0.008379858927451998,0.029715809896852692,0.4553817847286108,4,0.966183574879227,0,0,0,0,0,0
2018-12-31,0.136,414,0,0.00816631756618144,0.006161660976067646,0.021849860218274036,0.33483954759456674,1,0.24154589371980675,0,0,0,0,0,0
2018-12-31,0.15,414,0,0.007404127926671173,0.005586572618301333,0.01981053993123513,0.30358785648574055,1,0.24154589371980675,0,0,0,0,0,0
2018-12-31,0.2,414,0,0.0055530959450033794,0.004189929463725999,0.014857904948426346,0.2276908923643054,0,0,0,0,0,0,0,0
2018-12-31,0.25,414,0,0.004442476756002703,0.003351943570980799,0.011886323958741077,0.18215271389144433,0,0,0,0,0,0,0,0
2018-12-31,0.3,414,0,0.0037020639633355864,0.0027932863091506663,0.009905269965617565,0.15179392824287027,0,0,0,0,0,0,0,0
2018-12-31,0.359,414,0,0.003093646766018596,0.0023342225424657376,0.008277384372382365,0.12684729379627044,0,0,0,0,0,0,0,0
2020-12-31,0.05,414,0.003706518333427662,0.05535042947404992,0.10287665879644664,0.18025763730958172,1.6096753293499388,16,3.864734299516908,8,1.932367149758454,3,0.7246376811594203,1,0.24154589371980675
2020-12-31,0.1,414,0.001853259166713831,0.02767521473702496,0.05143832939822332,0.09012881865479086,0.8048376646749694,8,1.932367149758454,1,0.24154589371980675,1,0.24154589371980675,0,0
2020-12-31,0.136,414,0.0013626905637601698,0.020349422600753644,0.03782230102810538,0.06627119018734622,0.591792400496301,4,0.966183574879227,1,0.24154589371980675,0,0,0,0
2020-12-31,0.15,414,0.001235506111142554,0.01845014315801664,0.03429221959881555,0.060085879103193914,0.5365584431166464,3,0.7246376811594203,1,0.24154589371980675,0,0,0,0
2020-12-31,0.2,414,9.266295833569155e-4,0.01383760736851248,0.02571916469911166,0.04506440932739543,0.4024188323374847,1,0.24154589371980675,0,0,0,0,0,0
2020-12-31,0.25,414,7.413036666855324e-4,0.011070085894809983,0.02057533175928933,0.036051527461916345,0.32193506586998777,1,0.24154589371980675,0,0,0,0,0,0
2020-12-31,0.3,414,6.17753055571277e-4,0.00922507157900832,0.017146109799407776,0.030042939551596957,0.2682792215583232,1,0.24154589371980675,0,0,0,0,0,0
2020-12-31,0.359,414,5.162281801431284e-4,0.007708973464352356,0.014328225459115135,0.025105520516654836,0.22418876453341768,0,0,0,0,0,0,0,0
2022-12-31,0.05,414,0.012690677198449218,0.09340759924788022,0.22634128171631185,0.41008189002815054,1.670637284097677,40,9.66183574879227,16,3.864734299516908,10,2.4154589371980677,3,0.7246376811594203
2022-12-31,0.1,414,0.006345338599224609,0.04670379962394011,0.11317064085815592,0.20504094501407527,0.8353186420488385,16,3.864734299516908,3,0.7246376811594203,1,0.24154589371980675,0,0
2022-12-31,0.136,414,0.004665690146488682,0.03434102913525008,0.08321370651334994,0.1507654007456436,0.61420488385944,11,2.657004830917874,2,0.4830917874396135,0,0,0,0
2022-12-31,0.15,414,0.004230225732816407,0.03113586641596008,0.07544709390543727,0.13669396334271688,0.5568790946992257,10,2.4154589371980677,1,0.24154589371980675,0,0,0,0
2022-12-31,0.2,414,0.0031726692996123045,0.023351899811970056,0.05658532042907796,0.10252047250703764,0.41765932102441927,3,0.7246376811594203,0,0,0,0,0,0
2022-12-31,0.25,414,0.002538135439689844,0.018681519849576046,0.04526825634326237,0.08201637800563012,0.33412745681953543,2,0.4830917874396135,0,0,0,0,0,0
2022-12-31,0.3,414,0.0021151128664082036,0.01556793320798004,0.03772354695271864,0.06834698167135844,0.27843954734961285,1,0.24154589371980675,0,0,0,0,0,0
2022-12-31,0.359,414,0.0017675037880848495,0.013009414937030674,0.03152385539224399,0.05711446936325218,0.23267928747878514,0,0,0,0,0,0,0,0
2025-12-21,0.05,414,0.022353816327055395,0.12481830110657527,0.2961971863226925,0.4849162064021717,2.633107454017425,52,12.560386473429952,21,5.072463768115942,11,2.657004830917874,4,0.966183574879227
2025-12-21,0.1,414,0.011176908163527698,0.062409150553287634,0.14809859316134624,0.24245810320108585,1.3165537270087124,21,5.072463768115942,4,0.966183574879227,4,0.966183574879227,2,0.4830917874396135
2025-12-21,0.136,414,0.00821831482612331,0.04588908128918208,0.10889602438334284,0.17827801705962196,0.9680542110358179,12,2.898550724637681,4,0.966183574879227,2,0.4830917874396135,0,0
2025-12-21,0.15,414,0.007451272109018466,0.04160610036885843,0.09873239544089751,0.16163873546739058,0.877702484672475,11,2.657004830917874,4,0.966183574879227,2,0.4830917874396135,0,0
2025-12-21,0.2,414,0.005588454081763849,0.031204575276643817,0.07404929658067312,0.12122905160054293,0.6582768635043562,4,0.966183574879227,2,0.4830917874396135,0,0,0,0
2025-12-21,0.25,414,0.004470763265411079,0.024963660221315055,0.05923943726453851,0.09698324128043434,0.526621490803485,4,0.966183574879227,2,0.4830917874396135,0,0,0,0
2025-12-21,0.3,414,0.003725636054509233,0.020803050184429215,0.04936619772044876,0.08081936773369529,0.4388512423362375,4,0.966183574879227,0,0,0,0,0,0
2025-12-21,0.359,414,0.003113344892347549,0.01738416449952302,0.0412530900170881,0.06753707610058103,0.36672805766259403,3,0.7246376811594203,0,0,0,0,0,0
