fit_id,year,observed_cases,lambda_q025,lambda_median,lambda_q975,weight_q025,weight_median,weight_q975,attack_prob_q025,attack_prob_median,attack_prob_q975,latent_infections_q025,latent_infections_median,latent_infections_q975,S_start_prop_q025,S_start_prop_median,S_start_prop_q975,S_end_prop_q025,S_end_prop_median,S_end_prop_q975,expected_cases_median,predicted_cases_q025,predicted_cases_median,predicted_cases_q975
M1v2_SHAPE_foisd2,2018,1481,9.018930206566876e-4,0.008604533882177481,0.023844071941876967,0.07887832535089143,0.7308134034710998,1.5269541540830036,9.014864373256536e-4,0.008567620829247086,0.02356204803255365,7573.927419592452,72981.87979656315,197493.17585773626,0.8770520930837481,0.9505480797285526,0.9795247903822504,0.871751676519029,0.941396419983459,0.9734015457430201,13253.44484119994,0,4212.5,75185.10000000002
M1v2_SHAPE_foisd2,2019,1205,8.789072879087727e-4,0.0083646269428972915,0.02378211371165731,0.07238842024250441,0.7142627582855017,1.5308063092331974,8.785211620250298e-4,0.008329740788554155,0.023501547445557797,7403.861357040164,70773.25242940968,197288.28085466835,0.871751676519029,0.941396419983459,0.9734015457430201,0.8647095495294072,0.9331012707622546,0.9675963161627469,12820.466632337339,0,3823,72518.82500000001
M1v2_SHAPE_foisd2,2020,1017,7.73752986179179e-4,0.008187810397012558,0.0236313072226454,0.0655094353964773,0.6962250726604348,1.4743575270714193,7.73453716524173e-4,0.008154381575789432,0.023354274381459955,6373.421087868083,69247.58818846909,194384.8523355743,0.8647095495294072,0.9331012707622546,0.9675963161627469,0.8567520860580452,0.9257354202478116,0.9624471842097105,12497.63351909781,0,3740.5,70108.00000000007
M1v2_SHAPE_foisd2,2021,1318,8.479941304471258e-4,0.00838554960423038,0.023748164673326175,0.07787848591238582,0.7045639500244358,1.5037084531436777,8.476346850333634e-4,0.008350488951980619,0.023468396048611773,7106.7904237879275,70355.91667357611,191498.40550027305,0.8567520860580452,0.9257354202478116,0.9624471842097105,0.8490664648478036,0.9184927957309457,0.957360700653902,12524.684596585681,0,4044.5,79984.40000000002
M1v2_SHAPE_foisd2,2022,50986,0.005333226092461227,0.017046029654075204,0.059701907688604804,0.49167717012646966,1.3003153933252496,3.8515831306108526,0.0053190296803450835,0.016901568087170627,0.05795469113747978,44461.78348994624,139944.32890539482,479863.27273340797,0.8490664648478036,0.9184927957309457,0.957360700653902,0.8171414756332447,0.8999706944364205,0.9479620774966446,23052.72174334091,8.975000000000009,20594.5,100606.52500000001
M1v2_SHAPE_foisd2,2023,2008,9.20274608580109e-4,0.008840384635077726,0.026680999001366227,0.08162567189513369,0.7523835569930357,1.6087558142455411,9.198512855839873e-4,0.00880142332996898,0.02632820566974236,7504.489224339597,72977.26231763806,209273.1218378144,0.8171414756332447,0.8999706944364205,0.9479620774966446,0.8099450080819866,0.893256146569742,0.9429649627095894,13181.01036470347,0,4662.5,80099.625
M1v2_SHAPE_foisd2,2024,892,6.781343867212448e-4,0.008213234225301368,0.023758321830805538,0.06195204214789163,0.6995620373692435,1.490420076937411,6.779045035699149e-4,0.008179597764970941,0.023478314785085497,5611.869916162964,67703.01859734693,183453.24446206674,0.8099450080819866,0.893256146569742,0.9429649627095894,0.8024294341760704,0.8866527341671114,0.9382047955834225,12163.682787146354,0,3393.5,70959.32500000001
M1v2_SHAPE_foisd2,2025,690,7.371977149980849e-4,0.00797528186841371,0.023654374057011058,0.06654610178582719,0.6743859748677591,1.4464926805250595,7.369260514732809e-4,0.007943563684445699,0.023376802220560815,6088.346475514911,65439.5551481937,180363.4639923071,0.8024294341760704,0.8866527341671114,0.9382047955834225,0.7926159815843616,0.8806327855658989,0.9343865040129132,11712.695238615823,0,3103.5,70027.65000000001
M1v2_SHAPE_s0_5,2015,25,0.0012312013509563414,0.009790603841288756,0.017589659274849144,0.0986987832751728,0.812196334218279,1.2775313203231904,0.0012304437334427101,0.009742831907978705,0.017435864272192732,10811.778068786572,85609.22656400586,153207.08279848375,1,1,1,0.9828253648802081,0.9904031380125009,0.9987879911298108,15110.773182205692,0,3553.5,83440.32500000001
M1v2_SHAPE_s0_5,2016,30862,0.00552978994903963,0.012984154191565827,0.0330789192740206,0.4386662889741134,1.0278541714655014,2.56056796284514,0.005514528605290416,0.012900223709535068,0.03253779481308254,47761.1737464174,112849.9765244539,286077.7379929388,0.9828253648802081,0.9904031380125009,0.9987879911298108,0.9602019183243464,0.9774110859920387,0.990254724626797,19022.69565854138,0,10440.5,100234.12500000001
M1v2_SHAPE_s0_5,2017,107387,0.007324309164714998,0.014724206577193068,0.07247307942863472,0.6525938242086775,1.1328169843882354,5.697616155307966,0.0072975517786538924,0.014616335534955198,0.06990921479789136,63408.135794779286,126956.9472401277,610076.8893170898,0.9602019183243464,0.9774110859920387,0.990254724626797,0.9131975576125402,0.9611744875664552,0.9757768242069501,20736.878402193888,1,17062,124210.80000000003
