week_start,week_of_year,t,year,cases,Tmean,PRCP,population
2016-09-11,36,90,2016,7,23.396659917601788,2.5343729109379796,17043727
2016-09-18,37,91,2016,3,21.274977319635507,15.549558079694553,17043727
2016-09-25,38,92,2016,12,19.471199481301188,29.333017425697925,17043727
2016-10-02,39,93,2016,2,19.43185813106552,59.09406130381358,17043727
2016-10-09,40,94,2016,6,22.4472677428522,10.502991777221927,17043727
2016-10-16,41,95,2016,11,25.947500681310164,7.626178346111872,17043727
2016-10-23,42,96,2016,9,23.06991842665312,28.50939404402183,17043727
2016-10-30,43,97,2016,7,22.45690166029851,49.23466277536657,17043727
2016-11-06,44,98,2016,3,24.00804168317467,36.317332530780725,17043727
2016-11-13,45,99,2016,9,22.045231287037502,117.83878607187609,17043727
2016-11-20,46,100,2016,15,21.796319378253123,7.949525717738992,17043727
2016-11-27,47,101,2016,9,23.49539856504087,16.561555310566558,17043727
2016-12-04,48,102,2016,10,24.489850591731432,42.90360591911052,17043727
2016-12-11,49,103,2016,21,24.06117582787466,91.06632276767309,17043727
2016-12-18,50,104,2016,12,25.96702628169996,13.551695798341926,17043727
2016-12-25,51,105,2016,19,28.7098952518213,3.8033693081589655,17043727
2017-01-01,52,106,2017,123,28.23726364582737,45.37572608177393,17100398
2017-01-08,1,107,2017,128,26.58777449398385,88.4250264795034,17100398
2017-01-15,2,108,2017,141,26.44632408910295,24.18916585218505,17100398
2017-01-22,3,109,2017,176,27.321297924506357,13.857406923354898,17100398
2017-01-29,4,110,2017,138,26.51865907754261,29.88153219421742,17100398
2017-02-05,5,111,2017,143,25.833588235973245,31.923324500651812,17100398
2017-02-12,6,112,2017,123,27.2415126894112,0.7369805326617306,17100398
2017-02-19,7,113,2017,90,27.648350989269467,7.909131256597352,17100398
2017-02-26,8,114,2017,112,26.898546820830212,38.469692476351284,17100398
2017-03-05,9,115,2017,128,26.29384042923777,51.540921864682694,17100398
2017-03-12,10,116,2017,101,25.629884958926947,77.73720685453381,17100398
2017-03-19,11,117,2017,89,22.388505165703606,54.01240898064211,17100398
2017-03-26,12,118,2017,113,21.941107336014177,21.729070719309934,17100398
2017-04-02,13,119,2017,118,23.85180007584967,31.268436092623837,17100398
2017-04-09,14,120,2017,111,23.674705360667744,21.774894403166982,17100398
2017-04-16,15,121,2017,98,22.753545321385374,8.00580917124571,17100398
2017-04-23,16,122,2017,106,21.94099430986151,24.36795208888852,17100398
2017-04-30,17,123,2017,135,21.178729375484032,12.491731602315207,17100398
2017-05-07,18,124,2017,97,20.877781600794677,9.937636761682725,17100398
2017-05-14,19,125,2017,119,20.481672416572472,34.786999845284036,17100398
2017-05-21,20,126,2017,93,21.28162172690405,13.678625630367504,17100398
2017-05-28,21,127,2017,101,21.064094433154466,0.9780713658549981,17100398
2017-06-04,22,128,2017,90,22.693902969485958,3.508877713597542,17100398
2017-06-11,23,129,2017,81,20.041479510847186,13.203556229519325,17100398
2017-06-18,24,130,2017,85,19.949857409788724,26.351375722383544,17100398
2017-06-25,25,131,2017,82,19.56972902404209,3.0464406440395337,17100398
2017-07-02,26,132,2017,60,17.34409993854093,11.525347628691945,17100398
2017-07-09,27,133,2017,91,19.478718909862025,1.2075328362157849,17100398
2017-07-16,28,134,2017,52,19.003579029505833,6.711765672254512,17100398
2017-07-23,29,135,2017,72,19.278565775810307,0.9459118975436758,17100398
2017-07-30,30,136,2017,57,19.415334076603855,4.806735036007449,17100398
2017-08-06,31,137,2017,67,19.50194823280014,2.4544655314744923,17100398
2017-08-13,32,138,2017,39,20.16712318484297,27.23024728356743,17100398
2017-08-20,33,139,2017,27,18.824719439828655,17.67057798635029,17100398
2017-08-27,34,140,2017,30,20.041128030654377,3.590166999019421,17100398
2017-09-03,35,141,2017,25,20.581360704103048,0.0944963241464798,17100398
2017-09-10,36,142,2017,37,23.62321440228326,0.043897480488658734,17100398
2017-09-17,37,143,2017,24,23.46272804263926,0.045816033738092315,17100398
2017-09-24,38,144,2017,29,22.681988114603598,9.259171446628189,17100398
2017-10-01,39,145,2017,28,23.622363194010138,23.8282384693879,17100398
2017-10-08,40,146,2017,22,26.10937973839482,0.521073018371588,17100398
2017-10-15,41,147,2017,34,23.589601898601654,10.237890679263348,17100398
2017-10-22,42,148,2017,21,23.788807327578102,39.34164666338178,17100398
2017-10-29,43,149,2017,27,23.231253237209383,11.362991199049713,17100398
2017-11-05,44,150,2017,21,22.64400289289054,28.05575206282626,17100398
2017-11-12,45,151,2017,28,24.623827833621913,2.97400793238756,17100398
2017-11-19,46,152,2017,41,23.386606515718007,110.65472634954322,17100398
2017-11-26,47,153,2017,19,22.7235704806383,74.34775555366534,17100398
2017-12-03,48,154,2017,45,23.37940677081867,32.94297603995143,17100398
2017-12-10,49,155,2017,74,23.552789988988987,10.578996575133537,17100398
2017-12-17,50,156,2017,60,26.231101967969064,16.752816750077315,17100398
2017-12-24,51,157,2017,54,25.81364624455171,71.72397913022178,17100398
2017-12-31,52,158,2017,120,25.305029686209384,99.78042780418562,17100398
2018-01-07,1,159,2018,129,24.77801295697141,50.149253477677064,17148943
2018-01-14,2,160,2018,253,27.217988339173395,17.69711783788669,17148943
2018-01-21,3,161,2018,212,26.29957162731843,52.986076542624275,17148943
2018-01-28,4,162,2018,253,24.056835536407995,50.823451001187614,17148943
2018-02-04,5,163,2018,271,23.749235585766638,47.91824164919109,17148943
2018-02-11,6,164,2018,292,25.356860169690655,33.317186147562374,17148943
2018-02-18,7,165,2018,451,25.03454235240393,103.44878711495947,17148943
2018-02-25,8,166,2018,671,24.901848962504893,57.14748691104631,17148943
2018-03-04,9,167,2018,807,24.82938938765553,77.59152156520352,17148943
2018-03-11,10,168,2018,1002,26.071034419024052,32.934958919604114,17148943
2018-03-18,11,169,2018,1214,25.394433468726046,58.93438220134225,17148943
2018-03-25,12,170,2018,1192,25.069296134478062,2.7706396814300187,17148943
2018-04-01,13,171,2018,1360,24.782788298432788,48.32401621278201,17148943
2018-04-08,14,172,2018,1340,23.63750698227818,6.498500462656085,17148943
2018-04-15,15,173,2018,1376,21.45268303098974,43.28898542137837,17148943
2018-04-22,16,174,2018,1224,22.862932367421013,6.057157330440383,17148943
2018-04-29,17,175,2018,1571,22.941241580019494,5.422293107604295,17148943
2018-05-06,18,176,2018,1382,21.682158403234258,20.276875600892687,17148943
2018-05-13,19,177,2018,1401,22.176346153425836,19.585758747138293,17148943
2018-05-20,20,178,2018,1082,19.47462608371856,16.790073574276857,17148943
2018-05-27,21,179,2018,1018,20.05551134953893,1.6128925456244751,17148943
2018-06-03,22,180,2018,1116,19.93331477978415,17.754569468895536,17148943
2018-06-10,23,181,2018,1030,21.319049025503933,18.00328869614061,17148943
2018-06-17,24,182,2018,820,20.31750142226525,4.362945897381934,17148943
2018-06-24,25,183,2018,926,21.5922020514095,0.1782478079693282,17148943
2018-07-01,26,184,2018,914,21.483047113095395,8.088802309696852,17148943
2018-07-08,27,185,2018,838,18.91436065990906,20.680079016818432,17148943
2018-07-15,28,186,2018,728,21.45024924008382,0.032843373603055184,17148943
2018-07-22,29,187,2018,607,20.57649293564695,6.786686785814476,17148943
2018-07-29,30,188,2018,485,20.101334155963343,44.87642990109079,17148943
2018-08-05,31,189,2018,408,19.62079049929785,20.073893513241007,17148943
2018-08-12,32,190,2018,411,18.301872069647033,11.507897678911986,17148943
