checkpoint,q,q_label,n_munis,median_A,pop_weighted_mean_A,p90_A,p95_A,max_A,n_gt_025,pct_gt_025,n_gt_050,pct_gt_050,n_gt_075,pct_gt_075,n_gt_100,pct_gt_100
2022-12-31,0.05,fixed q=0.05,184,0.030375213420716356,0.12035649338918285,0.2235242213006266,0.4945797210718711,1.6942384483742157,16,8.695652173913043,10,5.434782608695652,4,2.1739130434782608,2,1.0869565217391304
2022-12-31,0.1,fixed q=0.10,184,0.015187606710358178,0.060178246694591424,0.1117621106503133,0.24728986053593555,0.8471192241871078,10,5.434782608695652,2,1.0869565217391304,1,0.5434782608695652,0,0
2022-12-31,0.15,fixed q=0.15,184,0.010125071140238785,0.04011883112972762,0.07450807376687554,0.16485990702395706,0.5647461494580719,4,2.1739130434782608,1,0.5434782608695652,0,0,0,0
2022-12-31,0.2,fixed q=0.20,184,0.007593803355179089,0.030089123347295712,0.05588105532515665,0.12364493026796777,0.4235596120935539,2,1.0869565217391304,0,0,0,0,0,0
2022-12-31,0.25,fixed q=0.25,184,0.006075042684143271,0.02407129867783657,0.04470484426012532,0.09891594421437423,0.33884768967484313,2,1.0869565217391304,0,0,0,0,0,0
2022-12-31,0.3,fixed q=0.30,184,0.005062535570119393,0.02005941556486381,0.03725403688343777,0.08242995351197853,0.28237307472903594,1,0.5434782608695652,0,0,0,0,0,0
2025-12-21,0.007454145308640366,global-q 2.5%,184,0.25072202957135026,0.8237278842708197,1.5106978071393544,3.338382004780827,11.271223580468838,93,50.54347826086957,55,29.891304347826086,38,20.652173913043477,30,16.304347826086957
2025-12-21,0.009820323685458794,global-q median,184,0.1903112871187156,0.6252530507956188,1.1466995724932674,2.5340085883557957,8.555455101688256,72,39.130434782608695,45,24.456521739130434,30,16.304347826086957,21,11.41304347826087
2025-12-21,0.01510174051658718,global-q 97.5%,184,0.12375516838269884,0.40658805767384465,0.7456730540094034,1.6478090410872785,5.563420870773604,55,29.891304347826086,29,15.760869565217392,19,10.326086956521738,13,7.065217391304348
2025-12-21,0.05,fixed q=0.05,184,0.03737836881004143,0.1228037468826717,0.22521921943722217,0.49769569118772844,1.6803467674997692,17,9.239130434782608,10,5.434782608695652,4,2.1739130434782608,2,1.0869565217391304
2025-12-21,0.1,fixed q=0.10,184,0.018689184405020716,0.06140187344133585,0.11260960971861109,0.24884784559386422,0.8401733837498846,10,5.434782608695652,2,1.0869565217391304,1,0.5434782608695652,0,0
2025-12-21,0.15,fixed q=0.15,184,0.01245945627001381,0.0409345822942239,0.07507307314574073,0.16589856372924283,0.5601155891665898,4,2.1739130434782608,1,0.5434782608695652,0,0,0,0
2025-12-21,0.2,fixed q=0.20,184,0.009344592202510358,0.030700936720667926,0.05630480485930554,0.12442392279693211,0.4200866918749423,2,1.0869565217391304,0,0,0,0,0,0
2025-12-21,0.25,fixed q=0.25,184,0.007475673762008287,0.02456074937653434,0.04504384388744443,0.09953913823754569,0.33606935349995387,2,1.0869565217391304,0,0,0,0,0,0
2025-12-21,0.3,fixed q=0.30,184,0.006229728135006905,0.02046729114711195,0.037536536572870365,0.08294928186462142,0.2800577945832949,1,0.5434782608695652,0,0,0,0,0,0
