state,q,wave_id,wave_onset,observed_total,predicted_total_median,predicted_total_lo,predicted_total_hi,total_ratio,observed_peak,predicted_peak_median,peak_ratio,observed_peak_week,predicted_peak_week,epidemic_width_weeks_observed,epidemic_width_weeks_predicted_median,pre_wave_susceptible,post_wave_susceptible,max_rhat,divergences,min_bulk_ess,min_tail_ess,bfmi_min
BA,0.1,BA_wave_03,2016-10-16,6654,6540.5,4993.8499999999995,8624.774999999996,0.9829425909227533,422,561,1.3293838862559242,2017-01-15,2017-03-12,27,26,0.9955206612670986,0.9910658763374185,1.001243594949482,0,668.2521501170626,863.4832784474938,0.7983135539876588
BA,0.1,BA_wave_04,2017-11-12,3383,3240.5,2453.975,4261.125,0.9578776234111736,181,271,1.4972375690607735,2018-06-03,2018-04-01,27,28,0.9910578170282935,0.9889881030791805,1.001243594949482,0,668.2521501170626,863.4832784474938,0.7983135539876588
BA,0.1,BA_wave_05,2019-02-03,5650,5316,4160.875,6892.049999999999,0.9408849557522124,384,380,0.9895833333333334,2019-06-02,2019-04-14,24,36,0.9888637714473449,0.9853345629308307,1.001243594949482,0,668.2521501170626,863.4832784474938,0.7983135539876588
BA,0.1,BA_wave_06,2020-01-19,18751,18133,13502.550000000001,24079.15,0.9670417577729188,1228,1699,1.3835504885993486,2020-05-10,2020-03-29,20,25,0.9849771040303785,0.9727113319005245,1.001243594949482,0,668.2521501170626,863.4832784474938,0.7983135539876588
BA,0.1,BA_wave_07,2021-01-03,9539,10381,7734.8,13845.074999999999,1.0882692106090786,830,953.5,1.1487951807228916,2021-03-14,2021-03-28,19,24,0.9727113319005245,0.9658936654691221,1.001243594949482,0,668.2521501170626,863.4832784474938,0.7983135539876588
BA,0.1,BA_wave_08,2021-12-05,13875,14219.5,10579.975,19194.324999999993,1.0248288288288288,1012,1397.5,1.3809288537549407,2022-03-06,2022-04-10,20,22,0.965839466676768,0.956556078452121,1.001243594949482,0,668.2521501170626,863.4832784474938,0.7983135539876588
BA,0.1,BA_wave_09,2022-11-06,12613,12173,9512.95,15899.449999999986,0.9651153571711726,487,928,1.9055441478439425,2023-02-05,2023-04-02,32,32,0.9564882935340042,0.9486718255262871,1.001243594949482,0,668.2521501170626,863.4832784474938,0.7983135539876588
BA,0.1,BA_wave_10,2024-01-21,14846,12699.5,9840.849999999999,16570.449999999997,0.8554156001616597,1499,1125,0.7505003335557038,2024-03-17,2024-04-14,47,55,0.9485264708302401,0.9410731515487658,1.001243594949482,0,668.2521501170626,863.4832784474938,0.7983135539876588
BA,0.15,BA_wave_02,2016-01-24,5863,5908.5,4349.975,8052.174999999999,1.007760532150776,535,611,1.142056074766355,2016-03-13,2016-04-17,16,20,0.9998554478753499,0.997121605743744,1.0060951945098384,0,629.9733199697556,888.01710355258,0.7804452622134204
BA,0.15,BA_wave_03,2016-10-16,6654,6492.5,5017.4000000000005,8686.324999999997,0.9757288848812744,422,546,1.2938388625592416,2017-01-15,2017-03-26,27,26,0.9970523569439991,0.9940877783352279,1.0060951945098384,0,629.9733199697556,888.01710355258,0.7804452622134204
