muni6,cumulative_confirmed,mean_population,incidence_per_capita,ratio_to_state,percentile_rank
230160,213,23232.39175257732,0.009168233829234157,0.5899047713311603,68.85245901639344
230270,242,27211.360824742267,0.00889334427479123,0.5722177595494675,68.30601092896174
230533,109,12273.752577319588,0.008880739554862694,0.5714067435385727,67.75956284153006
231220,373,43421.62371134021,0.008590190050921228,0.5527121354084384,67.21311475409837
230220,448,52844.35051546392,0.00847772743216706,0.54547603774392,66.66666666666667
230650,168,19918.79381443299,0.00843424564585174,0.5426783218816106,66.12021857923497
231335,152,18760.98969072165,0.008101917996105101,0.5212956139487362,65.57377049180329
231290,1584,204210.06701030929,0.007756718477155359,0.4990847010201897,65.02732240437159
231380,166,21467.355670103094,0.007732671063496793,0.49753743637581194,64.48087431693989
231010,100,13056.536082474227,0.007658999245154301,0.49279722599698167,63.934426229508205
230630,383,51663.35051546392,0.007413379042951543,0.47699347012497045,63.387978142076506
230980,87,11955.865979381444,0.0072767627330413654,0.4682032696830166,62.841530054644814
231355,112,15811.922680412372,0.0070832625648204256,0.45575303394372485,62.295081967213115
231020,237,33742.43298969072,0.007023797011685858,0.45192688659873964,61.74863387978142
230395,135,19222.29381443299,0.0070230952301143035,0.4518817323950835,61.20218579234973
230080,51,7266.644329896907,0.007018370197392549,0.4515777131696607,60.65573770491803
231080,112,16165.350515463917,0.006928399102318246,0.445788770691232,60.10928961748634
230450,92,13633.659793814433,0.0067480046730915375,0.43418178765562526,59.56284153005464
230620,51,7713.969072164949,0.006611382483244348,0.4253912088853082,59.01639344262295
231260,84,12829.407216494845,0.006547457616903819,0.42127813930578434,58.46994535519126
230625,253,39037.18556701031,0.006481000008714926,0.4170021074230809,57.92349726775956
231280,47,7461.505154639175,0.006298997189699433,0.40529163697340553,57.377049180327866
231320,158,25592.278350515466,0.006173737165406285,0.3972321254727311,56.830601092896174
230100,459,78638.293814433,0.00583685095054487,0.37555610921442373,56.284153005464475
230090,83,14674.453608247422,0.005656087934568947,0.36392541047892746,55.73770491803278
230580,228,41556.18041237113,0.005486548516670824,0.35301686327020465,55.19125683060109
230390,67,12952.525773195875,0.005172736281185456,0.3328254787066218,54.64480874316939
231200,163,31886.139175257733,0.005111939049882871,0.32891364819519225,54.0983606557377
231190,72,15732.530927835052,0.004576504589774094,0.29446259157552535,53.551912568306
230190,265,59488.21649484536,0.004454663723578975,0.28662307639186585,53.00546448087431
230290,78,17652.644329896906,0.004418601459493379,0.28430274926612603,52.459016393442624
231395,79,18221.128865979383,0.004335625996669212,0.2789639214902341,51.91256830601093
231330,243,58023.71134020619,0.00418794307339694,0.2694616702709582,51.36612021857923
