mode,week_start,residual,observed,expected
low_q,2018-06-03,-1.4224841045682142,23,101.97365592583942
low_q,2018-06-10,-1.1411952911275076,28,92.12482011001
low_q,2018-06-17,-0.9510298258079926,30,81.69501854506257
low_q,2018-06-24,-1.6503996086367518,12,71.1995913444496
low_q,2018-07-01,-0.7589988007312738,27,61.53514766561848
low_q,2018-07-08,-0.6675372051698,25,52.67318257409296
low_q,2018-07-15,-0.5709678960662817,23,44.499255297383634
low_q,2018-07-22,-0.5260502731686236,20,37.435669026726764
low_q,2018-07-29,-0.8676525796050126,12,31.30617014599347
low_q,2018-08-05,-0.29070951412407836,17,26.113244235524405
low_q,2018-08-12,-0.06653221965777403,17,21.73768362861105
low_q,2018-08-19,0.0019541355134214703,15,18.137678074207926
low_q,2018-08-26,0.044376336677272185,13,15.200092386049242
low_q,2018-09-02,0.2647142096240385,13,12.810837262031656
low_q,2018-09-09,0.13422572185481846,10,10.855466953550406
low_q,2018-09-16,0.32665467781365315,10,9.326777210482227
low_q,2018-09-23,-0.12025799422858693,6,8.129651891723498
low_q,2018-09-30,0.018812506692399193,6,7.19904285991665
low_q,2018-10-07,0.5191016062038546,8,6.4466961978872765
low_q,2018-10-14,1.5117734042538817,14,5.87062634654531
low_q,2018-10-21,0.5546085557729674,7,5.442972880058713
low_q,2018-10-28,1.1519398866960469,10,5.149685383848807
low_q,2018-11-04,1.0419843999203964,9,4.965541396220111
low_q,2018-11-11,1.0644885867110487,9,4.865513480908852
low_q,2018-11-18,1.5294878216143923,12,4.868067019329523
low_q,2018-11-25,1.2017819473830902,10,4.990905491656271
low_q,2018-12-02,0.975030048437926,9,5.189048027040149
low_q,2018-12-09,0.3440163621737668,6,5.469479285104714
low_q,2018-12-16,0.25419345306165003,6,5.903580320089558
low_q,2018-12-23,-0.06659806663593121,5,6.484910745624026
low_q,2018-12-30,0.6722221345166227,10,7.210526679962522
low_q,2019-01-06,1.0305341628738527,15,8.550541589253251
low_q,2019-01-13,1.6074533596005784,24,9.820315039689742
low_q,2019-01-20,0.5914354670971067,15,11.54385047522577
low_q,2019-01-27,0.5388960128277667,17,13.58372870215894
low_q,2019-02-03,0.6044148637190434,21,16.118429809989124
low_q,2019-02-10,1.0950199309674487,34,19.069268759453667
low_q,2019-02-17,0.2599581672555314,23,22.546310459354892
